N	2gram	Tiupa_Vved	Dialekti
1	не есть	2	181
2	и не	24	120
3	по себе	2	79
4	а не	31	78
5	и в	23	77
6	может быть	25	71
7	не только	32	66
8	то что	9	59
9	и есть	2	55
10	ничего не	3	54
11	не может	14	53
12	и даже	3	47
13	что это	2	46
14	потому что	7	45
15	стало быть	10	44
16	не просто	2	44
17	как бы	8	43
18	и что	2	42
19	не имеет	3	41
20	в том	21	40
21	что такое	23	39
22	в этом	27	39
23	то же	8	39
24	в себе	15	38
25	что она	2	38
26	том что	16	37
27	что он	2	37
28	прежде всего	11	37
29	это не	7	36
30	что в	6	34
31	в нем	9	34
32	и все	8	33
33	того что	7	33
34	но и	31	32
35	все это	3	31
36	ясно что	2	31
37	и как	2	30
38	отнюдь не	14	30
39	так и	14	29
40	было бы	4	29
41	как и	21	28
42	никогда не	6	27
43	в виду	3	26
44	не в	12	26
45	говорить о	5	25
46	если бы	10	24
47	но это	4	24
48	и вот	3	23
49	в то	5	23
50	таким образом	6	23
51	что не	2	21
52	должна быть	3	21
53	в чем	2	21
54	только в	9	20
55	как раз	5	20
56	что и	6	20
57	совершенно не	2	20
58	о том	7	20
59	уже не	7	20
60	и с	2	20
61	в таком	2	20
62	и притом	3	19
63	в своем	9	19
64	что мы	2	19
65	как это	2	19
66	не менее	4	19
67	и это	2	19
68	в самом	6	19
69	не существует	3	19
70	и его	9	19
71	что же	6	18
72	с другой	10	18
73	хотя бы	2	18
74	же время	4	18
75	жизни и	8	18
76	в основе	6	17
77	той или	5	17
78	в сущности	3	17
79	можно сказать	6	17
80	в особенности	3	17
81	в своей	10	16
82	мы не	6	16
83	нет ничего	2	16
84	или не	3	16
85	к нему	2	16
86	да и	3	16
87	об этом	5	16
88	тем не	3	16
89	и о	4	15
90	быть и	2	15
91	также и	6	15
92	все же	10	15
93	так же	2	15
94	самом деле	6	15
95	хотя и	10	15
96	на то	3	15
97	несмотря на	2	15
98	и потому	2	14
99	и ее	2	14
100	ни с	2	14
101	с ним	3	14
102	а именно	3	14
103	не было	5	14
104	и только	2	14
105	ни о	2	13
106	в силу	2	13
107	но в	14	13
108	в ней	5	13
109	он не	6	13
110	что они	2	13
111	другой стороны	3	13
112	с ее	3	13
113	и к	2	13
114	не могу	2	13
115	могут быть	5	12
116	еще не	8	12
117	никак не	2	12
118	все равно	2	12
119	перед нами	13	12
120	а в	15	12
121	тем более	3	12
122	и стало	3	12
123	но не	9	12
124	не о	2	11
125	и тем	3	11
126	только на	2	11
127	в них	4	11
128	в данном	22	11
129	мы имеем	8	11
130	есть в	2	11
131	что я	2	11
132	или в	3	11
133	к тому	9	10
134	как мы	5	10
135	в его	9	10
136	и для	8	10
137	что для	2	10
138	оно не	2	10
139	в их	2	10
140	в частности	19	10
141	во всяком	3	10
142	то и	2	10
143	в результате	5	10
144	времени и	7	10
145	как будто	6	10
146	в жизни	7	10
147	как он	2	9
148	точка зрения	3	9
149	и по	3	9
150	не как	2	9
151	подобно тому	3	9
152	в этих	5	9
153	и более	5	9
154	в котором	11	9
155	тому как	3	9
156	той же	3	9
157	в одном	5	9
158	или иной	5	9
159	и от	3	9
160	тому что	2	9
161	с ними	2	9
162	при этом	43	9
163	и он	4	9
164	бы в	4	9
165	мы можем	2	9
166	как о	2	9
167	и на	5	9
168	на самом	5	8
169	если она	2	8
170	не на	3	8
171	в этой	2	8
172	у нас	4	8
173	с одной	9	8
174	ни от	2	8
175	даже в	3	8
176	в одной	2	8
177	один из	3	8
178	но она	2	8
179	бы и	4	8
180	или иначе	2	8
181	в сфере	7	8
182	себя в	4	8
183	в разных	2	8
184	тем самым	6	7
185	в конце	3	7
186	из этих	5	7
187	а только	3	7
188	связи с	2	7
189	его с	2	7
190	на первый	3	7
191	тем что	2	7
192	все что	3	7
193	мы и	2	7
194	со стороны	15	7
195	от себя	2	7
196	не всегда	2	7
197	не знает	2	7
198	мира и	5	7
199	как в	8	7
200	заключается в	2	7
201	в мире	9	7
202	но он	2	7
203	еще и	2	6
204	и времени	2	6
205	в другом	2	6
206	отношение к	5	6
207	они не	3	6
208	более или	2	6
209	того чтобы	2	6
210	одна из	5	6
211	для этого	2	6
212	тут же	3	6
213	по своей	4	6
214	ни к	3	6
215	но они	3	6
216	быть только	2	6
217	но о	2	6
218	она в	2	6
219	вместе с	2	6
220	о чем	4	6
221	или менее	2	6
222	мере в	2	6
223	по своему	3	6
224	одной стороны	9	6
225	можно было	2	6
226	более не	2	6
227	с их	2	6
228	во всех	2	6
229	о котором	5	6
230	дело не	2	6
231	стороны и	4	6
232	для него	5	6
233	не с	4	6
234	мог бы	2	6
235	уже в	2	6
236	всяком случае	3	6
237	во времени	2	5
238	точку зрения	2	5
239	тот кто	2	5
240	но так	2	5
241	что на	4	5
242	речь идет	3	5
243	и во	2	5
244	если в	3	5
245	ли это	2	5
246	которая не	2	5
247	не является	7	5
248	и наконец	2	5
249	едва ли	4	5
250	например в	2	5
251	что у	4	5
252	их в	3	5
253	в своих	5	5
254	раз и	2	5
255	бытия но	2	5
256	вплоть до	2	5
257	и у	2	5
258	в области	5	5
259	в него	2	5
260	в качестве	18	5
261	к этому	3	5
262	в течение	2	5
263	тому же	6	5
264	зависит от	3	5
265	он и	2	5
266	в той	5	5
267	не обязательно	2	5
268	двух или	4	5
269	данном случае	15	4
270	не хотят	2	4
271	и слова	2	4
272	бы мы	2	4
273	это только	3	4
274	у них	3	4
275	это уже	2	4
276	тоже не	2	4
277	заметить что	2	4
278	и само	2	4
279	что касается	5	4
280	представить себе	2	4
281	говорят о	2	4
282	то он	2	4
283	еще более	2	4
284	и мира	5	4
285	том как	4	4
286	но именно	3	4
287	от этих	2	4
288	к мифу	2	4
289	а мы	2	4
290	на себя	5	4
291	о ней	4	4
292	не зависит	2	4
293	к ним	4	4
294	хотя в	2	4
295	в этот	3	4
296	этом отношении	7	4
297	у него	8	4
298	не по	4	4
299	точек зрения	2	4
300	и здесь	2	4
301	будто бы	3	4
302	это время	2	4
303	видно что	2	4
304	не можем	2	4
305	к жизни	2	4
306	можно назвать	2	4
307	же в	3	4
308	же самое	2	4
309	у которого	2	4
310	быть не	4	4
311	и понимания	3	3
312	очевидно что	2	3
313	для нас	4	3
314	сознания в	4	3
315	должен быть	3	3
316	а лишь	3	3
317	к ее	3	3
318	от своего	2	3
319	к своему	2	3
320	отличие от	11	3
321	а с	4	3
322	идет о	3	3
323	место в	2	3
324	говорить и	2	3
325	в первом	3	3
326	тех же	2	3
327	здесь не	2	3
328	при таком	2	3
329	по мере	2	3
330	на него	3	3
331	целый ряд	2	3
332	лишь в	4	3
333	все они	2	3
334	или точнее	2	3
335	от их	2	3
336	как у	3	3
337	как известно	2	3
338	далеко не	5	3
339	человеческого сознания	2	3
340	в свою	5	3
341	в которых	2	3
342	нового времени	5	3
343	которой не	2	3
344	о которых	2	3
345	указывает на	2	3
346	вслед за	3	3
347	событие как	2	3
348	здесь как	2	3
349	история это	2	3
350	для себя	2	3
351	этого не	2	3
352	в современной	7	3
353	из жизни	3	3
354	претендует на	2	3
355	и оно	2	3
356	она была	2	3
357	а то	2	3
358	в голову	2	3
359	так в	5	3
360	и смерти	2	3
361	во время	3	3
362	в сознании	5	3
363	бы не	3	3
364	в какой	4	3
365	не к	4	3
366	но на	2	3
367	не мог	2	3
368	в слове	4	3
369	однако не	2	3
370	между тем	3	3
371	имеем дело	5	3
372	человеческого опыта	7	2
373	ее и	2	2
374	бытия в	3	2
375	она может	2	2
376	первый взгляд	3	2
377	при всей	3	2
