N	3gram	Losev_Dial	Freidism
1	с точки зрения	18	15
2	не может быть	4	14
3	в самом деле	3	10
4	в том что	12	9
5	во всяком случае	3	8
6	в то же	7	6
7	может быть и	6	6
8	то же время	8	6
9	– все это	3	5
10	можно сказать что	6	5
11	с самого начала	2	5
12	можем сказать что	3	5
13	мы можем сказать	3	5
14	в таком случае	2	4
15	тем не менее	3	4
16	ни в чем	2	4
17	в этом отношении	2	4
18	сам по себе	8	4
19	это вовсе не	2	4
20	в зависимости от	2	4
21	на самом деле	3	4
22	мы уже знаем	4	3
23	о том что	6	3
24	только то что	6	3
25	до сих пор	4	3
26	то же самое	3	2
27	ни в каком	9	2
28	к тому что	3	2
29	ни в какой	3	2
30	вовсе не в	3	2
31	то или иное	4	2
32	в конце концов	4	2
33	с одной стороны	3	2
34	на самом же	2	2
35	в каком случае	5	2
36	самом же деле	2	2
37	в этом смысле	4	2
38	и может быть	3	2
39	и ни в	2	2
40	это и есть	3	2
