N	3gram	Voloshinov	VeschiIm
1	не может быть	14	24
2	то ни было	2	12
3	бы то ни	3	12
4	тем не менее	4	11
5	в том что	9	9
6	в самом деле	10	7
7	ни в каком	2	6
8	с точки зрения	15	6
9	в то же	6	5
10	в чем же	2	5
11	и тем не	2	5
12	в свою очередь	4	5
13	сам по себе	4	4
14	что же такое	2	4
15	о том что	3	4
16	в каком случае	2	4
17	то же время	6	4
18	это и есть	2	4
19	равно как и	2	4
20	мы не можем	3	3
21	можно сказать что	5	3
22	то что мы	2	3
23	в собственном смысле	3	3
24	заключается в том	2	3
25	с одной стороны	2	3
26	только то что	3	3
27	мы видели что	3	3
28	все то что	3	2
29	как раз и	2	2
30	во всяком случае	8	2
31	в применении к	2	2
32	что же касается	3	2
33	для того чтобы	3	2
34	в этом отношении	4	2
35	хотя бы и	2	2
36	том что он	2	2
37	к тому что	2	2
38	ни о каком	2	2
39	в конце концов	2	2
40	у нас в	2	2
41	в данном случае	4	2
42	в этом смысле	2	2
43	все это –	3	2
44	а следовательно и	2	2
45	для этого нужно	2	2
