N	2gram	Vygotskiy_	Narrotol
1	не только	36	62
2	и не	27	50
3	при этом	4	47
4	но и	19	45
5	а не	7	38
6	в качестве	9	35
7	в частности	4	31
8	может быть	20	30
9	и в	47	30
10	в том	38	29
11	том что	28	28
12	в этом	47	28
13	а в	3	27
14	состоит в	3	25
15	представляет собой	23	25
16	только в	24	25
17	в данном	7	24
18	как и	19	24
19	не в	7	23
20	то что	40	23
21	не может	23	20
22	данном случае	5	17
23	в себе	14	17
24	так и	8	17
25	в его	7	16
26	но в	9	15
27	можно сказать	9	15
28	иначе говоря	3	15
29	к тому	13	15
30	и его	14	14
31	в своем	3	13
32	в своей	4	13
33	то же	16	13
34	у него	2	13
35	о том	5	13
36	перед нами	3	12
37	все же	7	12
38	прежде всего	9	12
39	как в	7	12
40	как бы	13	12
41	тем самым	14	11
42	по отношению	10	11
43	и тем	10	11
44	отличие от	4	11
45	об этом	4	11
46	в нем	6	11
47	в этой	7	11
48	если бы	8	11
49	отношению к	9	11
50	в отличие	4	11
51	хотя и	4	11
52	никогда не	7	10
53	в то	10	10
54	и т.д	4	10
55	ничего не	2	10
56	как это	7	10
57	один из	3	10
58	точки зрения	39	10
59	того что	27	10
60	как правило	2	10
61	не является	4	10
62	и все	5	10
63	но не	13	10
64	тому же	2	10
65	между тем	2	10
66	еще не	5	9
67	что он	13	9
68	что в	23	9
69	отнюдь не	2	9
70	тем не	4	9
71	той или	2	9
72	для него	6	9
73	столь же	2	9
74	потому что	26	9
75	с ним	5	9
76	как раз	6	9
77	или иной	2	8
78	о чем	8	8
79	самом деле	6	8
80	не менее	6	8
81	того чтобы	26	8
82	одна из	2	8
83	мы имеем	3	8
84	и он	4	8
85	у нее	5	8
86	этом отношении	7	8
87	у нас	3	8
88	и для	5	8
89	в самом	15	8
90	и к	11	8
91	внимание на	4	8
92	в той	7	8
93	в таком	2	8
94	он не	5	8
95	не мог	2	8
96	в свою	3	7
97	это не	6	7
98	в конце	5	7
99	едва ли	5	7
100	в чем	5	7
101	в ней	5	7
102	одного из	2	7
103	в целом	7	7
104	в ее	7	7
105	имеет место	4	7
106	и состоит	3	7
107	в речи	6	7
108	в силу	21	7
109	также и	2	7
110	с другой	7	7
111	в котором	6	7
112	и на	4	7
113	или в	2	7
114	одной стороны	7	6
115	в современной	2	6
