N	2gram	Losev_Dial	TeoriaLi
1	– это	11	33
2	в мире	2	26
3	не только	35	24
4	и в	34	24
5	в частности	3	23
6	может быть	30	22
7	в том	17	20
8	– в	15	20
9	при этом	7	20
10	и не	50	17
11	а в	3	15
12	но и	14	14
13	так и	11	14
14	а не	39	14
15	в себе	8	14
16	но не	3	13
17	в этом	14	12
18	то же	9	12
19	но в	3	12
20	в его	6	12
21	том что	18	11
22	точки зрения	43	11
23	и его	8	11
24	как это	8	10
25	что в	12	10
26	в данном	6	9
27	не в	11	9
28	с другой	5	9
29	в то	9	9
30	только в	10	9
31	не может	29	8
32	как бы	19	8
33	в своей	4	8
34	же время	5	8
35	особого рода	3	7
36	или иной	4	7
37	в своем	7	7
38	мы имеем	3	7
39	себя в	3	7
40	отличие от	2	7
41	в самом	9	7
42	место в	2	7
43	в нем	7	7
44	тем самым	3	6
45	или иного	3	6
46	того или	6	6
47	другой стороны	4	6
48	со стороны	5	6
49	не менее	11	6
50	еще не	7	6
51	то что	25	6
52	как и	14	6
53	или иначе	2	6
54	уже не	9	6
55	в ее	5	6
56	в основе	6	6
57	с его	7	6
58	данном случае	3	5
59	я с	2	5
60	по преимуществу	2	5
61	как в	2	5
62	как к	2	5
63	ни в	20	5
64	в виду	12	5
65	и тем	3	5
66	для того	4	5
67	и о	9	5
68	для него	4	5
69	так или	2	5
70	могут быть	5	5
71	не предполагает	2	5
72	того что	22	5
73	он не	8	5
74	в себя	4	5
75	можно сказать	5	5
76	никогда не	9	4
77	сказать что	7	4
78	его в	2	4
79	это не	13	4
80	так в	2	4
81	и ее	8	4
82	в силу	5	4
83	субъекта и	5	4
84	– не	11	4
85	в их	2	4
86	в этих	3	4
87	что он	18	4
88	по своему	2	4
89	к тому	4	4
90	а только	2	4
91	мира и	3	4
92	личности и	15	4
93	личности в	9	4
94	совпадает с	2	4
95	и что	21	4
96	говорить о	13	4
97	не на	7	4
98	с ее	10	4
99	– на	2	4
100	отношения к	4	4
101	не знает	4	4
102	в слове	3	4
103	хотя и	9	4
104	но он	3	4
105	и то	7	3
106	перед нами	5	3
107	и притом	10	3
108	и потому	6	3
109	во всех	2	3
110	понятие о	2	3
111	из этих	5	3
112	одной стороны	3	3
113	– все	4	3
114	о чем	2	3
115	в противоположность	3	3
116	и для	5	3
117	тем не	10	3
118	и как	13	3
119	говоря о	3	3
120	если бы	10	3
121	или в	4	3
122	он должен	3	3
123	подобно тому	5	3
124	тот или	2	3
125	в таком	15	3
126	с этой	7	3
127	а именно	7	3
128	и вот	13	3
129	ни к	3	3
130	была бы	5	3
131	никто не	4	3
132	с одной	4	3
133	есть в	4	3
134	в жизни	4	3
135	для себя	2	3
136	или иных	2	3
137	их в	2	3
138	именно в	5	3
139	потому что	21	3
140	тому как	5	3
141	что можно	2	3
142	прежде всего	20	3
143	и к	5	3
144	отнюдь не	16	3
145	только не	10	3
146	мог бы	2	3
147	от себя	5	3
148	не будет	5	3
149	с точки	25	3
150	все эти	4	3
151	о ней	3	3
152	– только	3	3
153	той или	3	3
154	и по	2	3
155	связи с	3	3
156	в связи	3	3
157	таким образом	14	3
158	нового времени	2	3
159	например в	3	3
160	тех или	6	3
161	в этой	3	3
162	в одном	3	3
163	как раз	11	3
164	вовсе не	18	3
165	и –	14	3
166	одно и	6	2
167	еще и	2	2
168	в каком	9	2
169	чтобы не	4	2
170	только и	3	2
171	но она	4	2
172	не от	2	2
173	не могут	6	2
174	то в	5	2
175	нас самих	2	2
176	для меня	2	2
177	так же	7	2
178	но –	10	2
179	сознания в	2	2
180	но как	3	2
181	тем более	5	2
182	дело не	2	2
183	в коем	4	2
184	не всегда	3	2
185	человека и	2	2
186	личность –	2	2
187	– и	8	2
188	что она	13	2
189	с их	4	2
190	за пределы	3	2
191	это было	5	2
192	отличается от	9	2
193	об этом	8	2
194	но на	2	2
195	и даже	21	2
196	в конце	2	2
197	и здесь	3	2
198	сама по	11	2
199	и прежде	6	2
200	таком случае	11	2
201	я и	2	2
202	это и	12	2
203	превращается в	6	2
204	жизни –	2	2
205	только лишь	3	2
206	это тоже	2	2
207	и эстетической	4	2
208	от своего	2	2
209	у нас	7	2
210	только на	8	2
211	у него	2	2
212	самом деле	7	2
213	может и	3	2
214	е о	3	2
215	в чем	11	2
216	вместе с	3	2
217	при всем	5	2
218	– как	6	2
219	на котором	2	2
220	одной из	3	2
221	к нему	4	2
222	для такого	2	2
223	и является	2	2
224	всей его	2	2
225	а для	2	2
226	и это	12	2
227	ее в	3	2
228	тому что	5	2
229	о том	11	2
230	что такое	25	2
231	строго говоря	2	2
232	не вполне	2	2
233	о себе	2	2
234	и мира	4	2
235	если мы	5	2
236	оно не	7	2
237	коем случае	4	2
238	и на	6	2
239	на себя	3	2
240	этой точки	4	2
241	на этом	3	2
242	к чему	2	2
243	из которых	4	2
244	он и	3	2
245	собственно говоря	5	2
246	в них	6	2
247	по себе	31	2
248	несмотря на	2	2
249	здесь не	2	2
250	что и	8	2
251	в данный	2	2
252	тем или	3	2
253	и больше	5	2
254	– еще	2	2
255	к другому	2	2
256	с ними	3	2
257	то ни	4	2
258	себя и	3	2
259	заключается в	3	2
260	данный момент	2	2
261	не просто	20	2
262	все это	13	2
263	субъект и	2	2
264	более не	2	2
265	только о	4	2
266	что они	2	2
267	как будто	3	2
268	в первом	2	2
269	жизнь личности	3	2
270	случае не	4	2
271	бы то	3	2
272	я не	11	2
273	имеем дело	2	2
274	не сама	3	2
275	быть и	7	2
276	при условии	5	2
