N	2gram	Tiupa_Lite	FransuaR
1	и в	26	367
2	то есть	11	209
3	в этом	19	112
4	и т.п	14	108
5	и не	19	101
6	таким образом	4	100
7	и его	7	99
8	в его	9	98
9	прежде всего	14	92
10	не только	29	87
11	но и	25	84
12	как бы	8	82
13	все эти	2	79
14	вовсе не	3	77
15	как и	13	76
16	в нем	4	75
17	но в	5	75
18	и др	4	72
19	и на	5	72
20	в том	22	71
21	как мы	2	71
22	то же	13	66
23	так и	7	65
24	в этой	7	65
25	в сущности	5	64
26	и с	4	64
27	в то	12	63
28	во всех	4	62
29	же время	12	55
30	что в	7	52
31	в своем	12	51
32	только в	8	48
33	так как	2	46
34	том что	19	45
35	в году	18	44
36	то что	14	41
37	жизни и	6	40
38	у него	5	40
39	в самом	4	38
40	точки зрения	8	37
41	в ней	4	37
42	с его	5	36
43	может быть	24	35
44	о том	3	35
45	и даже	9	34
46	в себе	8	34
47	в конце	6	32
48	он не	4	32
49	для него	6	32
50	в своей	5	31
51	нового времени	2	31
52	до конца	3	31
53	в литературе	2	31
54	никогда не	5	30
55	той же	5	30
56	один из	7	30
57	потому что	5	30
58	в этих	2	29
59	не может	10	29
60	еще не	4	29
61	его в	4	29
62	не в	11	29
63	при этом	23	29
64	в одном	2	29
65	в особенности	2	29
66	связи с	7	29
67	что он	8	29
68	из них	5	28
69	в основе	5	28
70	также и	3	28
71	роль в	2	27
72	в образах	2	27
73	том числе	2	27
74	все же	6	27
75	все они	2	26
76	в области	5	25
77	но это	2	25
78	в частности	18	24
79	например в	3	24
80	но не	8	24
81	как в	5	24
82	он и	5	24
83	своего рода	22	23
84	это не	4	23
85	в их	3	23
86	с ним	2	23
87	еще и	3	23
88	даже в	6	22
89	а в	5	22
90	что и	3	22
91	и других	4	22
92	тем что	6	22
93	вместе с	5	22
94	не было	5	22
95	в своих	5	21
96	в себя	5	21
97	в качестве	21	21
98	в отношении	2	21
99	и наконец	2	21
100	одним из	8	21
101	культуры и	2	21
102	и как	2	21
103	уже в	7	21
104	а также	5	20
105	как раз	6	20
106	одной из	2	20
107	этом отношении	5	20
108	в виду	4	20
109	с точки	4	20
110	самом деле	2	20
111	в связи	4	20
112	того же	5	19
113	к этому	2	19
114	было бы	4	19
115	за пределы	3	19
116	далеко не	4	19
117	с другой	11	19
118	с ее	3	19
119	со всеми	2	18
120	на этом	3	18
121	превращается в	2	18
122	одна из	8	18
123	своего времени	2	17
124	для того	2	17
125	того что	7	17
126	можно было	3	17
127	в результате	2	17
128	и вот	2	17
129	такой же	3	17
130	а не	28	17
131	между тем	2	16
132	ничего не	3	16
133	в начале	4	16
134	в другом	3	16
135	дело в	3	16
136	с одной	9	16
137	и одновременно	2	16
138	одно из	3	15
139	еще в	7	15
140	в нашем	2	15
141	и прежде	4	15
142	xix века	6	15
143	как на	3	15
144	а затем	3	15
145	с их	3	15
146	от всех	2	15
147	не мог	3	15
148	из этих	2	15
149	мы не	5	14
150	все что	3	14
151	по существу	4	14
152	в данном	7	14
153	и он	3	14
154	с миром	5	14
155	несмотря на	3	14
156	в чем	2	14
157	так в	6	13
158	как он	2	13
159	отличие от	6	13
160	в жизни	7	13
161	в мире	9	13
162	и есть	3	13
163	и сам	6	13
164	мира в	4	13
165	не на	2	13
166	только на	3	13
167	одной стороны	8	13
168	не знает	3	13
169	мир и	2	13
170	века в	3	12
171	лишь в	4	12
172	у нас	5	12
173	право на	4	12
174	все то	2	12
175	жизни в	5	12
176	в пределах	4	12
177	та же	2	12
178	по своей	3	12
179	другой стороны	5	12
180	в творчестве	2	12
181	наконец в	2	11
182	это уже	2	11
183	из этого	2	11
184	на фоне	5	11
185	он говорит	2	11
186	уже не	9	11
187	и что	2	11
188	слова и	6	11
189	и т.д	8	11
190	культуры в	5	11
191	в отличие	6	11
192	данном случае	6	10
193	или иной	3	10
194	здесь как	2	10
195	для понимания	2	10
196	по преимуществу	6	10
197	человека и	2	10
198	к тому	3	10
199	ту же	4	10
200	во второй	2	10
201	что для	2	10
202	для всех	5	10
203	по отношению	6	10
204	даже и	2	10
205	в целом	10	10
206	да и	3	10
207	не просто	2	10
208	что не	3	9
209	относится к	3	9
210	но как	3	9
211	вплоть до	4	9
212	это как	3	9
213	как это	9	9
214	и то	3	9
215	с образом	2	9
216	отношению к	4	9
217	для нас	3	9
218	как к	4	9
219	том же	3	9
220	в формах	4	9
221	для этой	2	9
222	не имеет	2	9
223	же в	6	9
224	под названием	3	9
225	к жизни	2	9
226	от него	2	8
227	с этой	6	8
228	так что	4	8
229	с тем	2	8
230	для этого	5	8
231	нуждается в	3	8
232	по поводу	2	8
233	перестает быть	5	8
234	одном из	3	8
235	всего в	4	8
236	но с	3	8
237	не менее	11	8
238	xviii века	2	8
239	дело не	2	8
240	тому же	2	8
241	ко всему	4	8
242	а как	2	7
243	никак не	2	7
244	не как	4	7
245	себе и	2	7
246	искусства и	6	7
247	в свою	2	7
248	должен быть	2	7
249	тому как	4	7
250	и за	2	7
251	на том	3	7
252	одного из	4	7
253	по этому	2	7
254	мир в	5	7
255	во всяком	3	7
256	себя в	7	7
257	подобно тому	4	7
258	из которых	3	7
259	к себе	3	7
260	нет ничего	2	7
261	с жизнью	2	7
262	же и	3	7
263	тех кто	3	6
264	такого рода	18	6
265	свою очередь	2	6
266	в искусстве	4	6
267	свидетельствует о	3	6
268	жизни как	3	6
269	своего героя	2	6
270	казалось бы	6	6
271	как я	3	6
