N	2gram	Trubetskoy	VLabPisa
1	таким образом	34	32
2	в этом	13	29
3	не только	10	26
4	и в	24	26
5	может быть	17	23
6	хотя бы	4	20
7	и не	9	20
8	в процессе	2	17
9	не может	18	17
10	в том	31	15
11	в его	5	15
12	в силу	7	14
13	прежде всего	3	13
14	все это	13	13
15	в частности	2	12
16	представляет собою	2	11
17	что в	9	11
18	с другой	6	11
19	из них	5	11
20	то же	4	10
21	не могут	4	10
22	но и	11	10
23	о том	7	10
24	по этому	2	10
25	к этому	5	9
26	для него	2	9
27	в своем	12	8
28	том что	20	8
29	не следует	2	8
30	ни один	4	8
31	другой стороны	5	8
32	все эти	19	8
33	было бы	3	8
34	только в	6	8
35	вместе с	7	8
36	очевидно что	3	7
37	это не	3	7
38	из этих	8	7
39	во всех	10	7
40	по отношению	11	7
41	то что	18	7
42	отношению к	11	7
43	тому что	2	7
44	как и	10	7
45	их в	2	7
46	в нем	3	7
47	не было	2	7
48	не в	9	6
49	в то	6	6
50	в себе	5	6
51	или менее	8	6
52	все же	15	6
53	том же	4	6
54	у него	5	6
55	так и	10	6
56	более или	8	6
57	и его	2	6
58	между тем	12	6
59	никогда не	4	5
60	даже в	3	5
61	показывают что	2	5
62	в результате	9	5
63	зависимости от	2	5
64	в их	4	5
65	одним из	4	5
66	и при	6	5
67	к тому	8	5
68	как бы	10	5
69	в них	2	5
70	в целом	5	5
71	связи с	4	5
72	же время	2	5
73	одна из	2	4
74	в сознании	7	4
75	и ее	2	4
76	только что	3	4
77	в виду	2	4
78	что он	7	4
79	по существу	7	4
80	с тем	4	4
81	что все	5	4
82	что для	4	4
83	должен быть	2	4
84	отнюдь не	2	4
85	в самом	8	4
86	с ними	2	4
87	в связи	3	4
88	в этой	7	4
89	и от	5	3
90	при помощи	3	3
91	и к	5	3
92	с этим	12	3
93	так же	8	3
94	но как	2	3
95	этот процесс	2	3
96	всех этих	4	3
97	бы в	3	3
98	но даже	3	3
99	в конце	4	3
100	его в	5	3
101	если бы	8	3
102	него в	2	3
103	для того	8	3
104	и их	5	3
105	у нас	3	3
106	как на	6	3
107	всех других	2	3
108	мы знаем	10	3
109	того что	7	3
110	образом в	3	3
111	мы видели	2	3
112	далеко не	5	3
113	этот вопрос	2	3
114	что у	2	3
115	она не	2	3
116	а в	3	3
117	в котором	2	3
118	именно в	5	3
119	точки зрения	14	3
120	в которых	2	3
121	что оно	3	3
122	между ними	2	3
123	жизни и	2	3
124	того чтобы	8	3
125	что и	7	3
126	сводится к	2	3
127	и по	3	3
128	этой области	4	3
129	что они	2	3
130	из элементов	7	3
131	сил и	2	3
132	вовсе не	2	3
133	самого себя	4	2
134	и потому	3	2
135	не подлежит	3	2
136	только то	2	2
137	а к	2	2
138	одной стороны	2	2
139	что многие	2	2
140	должно быть	5	2
141	что она	2	2
142	отличается от	6	2
143	в другом	2	2
144	представления об	2	2
145	от того	3	2
146	и у	4	2
147	с более	3	2
148	конце концов	4	2
149	и весь	2	2
150	все они	6	2
151	в области	4	2
152	и наконец	3	2
153	у них	6	2
154	еще не	6	2
155	как у	3	2
156	они должны	3	2
157	в которой	5	2
158	между собою	5	2
159	в течение	4	2
160	а для	2	2
161	сих пор	15	2
162	с одной	3	2
163	заключается в	3	2
164	как известно	3	2
165	что его	4	2
166	в жизни	3	2
167	от них	2	2
168	к ним	2	2
169	том чтобы	2	2
170	но не	3	2
171	и для	6	2
172	также и	2	2
173	не менее	7	2
174	на него	2	2
175	но в	5	2
176	следует что	2	2
177	они не	2	2
178	на то	9	2
179	в общем	6	2
180	эти примеры	2	2
181	многие из	5	2
182	все его	2	2
183	не вполне	3	2
184	знаем что	8	2
185	в своих	2	2
186	в ней	3	2
187	на вопрос	4	2
188	и социальной	2	2
189	из себя	10	2
190	но для	2	2
191	между прочим	2	2
192	на этом	2	2
193	разобраться в	2	2
194	тогда когда	3	2
195	из которых	4	2
196	что мы	4	2
197	только не	2	2
198	представить себе	2	2
199	можно ли	2	2
200	всяком случае	2	2
201	может не	3	2
202	и некоторые	2	2
203	а затем	2	2
204	же как	3	2
205	должны быть	3	2
206	по одному	3	2
207	и дальше	2	2
208	говорить о	2	2
209	и может	3	2
210	по его	2	2
211	он не	4	2
212	и сам	2	2
213	во всей	2	2
214	должна быть	6	2
215	ту же	2	2
216	но с	2	2
217	в пользу	5	2
218	что при	7	2
219	хотя и	4	2
220	лишь в	5	2
221	во всяком	2	2
222	до сих	15	2
