N	2gram	Berdyaev_O	Russkaja
1	не может	4	22
2	и не	13	19
3	в том	5	17
4	в этом	12	17
5	и в	19	14
6	то что	5	13
7	но и	13	10
8	не только	11	9
9	том что	2	9
10	может быть	11	9
11	в себе	3	9
12	того чтобы	4	8
13	прежде всего	9	8
14	и с	2	7
15	о том	3	7
16	россии в	2	7
17	с тем	2	6
18	и для	2	6
19	в своих	3	6
20	в россии	5	6
21	и к	2	6
22	все это	6	6
23	для того	3	6
24	что он	3	6
25	в своем	2	6
26	для него	5	6
27	вопрос о	10	5
28	а в	5	5
29	было бы	3	5
30	хотя бы	3	5
31	и на	2	5
32	потому что	9	5
33	в нем	10	5
34	жизни в	2	5
35	в своей	2	5
36	во имя	3	5
37	никогда не	9	5
38	он не	7	5
39	и то	2	4
40	что в	4	4
41	его в	2	4
42	все же	2	4
43	не могут	3	4
44	к этой	2	4
45	не в	11	4
46	как и	6	4
47	как бы	3	4
48	все что	3	4
49	так как	2	4
50	что же	2	4
51	в его	7	4
52	на земле	4	4
53	в этой	5	4
54	что все	2	3
55	что для	2	3
56	должно быть	2	3
57	не есть	2	3
58	и потому	2	3
59	в другом	2	3
60	ко всем	2	3
61	в самом	5	3
62	можно ли	2	3
63	что и	2	3
64	лишь в	7	3
65	он сам	4	3
66	еще не	3	3
67	того что	3	3
68	что они	2	3
69	не было	9	3
70	и ни	2	3
71	тем что	2	3
72	и о	2	2
73	и от	3	2
74	ее в	2	2
75	к нему	3	2
76	но в	2	2
77	любовь к	2	2
78	даже и	2	2
79	а не	11	2
80	по себе	2	2
81	от него	7	2
82	в других	2	2
83	и вот	3	2
84	все эти	4	2
85	в этих	3	2
86	и есть	3	2
87	так что	2	2
88	разных сторон	2	2
89	с ним	3	2
90	у него	22	2
91	их не	2	2
