N	2gram	Potebnia_M	Russkaja
1	не может	30	22
2	и не	34	19
3	в том	38	17
4	в этом	18	17
5	и в	58	14
6	то что	24	13
7	точки зрения	8	11
8	то же	13	11
9	таким образом	21	11
10	в то	6	10
11	но и	26	10
12	же время	4	10
13	не только	32	9
14	том что	21	9
15	может быть	47	9
16	в себе	22	9
17	с точки	4	9
18	во всяком	9	9
19	того чтобы	4	8
20	как на	5	8
21	прежде всего	8	8
22	самого себя	4	7
23	и с	3	7
24	к тому	5	7
25	о том	6	7
26	мы должны	4	7
27	стремление к	3	7
28	и если	6	7
29	не будет	2	7
30	самом деле	2	7
31	с тем	9	6
32	если в	3	6
33	на самом	2	6
34	и для	8	6
35	для всех	6	6
36	в своих	4	6
37	если бы	23	6
38	всяком случае	7	6
39	все это	3	6
40	для того	8	6
41	и при	6	6
42	что он	5	6
43	в своем	3	6
44	для него	13	6
45	вопрос о	5	5
46	а в	11	5
47	на то	5	5
48	было бы	21	5
49	хотя бы	4	5
50	а между	5	5
51	и на	8	5
52	потому что	89	5
53	при этом	17	5
54	в нем	26	5
55	он должен	2	5
56	в своей	3	5
57	себя и	3	5
58	только в	36	5
59	никогда не	7	5
60	и только	6	5
61	он не	4	5
62	сих пор	5	5
63	между тем	7	5
64	во всех	12	5
65	до сих	5	5
66	а потому	14	5
67	и то	4	4
68	что в	34	4
69	но не	19	4
70	его в	3	4
71	все же	11	4
72	не могут	10	4
73	к этой	3	4
74	не в	23	4
75	как и	16	4
76	более или	6	4
77	в мире	3	4
78	как бы	12	4
79	все что	5	4
80	при таких	3	4
81	так как	29	4
82	тогда когда	15	4
83	что же	3	4
84	жизни и	3	4
85	в его	7	4
86	со стороны	11	4
87	в их	3	4
88	то ни	3	4
89	во всем	5	4
90	в этой	3	4
91	себе и	2	4
92	вместе с	12	4
93	от того	9	4
94	бы то	2	4
95	или менее	6	4
96	все они	3	3
97	одна из	4	3
98	то это	8	3
99	для этого	2	3
100	о котором	4	3
101	что все	4	3
102	что это	5	3
103	точке зрения	4	3
104	с нею	6	3
105	о которых	5	3
106	но мы	3	3
107	что для	5	3
108	на том	2	3
109	в сознании	8	3
110	именно в	2	3
111	из этих	8	3
112	она может	3	3
113	что бы	2	3
114	ни одна	2	3
115	должно быть	9	3
116	не есть	13	3
117	всех этих	2	3
118	и потому	7	3
119	что оно	5	3
120	в другом	3	3
121	главным образом	4	3
122	из них	2	3
123	но если	4	3
124	ко всем	4	3
125	в самом	5	3
126	и как	11	3
127	несмотря на	5	3
128	для них	2	3
129	что и	16	3
130	или в	4	3
131	лишь в	2	3
132	вряд ли	2	3
133	из этого	2	3
134	таким же	3	3
135	и во	6	3
136	и по	8	3
137	связи с	6	3
138	еще не	9	3
139	того что	15	3
140	что они	6	3
141	друг друга	6	3
142	не было	7	3
143	и т	10	3
144	при котором	3	3
145	тем что	15	3
146	то в	6	3
147	и о	3	2
148	и должно	2	2
149	в течение	2	2
150	и от	5	2
151	не так	6	2
152	но она	3	2
153	с этим	11	2
154	в таких	2	2
155	тем самым	6	2
156	были бы	4	2
157	следовательно и	2	2
158	для себя	4	2
159	тому что	4	2
160	к нему	2	2
161	указывает на	2	2
162	помнить что	6	2
163	она не	3	2
164	но в	12	2
165	ни в	2	2
166	в котором	5	2
167	что такое	3	2
168	так же	7	2
169	их в	2	2
170	в начале	2	2
171	для нее	4	2
172	этого не	2	2
173	от друга	3	2
174	сама по	4	2
175	и человек	3	2
176	могут не	3	2
177	даже и	4	2
178	в ней	9	2
179	уже не	4	2
180	на это	2	2
181	этот вопрос	2	2
182	в некоторых	4	2
183	бы для	2	2
184	по отношению	15	2
185	деятельности и	5	2
186	но даже	2	2
187	и вместе	5	2
188	их к	2	2
189	если не	5	2
190	и даже	4	2
191	а не	38	2
192	и деятельности	2	2
193	для нас	29	2
194	по этому	2	2
195	на такой	2	2
196	представить себе	3	2
197	по себе	24	2
198	от него	8	2
199	мы можем	10	2
200	не можем	5	2
201	нисколько не	2	2
202	говоря о	3	2
203	точно так	18	2
204	место в	3	2
205	зависит от	6	2
206	проявляется в	2	2
207	в других	6	2
208	и тем	5	2
209	тогда как	10	2
210	и что	13	2
211	но это	7	2
212	что с	3	2
213	все эти	3	2
214	том же	3	2
215	бы ни	8	2
216	только для	7	2
217	и тогда	2	2
218	в этих	10	2
219	народа и	2	2
220	друг от	3	2
221	только на	4	2
222	в таком	7	2
223	и есть	4	2
224	но совершенно	2	2
225	так что	23	2
226	во время	5	2
227	как будто	2	2
228	друг другу	4	2
229	время когда	2	2
230	на основании	3	2
231	во многих	5	2
232	должна быть	4	2
233	отношения к	2	2
234	касается до	3	2
235	если же	5	2
236	от нас	3	2
237	с ним	7	2
238	в глазах	4	2
239	у него	3	2
240	видеть в	3	2
241	том и	2	2
242	и более	3	2
243	их не	2	2
