N	3gram	Vygotskiy_	RusskieA
1	в том что	41	49
2	состоит в том	4	29
3	тем не менее	6	14
4	в этом случае	4	12
5	вместе с тем	11	11
6	о том что	3	10
7	том что в	3	9
8	в том чтобы	2	9
9	для того чтобы	14	8
10	мы не можем	2	7
11	как мы увидим	2	7
12	как мы видели	4	6
13	по этому поводу	4	6
14	не может быть	5	6
15	так же как	9	6
16	в связи с	8	5
17	мы видели что	4	5
18	не что иное	2	4
19	во всяком случае	10	4
20	в то время	5	4
21	можно было бы	8	4
22	как мы уже	3	4
23	что иное как	2	4
24	в отличие от	8	4
25	же как и	6	3
26	более или менее	3	3
27	с тем и	4	3
28	по отношению к	3	3
29	с тем что	4	3
30	здесь мы имеем	2	3
31	с точки зрения	11	3
32	и что в	2	3
33	в какой степени	2	3
34	до сих пор	3	3
35	к выводу что	2	3
36	все же не	2	3
37	на то что	5	3
38	в свою очередь	3	3
39	в этом и	2	2
40	так как в	2	2
41	в этом отношении	9	2
42	как и в	3	2
43	так как они	2	2
44	ничего общего с	2	2
45	друг с другом	10	2
46	и в этом	2	2
47	с одной стороны	8	2
48	но так как	2	2
49	с другой стороны	5	2
50	так как это	2	2
51	не только у	2	2
