N	2gram	Berdyaev_V	Problemy
1	и в	16	106
2	и не	20	90
3	как бы	5	70
4	в его	4	56
5	в этом	4	52
6	в нем	4	51
7	что он	4	44
8	как и	4	44
9	но и	5	40
10	для него	2	39
11	а не	7	38
12	не только	2	36
13	то что	9	33
14	но в	3	33
15	прежде всего	2	32
16	все это	5	29
17	и все	4	28
18	не в	3	27
19	и т	2	25
20	что я	3	22
21	никогда не	3	20
22	потому что	4	20
23	только в	2	20
24	что в	3	19
25	с его	3	19
26	все эти	3	18
27	уже не	2	18
28	еще не	8	18
29	но не	2	18
30	это не	2	17
31	в том	3	17
32	так и	4	17
33	а в	2	17
34	с ним	2	17
35	в своей	3	16
36	и для	3	15
37	так как	9	14
38	в конце	3	14
39	лишь в	3	14
40	и сам	2	14
41	и это	2	13
42	в мире	5	13
43	том что	2	12
44	к тому	3	12
45	между тем	2	12
46	что и	3	12
47	во всяком	2	12
48	но это	3	12
49	в котором	4	12
50	и что	3	12
51	не могут	2	11
52	в форме	2	11
53	бы и	3	11
54	должно быть	3	11
55	тем что	2	11
56	их в	3	11
57	что не	4	10
58	как не	3	10
59	и потому	7	9
60	могут быть	2	9
61	в них	3	9
62	ивана карамазова	2	9
63	хотя и	5	9
64	да и	2	9
65	хотя бы	3	9
66	ни в	3	9
67	того что	5	8
68	должна быть	3	8
69	его к	2	7
70	от него	2	7
71	в этих	3	7
72	его и	2	7
73	что все	4	7
74	что они	7	7
75	все равно	2	7
76	тот же	3	7
77	в жизни	3	7
78	т д	2	7
79	во всех	3	7
80	не было	3	7
81	в себя	2	7
82	а с	2	6
83	и во	2	6
84	одна из	2	6
85	можно было	2	6
86	этого мира	3	6
87	за ним	3	6
88	превращается в	3	6
89	человека как	2	6
90	жизни и	3	6
91	конечно не	2	6
92	что было	2	6
93	и то	2	5
94	когда я	2	5
95	с тем	2	5
96	тому что	3	5
97	на себя	5	5
98	в чем	3	5
99	один из	2	5
100	мы не	2	5
101	в последнем	2	5
102	мира в	2	5
103	нет и	2	5
104	мир и	2	5
105	что ты	3	5
106	а между	2	5
107	в ней	4	5
108	в духе	2	4
109	является в	2	4
110	то это	3	4
111	этих трех	3	4
112	великого инквизитора	36	4
113	все что	4	4
114	оно не	3	4
115	не есть	6	4
116	если не	3	4
117	мы и	2	4
118	человека и	6	3
119	же ты	3	3
120	к чему	3	3
121	это все	2	3
122	всего в	2	3
123	того чтобы	2	3
124	ее в	2	3
125	и мы	3	3
126	а к	2	3
127	говорить о	4	3
128	чтобы сделать	2	3
129	и есть	4	3
130	не с	2	3
131	материалом для	2	3
132	в силах	4	2
133	тех которые	3	2
134	что их	2	2
135	самого себя	2	2
136	с тобой	2	2
137	в образе	4	2
138	они и	2	2
139	не так	2	2
140	от этого	3	2
141	на том	2	2
142	мы это	2	2
143	для них	2	2
144	до того	2	2
145	людей он	3	2
146	любовь к	3	2
147	в истории	8	2
148	для нас	2	2
149	не имеет	3	2
150	не к	2	2
151	и они	3	2
152	ты не	5	2
