N	3gram	Losev_Prob	Istorich
1	и т д	12	142
2	в этих случаях	3	47
3	с другой стороны	7	46
4	до сих пор	6	30
5	в этом случае	6	29
6	с одной стороны	4	28
7	так же как	2	27
8	в том что	7	25
9	не может быть	5	24
10	тем не менее	25	23
11	вместе с тем	2	23
12	точно так же	7	22
13	о том что	16	22
14	не только в	3	19
15	в связи с	7	17
16	в данном случае	10	15
17	о том как	2	15
18	на то что	12	14
19	мы увидим ниже	2	13
20	в то время	2	13
21	то время как	2	13
22	мы не будем	2	12
23	но и в	3	12
24	во всех этих	2	11
25	что иное как	5	11
26	не что иное	5	11
27	можно было бы	4	10
28	более или менее	7	9
29	в таких случаях	2	9
30	как мы увидим	2	9
31	то же самое	9	8
32	подобно тому как	2	8
33	и то что	9	8
34	во всяком случае	11	7
35	то что в	4	7
36	на первый взгляд	2	7
37	сих пор мы	3	7
38	с тем что	2	7
39	с самого начала	2	6
40	это значит что	3	6
41	на том что	3	6
42	и в других	3	6
43	так как он	2	6
44	на самом деле	6	5
45	для того чтобы	9	5
46	так и в	2	5
47	в том числе	2	5
48	в других случаях	2	5
49	есть не что	5	5
50	то что он	3	5
51	т д и	4	5
52	том что в	2	5
53	мы еще не	3	5
54	должны были бы	2	5
55	но уже в	2	4
56	иметь в виду	4	4
57	чем перейти к	2	4
58	содержит в себе	7	4
59	то это значит	2	4
60	можно сказать что	6	4
61	с точки зрения	3	4
62	сами по себе	5	4
63	к сожалению однако	2	4
64	мы здесь не	2	4
65	и тем не	8	4
66	в чистом виде	3	4
67	вопрос о том	2	4
68	так или иначе	7	4
69	тем что он	2	4
70	только то что	6	4
71	бы то ни	2	3
72	только тогда когда	4	3
73	никак не может	3	3
74	не только не	4	3
75	как только мы	2	3
76	дело в том	3	3
77	и многие другие	2	3
78	так же и	4	3
79	как будто бы	4	3
80	но это только	2	3
81	что в нем	4	3
82	одной стороны и	2	3
83	будет сказать что	3	3
84	по этому поводу	5	3
85	в другом случае	2	3
86	и тем самым	4	3
87	не может считаться	2	3
88	внимание на то	2	3
89	то и другое	3	2
90	а не только	2	2
91	в самом деле	4	2
92	сам по себе	7	2
93	может быть и	5	2
94	сколько бы мы	2	2
95	не просто как	3	2
96	ничего общего с	9	2
97	бы мы ни	2	2
98	между собой и	2	2
99	уже с самого	2	2
100	сама по себе	6	2
101	по себе но	3	2
102	здесь перед нами	3	2
103	не потому что	2	2
104	так как иначе	2	2
105	даже если бы	3	2
106	хотя и не	2	2
107	несмотря на всю	2	2
108	здесь идет речь	2	2
109	и тем более	2	2
110	на первый план	3	2
111	это было бы	2	2
112	тем что в	2	2
113	только в том	4	2
114	указывает на то	3	2
115	таким образом что	2	2
116	и ничего не	2	2
117	казалось бы что	2	2
118	в частности в	2	2
119	но в таком	7	2
120	в таком случае	14	2
121	может быть только	2	2
122	только потому что	3	2
123	том числе и	2	2
124	а может быть	3	2
125	здесь не будем	2	2
126	так как они	2	2
