N	2gram	Voloshinov	VerxiiNi
1	и в	32	26
2	таким образом	29	22
3	в этом	27	15
4	вместе с	2	15
5	точки зрения	48	13
6	как бы	31	12
7	в том	13	11
8	не только	18	10
9	из этих	3	10
10	и с	4	10
11	может быть	50	10
12	что в	5	9
13	так как	5	9
14	в области	3	9
15	связи с	22	9
16	но и	17	9
17	но не	2	8
18	с другой	6	8
19	главным образом	2	8
20	и не	42	8
21	как на	2	8
22	но все	4	7
23	к нему	5	7
24	потому что	2	7
25	одной стороны	2	7
26	из них	3	7
27	то что	12	7
28	с одной	2	7
29	но в	13	7
30	том что	12	7
31	в отношении	7	6
32	все же	13	6
33	к тому	8	6
34	о том	4	6
35	мы должны	4	6
36	того же	11	6
37	в себе	5	6
38	в конце	5	6
39	всяком случае	4	6
40	что и	5	6
41	с точки	31	6
42	и т.д	6	6
43	все эти	8	6
44	все это	4	6
45	и потому	7	6
46	так и	21	6
47	во всяком	8	6
48	никогда не	7	5
49	одной из	5	5
50	и для	15	5
51	не имеет	6	5
52	более или	3	5
53	так же	10	5
54	том числе	3	5
55	и к	3	5
56	друг с	2	5
57	к жизни	2	5
58	того чтобы	9	5
59	лишь в	17	5
60	в его	10	5
61	для того	8	5
62	с другом	2	5
63	а не	15	5
64	тому же	2	5
65	сих пор	10	5
66	до сих	10	5
67	или менее	3	5
68	на этот	3	4
69	и от	6	4
70	что все	3	4
71	далеко не	5	4
72	а в	5	4
73	с другими	6	4
74	в котором	6	4
75	в самом	14	4
76	в нем	17	4
77	не может	40	4
78	в смысле	11	4
79	и тогда	2	4
80	что оно	3	4
81	то есть	2	4
82	из которых	2	4
83	целый ряд	3	4
84	то же	19	4
85	числе и	3	4
86	и что	2	4
87	в этих	2	4
88	только в	14	4
89	что он	5	4
90	и только	2	4
91	он не	5	4
92	во время	2	4
93	в этой	3	4
94	в то	7	4
95	учение о	3	4
96	своей индивидуальности	2	3
97	что это	3	3
98	на нее	2	3
99	в своем	3	3
100	с самого	9	3
101	так или	2	3
102	или иначе	3	3
103	и если	2	3
104	уже не	2	3
105	хотя бы	8	3
106	к этому	10	3
107	в результате	9	3
108	в которой	4	3
109	в значительной	3	3
110	тем не	3	3
111	и даже	4	3
112	и как	8	3
113	если бы	12	3
114	уже с	2	3
115	и те	7	3
116	же как	2	3
117	при этом	13	3
118	всегда и	3	3
119	конце концов	3	3
120	не менее	5	3
121	как о	2	3
122	у них	2	3
123	в качестве	4	3
124	и при	3	3
125	с этой	2	3
126	в связи	12	3
127	и другие	2	3
128	подойти к	3	3
129	в таком	8	3
130	так что	2	3
131	ясно что	6	3
132	но по	2	3
133	можно сказать	4	3
134	отношению к	9	3
135	в одном	2	3
136	того что	5	3
137	для него	18	3
138	культуры и	2	3
139	мы видели	5	2
140	сказать что	7	2
141	так например	2	2
142	говорили о	2	2
143	и является	4	2
144	из этого	2	2
145	общего с	3	2
146	и это	6	2
147	или иной	8	2
148	не могут	4	2
149	но при	3	2
150	на то	4	2
151	для всех	2	2
152	относится к	4	2
153	тех пор	2	2
154	можно только	2	2
155	в процессе	31	2
156	мы можем	6	2
157	между этими	2	2
158	в начале	7	2
159	связь с	4	2
160	между тем	8	2
161	одним из	4	2
162	к одной	2	2
163	еще только	2	2
164	только что	2	2
165	к его	4	2
166	в свою	6	2
167	благодаря этому	2	2
168	не как	5	2
169	не могла	2	2
170	должно было	2	2
171	именно в	6	2
172	конечно не	9	2
173	приводит к	3	2
174	тогда когда	2	2
175	но если	2	2
176	те же	5	2
177	никто из	2	2
178	и особенно	2	2
179	и на	8	2
180	и здесь	9	2
181	и действительно	4	2
182	нее не	2	2
183	уже в	3	2
184	с целью	2	2
185	еще не	7	2
186	для каждого	3	2
187	жизни и	4	2
188	без помощи	2	2
189	что большинство	2	2
190	не было	6	2
191	превращается в	2	2
192	самого начала	9	2
193	к которым	3	2
194	так называемой	3	2
195	можно назвать	2	2
196	этом отношении	4	2
197	и мир	2	2
198	не в	13	2
199	из него	4	2
200	то ни	12	2
201	ничего общего	5	2
202	ни было	15	2
203	той или	5	2
204	перестает быть	2	2
205	на все	2	2
206	и все	8	2
207	же время	7	2
208	в виду	2	2
209	психической жизни	4	2
210	связано с	3	2
211	не к	3	2
212	прежде всего	19	2
213	как от	3	2
214	его не	2	2
215	бы то	11	2
216	тот же	4	2
217	не могло	3	2
218	связана с	4	2
219	с его	6	2
220	этими двумя	2	2
221	во всех	13	2
222	всех других	3	2
223	в разных	2	2
224	же самое	9	2
225	оно является	2	2
226	быть и	9	2
227	не с	2	2
