N	2gram	Vinokur_Vv	TeoriaLi
1	в качестве	8	33
2	не только	26	24
3	и в	35	24
4	в частности	3	23
5	состоит в	2	22
6	может быть	30	22
7	в том	38	20
8	при этом	3	20
9	в тексте	4	19
10	тогда как	2	18
11	и не	13	17
12	а в	6	15
13	но и	7	14
14	так и	2	14
15	а не	5	14
16	в себе	4	14
17	такого рода	3	13
18	но не	9	13
19	представляет собой	14	13
20	в этом	35	12
21	то же	11	12
22	но в	10	12
23	в его	12	12
24	том что	30	11
25	точки зрения	12	11
26	своего рода	3	11
27	и его	6	11
28	по отношению	4	10
29	отношению к	4	10
30	как это	5	10
31	что в	13	10
32	в данном	11	9
33	не в	10	9
34	с другой	8	9
35	в то	6	9
36	только в	16	9
37	не может	19	8
38	как бы	7	8
39	в своей	4	8
40	же время	6	8
41	особого рода	4	7
42	или иной	3	7
43	в своем	3	7
44	а также	3	7
45	мы имеем	4	7
46	себя в	2	7
47	отношение к	3	7
48	в принципе	3	7
49	во второй	3	7
50	в области	4	7
51	отличие от	4	7
52	в самом	13	7
53	в отличие	4	7
54	однако в	3	7
55	не столько	2	7
56	в нем	13	7
57	другой стороны	5	6
58	в конечном	3	6
59	со стороны	16	6
60	не менее	9	6
61	еще не	4	6
62	то что	19	6
63	как и	7	6
64	или иначе	4	6
65	уже не	6	6
66	между ними	3	6
67	в ее	11	6
68	данном случае	5	5
69	как в	3	5
70	в виду	5	5
71	и тем	5	5
72	для того	23	5
73	так или	4	5
74	на почве	5	5
75	между тем	10	5
76	могут быть	6	5
77	жизни как	2	5
78	того чтобы	22	5
79	того что	12	5
80	можно сказать	4	5
81	никогда не	3	4
82	сказать что	6	4
83	в отношении	3	4
84	его в	6	4
85	это не	8	4
86	или иным	2	4
87	значении этого	2	4
88	и ее	4	4
89	в форме	2	4
90	в другом	3	4
91	в силу	3	4
92	этого слова	2	4
93	и т.д	5	4
94	в их	12	4
95	одного и	2	4
96	в этих	3	4
97	что он	5	4
98	в текстах	3	4
99	по своему	5	4
100	к тому	4	4
101	а только	8	4
102	того же	3	4
103	входит в	3	4
104	в свою	2	4
105	в целом	5	4
106	отношении к	2	4
107	и того	3	4
108	и что	6	4
109	языка в	5	4
110	говорить о	5	4
111	и сам	3	4
112	не следует	3	4
113	в слове	3	4
114	хотя и	5	4
115	и то	7	3
116	в соответствии	2	3
117	и потому	2	3
118	во всех	2	3
119	из этих	9	3
120	одной стороны	4	3
121	о чем	4	3
122	без остатка	2	3
123	и для	4	3
124	тем не	9	3
125	как совокупность	2	3
126	и как	9	3
127	о литературе	3	3
128	если бы	3	3
129	подобно тому	2	3
130	свою очередь	2	3
131	слова как	2	3
132	одним из	5	3
133	с этой	5	3
134	а именно	6	3
135	и вот	3	3
136	ни к	2	3
137	с одной	4	3
138	текст и	3	3
139	и др	2	3
140	а с	2	3
141	не с	3	3
142	искусства и	2	3
143	или иных	3	3
144	культуры в	5	3
145	именно в	8	3
146	потому что	18	3
147	тому как	2	3
148	что можно	2	3
149	во втором	2	3
150	прежде всего	10	3
151	к действительности	2	3
152	и к	3	3
153	на языке	2	3
154	этом смысле	11	3
155	мог бы	2	3
156	от себя	3	3
157	с точки	4	3
158	своей природе	3	3
159	все эти	3	3
160	той или	3	3
161	связи с	3	3
162	в связи	2	3
163	таким образом	21	3
164	например в	2	3
165	тех или	3	3
166	в этой	3	3
167	в одном	4	3
168	как раз	4	3
169	вовсе не	6	3
170	одно и	2	2
171	может служить	3	2
172	еще и	4	2
173	в каком	3	2
174	в основании	3	2
175	не могли	2	2
176	не могут	6	2
177	так же	3	2
178	но как	2	2
179	с чем	2	2
180	тем более	2	2
181	дело не	5	2
182	дело в	5	2
183	при всей	2	2
184	что она	3	2
185	с их	5	2
186	как уже	5	2
187	об этом	6	2
188	и даже	6	2
189	в конце	3	2
190	и здесь	3	2
191	сама по	3	2
192	языка на	2	2
193	времени и	4	2
194	это делает	2	2
195	казалось бы	2	2
196	в значительной	3	2
197	истории литературы	3	2
198	может оказаться	3	2
199	у нас	2	2
200	к своему	2	2
201	только на	3	2
202	и другие	2	2
203	в формах	2	2
204	это может	2	2
205	самом деле	7	2
206	известном смысле	3	2
207	на вопрос	6	2
208	в чем	4	2
209	вместе с	6	2
210	в какой	6	2
211	на котором	2	2
212	одной из	4	2
213	к нему	3	2
214	и это	6	2
215	тому что	2	2
216	о том	16	2
217	что такое	12	2
218	не вполне	4	2
219	сам же	2	2
220	должен быть	4	2
221	и на	3	2
222	однако с	2	2
223	этой точки	2	2
224	соответствии с	2	2
225	об искусстве	4	2
226	на этом	3	2
227	из которых	3	2
228	он и	2	2
229	в известном	3	2
230	один из	6	2
231	в них	5	2
232	по себе	11	2
233	что может	3	2
234	речь идет	2	2
235	вопрос что	2	2
236	несмотря на	2	2
237	здесь не	3	2
238	в той	10	2
239	что и	5	2
240	тем или	2	2
241	двоякого рода	2	2
242	духовной жизни	3	2
243	к числу	2	2
244	а затем	2	2
245	быть названо	4	2
246	и наоборот	3	2
247	имеет дело	5	2
248	заключается в	4	2
249	не просто	5	2
250	все это	6	2
251	только о	2	2
252	что они	2	2
253	времени в	3	2
254	как будто	3	2
255	в первом	5	2
256	случае не	2	2
257	этих двух	2	2
258	ними и	2	2
259	большей части	2	2
260	быть и	2	2
