N	2gram	Vinokur_Vv	Myshleni
1	в том	38	195
2	в этом	35	167
3	то что	19	166
4	и в	35	162
5	том что	30	161
6	таким образом	21	147
7	точки зрения	12	143
8	с помощью	2	131
9	что в	13	119
10	не только	26	116
11	того что	12	109
12	так же	3	100
13	потому что	18	95
14	того чтобы	22	91
15	может быть	30	89
16	с точки	4	89
17	что он	5	86
18	не может	19	81
19	как и	7	79
20	так как	15	78
21	для того	23	78
22	и не	13	78
23	только в	16	75
24	в целом	5	74
25	как мы	11	72
26	но и	7	70
27	заключается в	4	67
28	в его	12	67
29	сказать что	6	65
30	как бы	7	64
31	вместе с	6	62
32	в качестве	8	60
33	и что	6	60
34	было бы	7	60
35	представляет собой	14	60
36	то же	11	58
37	в отношении	3	55
38	что мы	2	53
39	в силу	3	53
40	в самом	13	52
41	в сущности	3	51
42	по сравнению	4	51
43	мы должны	2	50
44	к тому	4	49
45	что они	2	48
46	мы можем	2	48
47	тем что	6	48
48	мы не	2	47
49	тогда когда	4	47
50	сравнению с	4	46
51	если бы	3	46
52	но не	9	45
53	с другой	8	45
54	по отношению	4	45
55	с тем	6	43
56	же как	3	43
57	как это	5	42
58	тому что	2	42
59	отношению к	4	42
60	одной стороны	4	40
61	о том	16	40
62	так и	2	39
63	говорит он	2	39
64	никогда не	3	39
65	с одной	4	39
66	в области	4	38
67	мы видели	3	38
68	вопрос о	10	37
69	не в	10	37
70	в этой	3	37
71	и к	3	37
72	в своем	3	36
73	все эти	3	36
74	и его	6	36
75	как в	3	36
76	а не	5	36
77	того же	3	35
78	можно было	8	35
79	в себе	4	35
80	и т.д	5	35
81	и как	9	34
82	связи с	3	34
83	при этом	3	33
84	прежде всего	10	33
85	по себе	11	33
86	что и	5	32
87	именно в	8	32
88	по своему	5	32
89	же самое	3	32
90	но в	10	32
91	той же	4	32
92	и тем	5	32
93	что оно	2	32
94	и на	3	32
95	и то	7	31
96	из того	2	31
97	все же	9	31
98	мысли и	2	30
99	этом отношении	4	30
100	на то	2	30
101	между тем	10	29
102	могут быть	6	29
103	и развития	2	29
104	этого слова	2	29
105	от того	3	29
106	с этим	3	28
107	самом деле	7	28
108	что с	3	28
109	в своей	4	27
110	только что	4	27
111	с этой	5	27
112	в результате	4	27
113	в то	6	27
114	связь между	5	27
115	этом случае	6	27
116	другой стороны	5	27
117	и с	2	27
118	в их	12	26
119	в частности	3	26
120	что это	3	26
121	понятия в	2	26
122	в собственном	3	26
123	собственном смысле	3	26
124	все это	6	25
125	по мере	4	25
126	еще не	4	25
127	уже в	5	25
128	что она	3	25
129	это не	8	25
130	в чем	4	25
131	можно сказать	4	25
132	мы уже	2	25
133	так что	5	24
134	в какой	6	24
135	в нем	13	24
136	того как	3	24
137	зависимости от	3	24
138	на этот	6	24
139	в слове	3	24
140	как уже	5	24
141	как он	6	23
142	состоит в	2	23
143	бы в	2	23
144	этот вопрос	7	23
145	связи между	4	23
146	смысле этого	9	22
147	в известном	3	22
148	во всяком	5	22
149	в зависимости	3	22
150	не могут	6	22
151	отношение к	3	21
152	на основании	5	21
153	в истории	9	21
154	отношений между	3	21
155	все время	2	21
156	его в	6	21
157	к этому	3	21
158	между ними	3	21
159	и ее	4	21
160	не имеет	4	21
161	к выводу	7	20
162	в котором	4	20
163	в виду	5	20
164	и других	3	20
165	по существу	2	20
166	а в	6	20
167	должно быть	2	20
168	из них	4	20
169	как раз	4	20
170	в другом	3	20
171	на вопрос	6	20
172	на этом	3	20
173	не менее	9	20
174	из этих	9	20
175	об отношении	3	19
176	речь в	4	19
177	в данном	11	19
178	из которых	3	19
179	в той	10	19
180	как на	12	19
181	но если	6	19
182	а с	2	19
183	во всех	2	19
184	один из	6	19
185	в связи	2	19
186	независимо от	5	19
187	отличие от	4	18
188	во всем	2	18
189	одного и	2	18
190	к действительности	2	18
191	чем в	3	18
192	всяком случае	5	18
193	но это	2	18
194	в отличие	4	18
195	этом смысле	11	18
196	для этого	3	17
197	сих пор	7	17
198	и для	4	17
199	в своих	2	17
200	в свою	2	17
201	и того	3	17
202	в одном	4	17
203	обе эти	3	17
204	казалось бы	2	17
205	этой точки	2	17
206	и есть	3	17
207	о природе	7	17
208	не есть	5	17
209	в этих	3	17
210	до конца	3	17
211	и той	3	17
212	до сих	7	17
213	раньше чем	3	16
214	на этой	3	16
215	языка и	15	16
216	своей природе	3	16
217	вовсе не	6	16
218	выводу что	7	16
219	значение в	2	16
220	тому как	2	16
221	одной и	2	16
222	и другие	2	16
223	исследования и	3	16
224	и даже	6	16
225	в которых	6	16
226	мы имеем	4	16
227	которые не	2	16
228	данном случае	5	15
229	известном смысле	3	15
230	тем более	2	15
231	но как	2	15
232	том же	2	15
233	по этому	3	15
234	что если	2	15
