N	3gram	Vygotskiy_	Vladivir
1	в том что	24	29
2	о том что	4	22
3	тем не менее	4	18
4	и то что	5	14
5	в то время	8	13
6	содержит в себе	4	11
7	в то же	2	10
8	с точки зрения	31	10
9	не может быть	6	10
10	вместе с тем	6	10
11	в этом смысле	2	9
12	на то что	5	8
13	точно так же	3	7
14	том что он	2	6
15	в данном случае	5	6
16	том что в	3	6
17	в отличие от	4	6
18	как мы видели	7	6
19	с другой стороны	3	6
20	и в этом	2	6
21	то время как	7	5
22	не только в	2	5
23	сам по себе	2	4
24	можно сказать что	7	4
25	как мы уже	2	4
26	не содержит в	2	4
27	в этом отношении	7	4
28	в том же	3	4
29	можно было бы	5	4
30	заключается в том	9	4
31	с одной стороны	7	4
32	для того чтобы	24	4
33	что в этом	2	4
34	и вместе с	2	4
35	с самого начала	13	3
36	в первую очередь	3	3
37	так что в	2	3
38	то в чем	2	3
39	в том числе	2	3
40	в самом деле	4	3
41	только в том	2	3
42	не только не	11	3
43	по этому поводу	3	3
44	к тому что	10	3
45	мы знаем что	2	3
46	в последнее время	4	3
47	в свою очередь	3	3
48	но вместе с	2	2
49	и то же	3	2
50	и в конце	2	2
51	в которой он	2	2
52	только и может	2	2
53	в этот период	2	2
54	то что мы	3	2
55	так же как	13	2
56	но то что	2	2
57	в том и	3	2
58	до сих пор	6	2
59	одно и то	3	2
60	одной стороны и	4	2
61	так как в	2	2
62	в этой области	2	2
63	в этом случае	15	2
