N	2gram	Voloshinov	Narrotol
1	не только	4	62
2	и не	10	50
3	при этом	6	47
4	но и	3	45
5	а не	5	38
6	может быть	14	30
7	и в	12	30
8	в том	6	29
9	том что	5	28
10	в этом	4	28
11	только в	6	25
12	в данном	2	24
13	как и	5	24
14	не в	4	23
15	то что	5	23
16	не может	16	20
17	данном случае	2	17
18	в себе	3	17
19	так и	4	17
20	в его	2	16
21	но в	5	15
22	можно сказать	5	15
23	в жизни	5	14
24	и его	13	14
25	в своем	2	13
26	в своей	3	13
27	то же	5	13
28	о том	3	13
29	уже не	4	13
30	все же	4	12
31	прежде всего	8	12
32	как в	5	12
33	как бы	13	12
34	по отношению	11	11
35	в нем	6	11
36	если бы	9	11
37	отношению к	11	11
38	никогда не	5	10
39	в то	2	10
40	ничего не	2	10
41	как это	2	10
42	точки зрения	14	10
43	того что	3	10
44	и все	2	10
45	но не	2	10
46	жизни и	4	10
47	тому же	2	10
48	между тем	3	10
49	с его	2	10
50	еще не	3	9
51	что в	2	9
52	отнюдь не	5	9
53	тем не	3	9
54	для него	3	9
55	с ним	3	9
56	самом деле	3	8
57	не менее	3	8
58	мы имеем	2	8
59	в литературе	4	8
60	и для	3	8
61	в самом	4	8
62	и к	4	8
63	он не	2	8
64	это не	2	7
65	едва ли	2	7
66	в чем	2	7
67	в ней	6	7
68	имеет место	2	7
69	с другой	4	7
70	в котором	3	7
71	и на	4	7
72	в форме	2	7
73	одной стороны	2	6
74	что и	2	6
75	сказать что	7	6
76	здесь не	3	6
77	на него	2	6
78	героя и	5	6
79	с одной	2	6
80	в нашем	11	6
81	к его	2	6
82	таким образом	12	6
83	на самом	4	5
84	точку зрения	2	5
85	дело с	2	5
86	к нему	4	5
87	место в	2	5
88	точка зрения	3	5
89	между собой	2	5
90	мы не	3	5
91	и здесь	2	5
92	да и	3	5
93	и то	2	5
94	или не	3	5
95	в пределах	3	5
96	в какой	2	5
97	но для	3	5
98	и уже	3	5
99	еще раз	2	4
100	и ее	3	4
101	в виду	5	4
102	в событии	2	4
103	только на	3	4
104	в душе	2	4
105	в них	3	4
106	она не	2	4
107	и по	3	4
108	быть и	3	4
109	но зато	2	4
110	хотя бы	5	4
111	к этому	2	4
112	внутренней речи	3	4
113	зависит от	2	4
114	и притом	2	4
115	оно не	2	4
116	и с	3	4
117	для нас	7	4
118	по себе	3	4
119	в себя	2	4
120	не к	3	4
121	вместе с	2	4
122	до конца	2	3
123	ее и	3	3
124	и потому	2	3
125	так же	3	3
126	как к	3	3
127	с этой	2	3
128	для других	2	3
129	к ним	2	3
130	как уже	2	3
131	по природе	2	3
132	между ними	2	3
133	кругозора и	2	3
134	что не	4	3
135	а к	2	3
136	все эти	3	3
137	в зависимости	2	3
138	все время	6	3
139	но это	2	3
140	дело в	4	3
141	зависимости от	4	3
142	бы не	2	3
143	в этих	2	3
144	сих пор	3	3
145	что мы	5	3
146	с точки	2	3
147	и что	2	3
148	как на	2	3
149	же самое	2	3
150	подчеркнуть что	2	3
151	до сих	3	3
152	в каком	3	2
153	высказывания как	4	2
154	в формах	2	2
155	в момент	2	2
156	слово это	2	2
157	о ком	2	2
158	те же	2	2
159	могут быть	2	2
160	к герою	3	2
161	в процессе	6	2
162	одно и	2	2
163	и вообще	3	2
164	но все	2	2
165	другой стороны	2	2
166	его как	2	2
167	на это	2	2
168	мы можем	2	2
169	как если	4	2
170	слова и	6	2
171	все это	3	2
172	не есть	2	2
173	в особенности	2	2
174	и наконец	3	2
175	смысл и	2	2
176	быть только	2	2
177	должна быть	5	2
178	и более	3	2
179	отношение к	4	2
180	и является	4	2
181	автора и	2	2
182	точек зрения	3	2
183	когда он	3	2
184	жизненной ситуации	2	2
185	значения и	2	2
186	из него	2	2
187	жизнью и	2	2
188	как только	2	2
189	если же	2	2
190	этих двух	2	2
191	с помощью	6	2
192	ясно что	3	2
