N	2gram	Trubetskoy	RusskieA
1	и в	24	79
2	в том	31	64
3	том что	20	59
4	что в	9	57
5	не только	10	41
6	так как	7	34
7	в этом	13	33
8	как бы	10	31
9	но и	11	31
10	как и	10	28
11	может быть	17	28
12	и на	6	28
13	одна из	2	24
14	о том	7	23
15	с в	3	23
16	при этом	9	22
17	это не	3	20
18	как мы	3	20
19	а в	3	20
20	из них	5	19
21	все это	13	18
22	с тем	4	17
23	потому что	9	17
24	то что	18	17
25	таким образом	34	17
26	вместе с	7	17
27	у нас	3	14
28	мы видели	2	14
29	для нас	3	14
30	не менее	7	14
31	в них	2	14
32	тем не	4	14
33	и не	9	14
34	и с	5	14
35	и что	9	14
36	так что	6	13
37	и по	3	13
38	к этому	5	13
39	не может	18	13
40	еще не	6	13
41	в которых	2	13
42	в виде	4	12
43	между собой	4	12
44	этом случае	4	12
45	что на	2	11
46	а затем	2	11
47	не имеет	2	11
48	далеко не	5	11
49	его в	5	10
50	и других	3	10
51	так и	10	10
52	по существу	7	10
53	между тем	12	10
54	все же	15	10
55	что и	7	10
56	в течение	4	10
57	том чтобы	2	10
58	данном случае	3	9
59	том же	4	9
60	но в	5	9
61	и все	9	9
62	что они	2	9
63	то же	4	9
64	но не	3	9
65	так же	8	8
66	того что	7	8
67	одно из	3	8
68	в данном	3	8
69	того чтобы	8	8
70	их в	2	8
71	связи с	4	8
72	представление о	3	8
73	что это	5	8
74	во всех	10	8
75	для того	8	8
76	в этих	3	8
77	что по	3	8
78	в своем	12	7
79	мы должны	4	7
80	а и	8	7
81	в настоящее	3	7
82	не в	9	7
83	а с	4	7
84	к нему	2	7
85	настоящее время	3	7
86	по этому	2	7
87	было бы	3	7
88	для этого	7	7
89	из этих	8	7
90	в эти	3	7
91	только в	6	7
92	как будто	5	7
93	в этой	7	6
94	и их	5	6
95	и у	4	6
96	друг друга	2	6
97	на этом	2	6
98	в их	4	6
99	в в	4	6
100	тому что	2	6
101	она не	2	6
102	к тому	8	6
103	в нем	3	6
104	же как	3	6
105	с ними	2	6
106	все эти	19	6
107	чем в	3	6
108	выше мы	4	6
109	что она	2	6
110	на земле	3	6
111	и более	2	6
112	на нее	2	6
113	в таком	4	6
114	на самом	7	5
115	вопрос о	3	5
116	и потому	3	5
117	в тех	3	5
118	но если	2	5
119	тогда когда	3	5
120	что он	7	5
121	это представление	3	5
122	прежде всего	3	5
123	в разных	3	5
124	к ним	2	5
125	в свою	2	5
126	с этим	12	5
127	в то	6	5
128	в народе	4	5
129	в целом	5	5
130	тогда как	6	5
131	в связи	3	5
132	не было	2	5
133	тот же	3	5
134	в его	5	5
135	то и	2	5
136	ничего общего	3	5
137	и для	6	5
138	рассматриваться как	3	5
139	с другой	6	5
140	и к	5	5
141	отнюдь не	2	5
142	с ним	6	5
143	мы уже	4	5
144	к таким	2	5
145	показывают что	2	4
146	и ее	2	4
147	у них	6	4
148	и при	6	4
149	таким же	3	4
150	только тогда	2	4
151	от них	2	4
152	и там	2	4
153	отличие от	3	4
154	основаны на	3	4
155	и до	3	4
156	во всей	2	4
157	этого слова	2	4
158	во всяком	2	4
159	в основе	2	4
160	и от	5	4
161	по своему	5	4
162	а к	2	4
163	несмотря на	6	4
164	к тем	2	4
165	та же	4	4
166	такой же	2	4
167	и из	2	4
168	но все	5	4
169	можно встретить	2	4
170	что у	2	4
171	что для	4	4
172	именно в	5	4
173	в котором	2	4
174	в своих	2	4
175	этот вопрос	2	4
176	в ней	3	4
177	всяком случае	2	4
178	то время	2	4
179	во всем	3	4
180	на этой	3	4
181	никогда не	4	3
182	всех этих	4	3
183	очевидно что	3	3
184	ее и	4	3
185	и поэтому	2	3
186	каждый из	3	3
187	то есть	2	3
188	в виду	2	3
189	на все	5	3
190	в одно	2	3
191	а наоборот	3	3
192	или менее	8	3
193	мы знаем	10	3
194	что все	5	3
195	и это	3	3
196	более или	8	3
197	тех пор	2	3
198	точки зрения	14	3
