N	2gram	Tiupa_Disk	VerxiiNi
1	и в	27	26
2	таким образом	4	22
3	в этом	29	15
4	вместе с	3	15
5	точки зрения	6	13
6	как бы	9	12
7	в том	29	11
8	не только	36	10
9	из этих	3	10
10	и с	2	10
11	может быть	29	10
12	что в	8	9
13	в области	3	9
14	связи с	4	9
15	но и	22	9
16	но не	17	8
17	с другой	14	8
18	и не	25	8
19	но все	2	7
20	в эпоху	5	7
21	потому что	7	7
22	одной стороны	12	7
23	из них	6	7
24	то что	10	7
25	с одной	12	7
26	но в	15	7
27	том что	27	7
28	а с	8	7
29	все же	8	6
30	к тому	6	6
31	о том	12	6
32	того же	5	6
33	в себе	22	6
34	всяком случае	2	6
35	что и	5	6
36	с точки	3	6
37	и т.д	5	6
38	все эти	2	6
39	все это	2	6
40	и потому	3	6
41	так и	14	6
42	во всяком	3	6
43	никогда не	3	5
44	в мире	9	5
45	одной из	4	5
46	более или	2	5
47	том числе	3	5
48	и к	4	5
49	в силу	5	5
50	отношение к	6	5
51	лишь в	4	5
52	в его	9	5
53	крайней мере	3	5
54	а не	35	5
55	тому же	5	5
56	по крайней	3	5
57	или менее	2	5
58	и от	2	4
59	далеко не	10	4
60	а в	5	4
61	в котором	7	4
62	в самом	4	4
63	в нем	16	4
64	не может	17	4
65	к своим	3	4
66	в которых	5	4
67	то есть	29	4
68	целый ряд	2	4
69	то же	12	4
70	числе и	3	4
71	и что	2	4
72	и по	2	4
73	в этих	4	4
74	только в	9	4
75	что он	6	4
76	он не	4	4
77	в этой	5	4
78	в то	8	4
79	в рамках	11	3
80	в своем	11	3
81	с самого	2	3
82	если в	2	3
83	к ним	3	3
84	уже не	7	3
85	хотя бы	3	3
86	к этому	4	3
87	в результате	3	3
88	с ней	3	3
89	в которой	2	3
90	в значительной	3	3
91	представляет собой	24	3
92	и даже	4	3
93	и как	9	3
94	при этом	22	3
95	не менее	6	3
96	то с	2	3
97	когда он	3	3
98	в качестве	45	3
99	с этой	2	3
100	и о	4	3
101	можно сказать	7	3
102	отношению к	13	3
103	в одном	5	3
104	того что	4	3
105	для него	9	3
106	по своему	3	2
107	одно из	4	2
108	сказать что	4	2
109	так например	2	2
110	о котором	2	2
111	говорили о	2	2
112	и это	3	2
113	или иной	8	2
114	не могут	2	2
115	но при	3	2
116	а также	15	2
117	для всех	2	2
118	стадии развития	2	2
119	состоит в	20	2
120	одновременно и	3	2
121	мы имеем	4	2
122	в процессе	6	2
123	в начале	2	2
124	свидетельствует о	2	2
125	и другой	2	2
126	ему в	3	2
127	вплоть до	2	2
128	между тем	5	2
129	одним из	2	2
130	к его	5	2
131	в свою	3	2
132	не как	5	2
133	должно было	2	2
134	именно в	5	2
135	отличается от	3	2
136	приводит к	4	2
137	требует от	2	2
138	в них	6	2
139	и на	8	2
140	уже в	2	2
141	еще не	20	2
142	мысль о	3	2
143	к которому	2	2
144	по своей	15	2
145	жизни и	2	2
146	в новом	2	2
147	не было	9	2
148	по своим	4	2
149	самого начала	2	2
150	можно назвать	2	2
151	различия между	3	2
152	этом отношении	4	2
153	не в	8	2
154	не всегда	2	2
155	и наконец	2	2
156	той или	6	2
157	в одно	2	2
158	и все	5	2
159	же время	9	2
160	один из	3	2
161	в виду	2	2
162	гораздо менее	3	2
163	не к	3	2
164	прежде всего	17	2
165	не могло	2	2
166	с его	9	2
167	во всех	6	2
168	же самое	2	2
169	быть и	2	2
170	не с	4	2
