N	2gram	Losev_Dial	EvropaiE
1	и в	34	37
2	точки зрения	43	23
3	что в	12	21
4	не только	35	18
5	с точки	25	17
6	в то	9	16
7	хотя бы	9	15
8	то же	9	15
9	в своем	7	14
10	но в	3	14
11	но и	14	14
12	и не	50	14
13	же время	5	14
14	в этом	14	12
15	в том	17	11
16	в их	2	11
17	так и	11	10
18	т е	72	9
19	так же	7	9
20	в смысле	4	9
21	не может	29	9
22	отнюдь не	16	9
23	в себе	8	9
24	прежде всего	20	9
25	только в	10	9
26	одной стороны	3	8
27	в ее	5	8
28	думать что	3	8
29	было бы	13	8
30	в своей	4	8
31	с одной	4	8
32	к тому	4	8
33	по своему	2	7
34	также и	6	7
35	с другой	5	7
36	как и	14	7
37	так как	12	7
38	того что	22	7
39	том что	18	6
40	во всех	2	6
41	и даже	21	6
42	может быть	30	6
43	и на	6	6
44	с этой	7	6
45	для того	4	6
46	на то	5	6
47	то что	25	6
48	как бы	19	6
49	вовсе не	18	6
50	но не	3	5
51	от этого	5	5
52	тем самым	3	5
53	и по	2	5
54	и потому	6	5
55	но если	11	5
56	этой точки	4	5
57	как мы	4	5
58	со стороны	5	5
59	не в	11	5
60	в виде	11	5
61	в частности	3	5
62	в течение	4	5
63	же как	4	5
64	одной из	3	5
65	сказать что	7	4
66	в каком	9	4
67	вопрос о	9	4
68	и притом	10	4
69	не имеет	18	4
70	или иного	3	4
71	или иной	4	4
72	само по	8	4
73	можно сказать	5	4
74	то в	5	4
75	независимо от	3	4
76	именно в	5	4
77	в процессе	2	4
78	в самом	9	4
79	но даже	4	4
80	мы не	11	4
81	в ней	4	4
82	для нас	2	4
83	по себе	31	4
84	несмотря на	2	4
85	тем более	5	4
86	той или	3	4
87	не на	7	4
88	как это	8	4
89	то ни	4	4
90	того или	6	4
91	бы то	3	4
92	чем в	2	4
93	никогда не	9	3
94	с тем	4	3
95	и от	4	3
96	и для	5	3
97	ни на	5	3
98	и только	6	3
99	о том	11	3
100	в данном	6	3
101	вообще не	3	3
102	в сфере	3	3
103	когда он	3	3
104	мира и	3	3
105	бы и	2	3
106	и к	5	3
107	в результате	7	3
108	мы можем	3	3
109	это так	2	3
110	но на	2	3
111	уже и	3	3
112	не будет	5	3
113	из них	4	3
114	и прежде	6	3
115	в них	6	3
116	можно ли	6	3
117	всяком случае	3	3
118	место в	2	3
119	на себя	3	3
120	что и	8	3
121	и мы	6	3
122	и тем	3	3
123	тем что	5	3
124	говорит о	5	3
125	этом отношении	2	3
126	потому что	21	3
127	себе не	3	3
128	она в	3	3
129	в таком	15	3
130	как в	2	3
131	как на	6	3
132	ее в	3	3
133	во всяком	5	3
134	есть в	4	2
135	данном случае	3	2
136	и если	5	2
137	представление о	3	2
138	в мире	2	2
139	в его	6	2
140	не есть	95	2
141	что это	20	2
142	одна и	3	2
143	при помощи	6	2
144	и то	7	2
145	что если	5	2
146	утверждать что	6	2
147	к нему	4	2
148	не могут	6	2
149	как же	9	2
150	помнить что	2	2
151	она не	10	2
152	а в	3	2
153	с этим	4	2
154	из того	2	2
155	или по	4	2
156	в котором	2	2
157	тому чтобы	3	2
158	его на	3	2
159	заметить что	2	2
160	но как	3	2
161	в своих	3	2
162	можно утверждать	2	2
163	только к	3	2
164	и с	10	2
165	бы в	5	2
166	в другой	2	2
167	не нужно	2	2
168	что на	3	2
169	могут быть	5	2
170	по преимуществу	2	2
171	не говоря	6	2
172	другой стороны	4	2
173	есть ли	8	2
174	что все	16	2
175	но еще	2	2
176	тогда когда	9	2
177	и та	4	2
178	в одном	3	2
179	и можно	5	2
180	в сферу	4	2
181	на них	2	2
182	и как	13	2
183	не можем	3	2
184	мог бы	2	2
185	что же	12	2
186	целый ряд	3	2
187	есть не	11	2
188	если бы	10	2
189	ее от	2	2
190	в этих	3	2
191	жизни и	8	2
192	в силу	5	2
193	как не	4	2
194	а не	39	2
195	и тут	5	2
196	мы видим	4	2
197	и что	21	2
198	нас к	2	2
199	и во	3	2
200	и наконец	2	2
201	то не	2	2
202	же в	2	2
203	точка зрения	5	2
204	и все	17	2
205	или в	4	2
206	к природе	3	2
207	таким образом	14	2
208	а именно	7	2
209	это значит	29	2
210	в истории	7	2
211	он не	8	2
212	как будто	3	2
213	только одно	4	2
214	на основании	3	2
215	ведь и	3	2
216	говоря уже	6	2
217	в этой	3	2
218	в некоторых	3	2
219	меньше чем	2	2
220	всего в	2	2
221	хотя и	9	2
222	должна быть	11	2
223	вместе с	3	2
224	заключается в	3	2
225	будет ли	5	2
226	при условии	5	2
227	культуры и	2	2
