N	2gram	Berdyaev_M	DiskursI
1	а не	36	60
2	может быть	42	56
3	не только	42	49
4	и в	61	49
5	как и	14	47
6	в том	9	44
7	и не	26	44
8	то есть	3	41
9	том что	7	40
10	в этом	34	38
11	в себе	12	37
12	но и	34	35
13	но не	8	31
14	так и	5	28
15	но в	12	28
16	не может	39	27
17	по своей	4	26
18	как в	9	25
19	все же	2	19
20	прежде всего	18	19
21	в нем	26	19
22	в своей	18	19
23	в основе	4	18
24	по отношению	4	17
25	то же	4	17
26	отношению к	4	17
27	в мире	12	17
28	точки зрения	6	16
29	только в	7	16
30	роль в	2	15
31	в его	10	15
32	то что	10	15
33	о том	5	15
34	это не	10	14
35	не в	16	14
36	ни к	2	14
37	для него	28	13
38	как бы	10	13
39	в своем	17	12
40	и все	13	12
41	природе своей	2	12
42	ведет к	16	12
43	в своих	4	12
44	и на	9	12
45	что в	12	11
46	по природе	2	11
47	с его	6	11
48	и как	3	11
49	не было	25	11
50	а в	4	10
51	также и	6	10
52	в то	2	9
53	между тем	2	9
54	в них	5	9
55	уже не	8	9
56	еще в	4	9
57	себя в	6	9
58	человека в	26	8
59	к тому	6	8
60	потому что	25	8
61	хотя и	2	8
62	если в	2	8
63	жизни в	3	8
64	в этих	6	8
65	в котором	9	8
66	в творчестве	13	8
67	он не	34	8
68	его в	6	7
69	о чем	3	7
70	могут быть	2	7
71	и ее	2	7
72	приводит к	2	7
73	и для	7	7
74	но это	8	7
75	что и	6	7
76	в этой	12	7
77	к этому	3	7
78	мира в	2	7
79	лишь в	8	7
80	ни в	3	7
81	в русской	4	7
82	той же	3	7
83	и его	13	7
84	никогда не	30	6
85	не как	4	6
86	отношение к	9	6
87	что он	16	6
88	в трагедии	3	6
89	не знает	12	6
90	одно из	3	6
91	тому как	2	6
92	что же	2	6
93	в сущности	2	6
94	в истории	2	6
95	в ее	3	6
96	и то	2	6
97	в эпоху	2	6
98	то в	2	6
99	во всех	3	6
100	в которых	5	6
101	ничего не	4	5
102	к себе	3	5
103	в виду	2	5
104	в их	4	5
105	и потому	17	5
106	того что	13	5
107	о нем	2	5
108	мира и	6	5
109	один из	9	5
110	было в	3	5
111	принадлежит к	3	5
112	того как	3	5
113	как будто	4	5
114	сказать что	5	5
115	но она	3	5
116	значительной степени	2	5
117	за пределы	5	5
118	мысль о	2	5
119	я и	3	5
