N	2gram	Losev_Vlad	Vvedenie
1	и т	3	45
2	т д	3	39
3	в том	26	38
4	в этом	30	35
5	и в	56	35
6	том что	22	30
7	может быть	12	30
8	не только	35	26
9	для того	4	23
10	того чтобы	4	22
11	таким образом	6	21
12	также и	13	20
13	не может	12	19
14	то что	30	19
15	потому что	16	18
16	со стороны	5	16
17	о том	13	16
18	только в	11	16
19	так как	11	15
20	в общем	4	14
21	и не	33	13
22	что в	24	13
23	в самом	3	13
24	в нем	7	13
25	в их	2	12
26	того что	6	12
27	что такое	3	12
28	точки зрения	4	12
29	в его	18	12
30	как на	2	12
31	этом смысле	4	11
32	то же	10	11
33	по себе	3	11
34	как мы	17	11
35	ясно что	2	11
36	не в	12	10
37	прежде всего	5	10
38	но в	19	10
39	в той	2	10
40	уже и	4	10
41	из этих	5	9
42	тем не	8	9
43	и как	7	9
44	все же	11	9
45	но не	5	9
46	не менее	9	9
47	дело с	2	9
48	в истории	4	9
49	это не	3	8
50	о котором	2	8
51	с другой	3	8
52	именно в	4	8
53	как нечто	2	8
54	в качестве	7	8
55	и то	13	7
56	как и	7	7
57	как бы	5	7
58	но и	26	7
59	было бы	7	7
60	сказать что	14	6
61	его в	3	6
62	не могут	2	6
63	том чтобы	4	6
64	хотя бы	5	6
65	иное как	2	6
66	об этом	13	6
67	и даже	23	6
68	тем что	2	6
69	как он	4	6
70	а именно	4	6
71	на вопрос	2	6
72	так например	3	6
73	на этот	9	6
74	с тем	4	6
75	и это	4	6
76	а в	20	6
77	уже не	6	6
78	в то	15	6
79	один из	4	6
80	и что	11	6
81	и его	12	6
82	все это	7	6
83	же время	7	6
84	вовсе не	8	6
85	вместе с	9	6
86	дело в	7	5
87	дело не	3	5
88	не что	2	5
89	и тем	2	5
90	одним из	3	5
91	с этой	4	5
92	что он	22	5
93	так что	13	5
94	что иное	2	5
95	на основании	3	5
96	в течение	13	5
97	что не	3	5
98	по своему	5	5
99	как уже	2	5
100	как это	11	5
101	в г	2	5
102	не есть	4	5
103	другой стороны	3	5
104	в них	5	5
105	уже в	9	5
106	в целом	3	5
107	всяком случае	8	5
108	что и	6	5
109	а не	5	5
110	хотя и	9	5
111	во всяком	8	5
112	да и	6	4
113	еще и	10	4
114	особого рода	2	4
115	должен был	3	4
116	в результате	6	4
117	мы имеем	2	4
118	о чем	6	4
119	в области	3	4
120	только что	2	4
121	в особенности	4	4
122	этом отношении	2	4
123	еще не	2	4
124	е в	7	4
125	в чем	4	4
126	к тому	5	4
127	одной из	2	4
128	но все	3	4
129	и для	4	4
130	не имеет	2	4
131	так или	3	4
132	в котором	10	4
133	в виде	4	4
134	в более	3	4
135	не вполне	3	4
136	даже и	12	4
137	ответ на	2	4
138	в одном	2	4
139	из них	3	4
140	или иначе	3	4
141	в себе	5	4
142	в своей	7	4
143	как раз	7	4
144	можно сказать	10	4
145	той же	6	4
146	никогда не	15	3
147	до конца	8	3
148	в каком	3	3
149	в отношении	5	3
150	свое время	7	3
151	и вообще	12	3
152	в очень	5	3
153	что это	2	3
154	в своем	10	3
155	а также	12	3
156	с этим	3	3
157	так же	4	3
158	нисколько не	4	3
159	в начале	7	3
160	но дело	2	3
161	что она	2	3
162	к этому	11	3
163	в конце	22	3
164	от того	2	3
165	отношение к	7	3
166	во второй	3	3
167	и здесь	3	3
168	если бы	2	3
169	было сказано	2	3
170	в свое	6	3
171	в сущности	2	3
172	и вот	5	3
173	в этих	5	3
174	только на	3	3
175	в частности	4	3
176	как в	6	3
177	такого рода	4	3
178	в с	7	3
179	что даже	2	3
180	история и	3	3
181	можно говорить	2	3
182	к нему	6	3
183	и на	7	3
184	того же	11	3
185	времени в	2	3
186	в ней	5	3
187	знания и	3	3
188	и к	10	3
189	на этом	3	3
190	между ними	2	3
191	то это	4	3
192	но что	5	3
193	этому поводу	2	3
194	в в	4	3
195	по этому	3	3
196	знания в	2	3
197	что же	11	3
198	совсем не	7	3
199	здесь не	6	3
200	при этом	5	3
201	он сам	3	3
202	что с	3	3
203	все эти	6	3
204	уже после	2	3
205	связи с	7	3
206	этой области	2	3
207	и есть	2	3
208	и сам	7	3
209	как будто	2	3
210	в этой	4	3
211	и других	2	3
212	того как	2	3
213	чем в	2	3
214	литературы и	2	2
215	с которыми	2	2
216	ними и	2	2
217	ничего не	4	2
218	ко времени	2	2
219	у нас	11	2
220	бы с	2	2
221	и потому	8	2
222	его к	3	2
223	мы должны	3	2
224	во всех	4	2
225	и до	4	2
226	время в	4	2
227	но как	6	2
228	и сама	2	2
229	с ней	3	2
230	для нее	3	2
231	тем более	4	2
232	это в	2	2
233	по истории	4	2
234	хотя в	2	2
235	само собой	2	2
236	мысли и	5	2
237	что здесь	2	2
238	на свои	2	2
239	в этот	5	2
240	не могли	2	2
241	чтобы он	3	2
242	в следующем	3	2
243	второй половине	3	2
244	конце концов	6	2
245	вообще в	4	2
246	говоря уже	3	2
247	в связи	9	2
248	это делает	3	2
249	виде в	2	2
250	том же	4	2
251	него в	4	2
252	при жизни	4	2
253	а с	5	2
254	и представить	2	2
255	свою очередь	2	2
256	что если	3	2
257	у них	2	2
258	и при	2	2
259	этого не	2	2
260	и был	6	2
261	и другие	2	2
262	после этого	2	2
263	когда мы	2	2
264	так и	11	2
265	ни к	2	2
266	к своему	4	2
267	отношении к	2	2
268	после того	2	2
269	на котором	2	2
270	философии и	14	2
271	она была	2	2
272	ни с	6	2
273	можно считать	3	2
274	и так	3	2
275	но уже	3	2
276	что к	3	2
277	которого мы	2	2
278	на то	7	2
279	и сейчас	2	2
280	если это	2	2
281	о которой	3	2
282	иначе но	2	2
283	в своих	7	2
284	что можно	4	2
285	себе и	2	2
286	был в	5	2
287	и без	2	2
288	будто бы	2	2
289	пока не	2	2
290	в свою	3	2
291	и с	27	2
292	истории в	2	2
293	в печати	2	2
294	не говоря	4	2
295	философской мысли	4	2
296	котором он	2	2
297	обратить внимание	2	2
298	но это	6	2
299	выражение в	2	2
300	и из	5	2
301	же касается	8	2
302	он и	8	2
303	этой книги	3	2
304	то о	2	2
305	не столько	4	2
306	что мы	2	2
307	и совершенно	2	2
308	точно так	2	2
309	себя в	6	2
310	несмотря на	7	2
311	для них	2	2
312	жизни и	8	2
313	с теми	2	2
314	к числу	2	2
315	не было	12	2
316	иной раз	8	2
317	которая как	2	2
318	только после	2	2
319	мы не	2	2
320	в тех	3	2
321	природы и	2	2
322	по его	3	2
323	что они	4	2
324	не мог	10	2
325	во всем	4	2
326	в дальнейшем	10	2
327	них не	2	2
328	не к	2	2
329	из его	6	2
330	по существу	4	2
331	этих двух	2	2
332	учение о	2	2
333	этому времени	3	2
334	мы уже	8	2
335	но зато	2	2
