N	2gram	Propp_Russ	Hudozhes
1	в качестве	5	31
2	то есть	3	26
3	и в	59	23
4	не только	28	20
5	состоит в	18	20
6	в том	33	20
7	может быть	14	19
8	при этом	11	19
9	в частности	2	18
10	и не	6	16
11	тогда как	4	15
12	но и	20	14
13	а в	16	13
14	но не	7	13
15	а не	3	13
16	то же	6	12
17	в этом	18	12
18	и его	2	12
19	так и	8	12
20	как бы	18	11
21	точки зрения	3	11
22	представляет собой	5	11
23	в его	3	11
24	но в	5	10
25	не в	2	9
26	том что	33	9
27	не может	6	9
28	своего рода	3	9
29	в то	3	8
30	в области	3	8
31	только в	4	7
32	как это	11	7
33	что в	35	7
34	отличие от	4	7
35	в отличие	4	7
36	не столько	3	7
37	мы имеем	7	6
38	уже не	9	6
39	приводит к	4	6
40	а также	6	6
41	в нем	3	6
42	с другими	3	5
43	могут быть	3	5
44	место в	2	5
45	для того	6	5
46	того чтобы	6	5
47	в виду	3	5
48	а на	8	5
49	в их	5	5
50	не является	2	5
51	что он	2	5
52	не на	2	5
53	то что	10	5
54	не менее	3	5
55	прежде всего	2	5
56	того что	6	5
57	и то	2	4
58	его в	9	4
59	далеко не	5	4
60	это не	14	4
61	так в	5	4
62	к тому	4	4
63	между тем	9	4
64	входит в	4	4
65	в данном	7	4
66	в форме	3	4
67	в силу	2	4
68	и как	2	4
69	еще не	7	4
70	и что	8	4
71	говорить о	2	4
72	в этих	3	4
73	и о	4	4
74	например в	3	4
75	в своем	3	4
76	хотя и	3	4
77	в жизни	2	3
78	к нему	3	3
79	и для	3	3
80	по своему	2	3
81	как уже	6	3
82	и ее	3	3
83	не случайно	2	3
84	за пределами	2	3
85	как и	19	3
86	их в	7	3
87	потому что	15	3
88	о чем	7	3
89	слова в	3	3
90	в целом	2	3
91	в свою	3	3
92	и к	3	3
93	во всех	6	3
94	тем не	3	3
95	а именно	2	3
96	из этих	6	3
97	связи с	6	3
98	и на	14	3
99	тому как	3	3
100	с точки	3	3
101	он должен	2	3
102	подобно тому	3	3
103	или даже	3	3
104	себя и	2	3
105	с этой	2	3
106	в связи	4	3
107	таким образом	10	3
108	в таком	5	3
109	есть в	2	3
110	в которой	3	3
111	во всей	2	3
112	как правило	4	3
113	в пределах	2	3
114	в одном	4	3
115	но он	3	3
116	имеет место	3	3
117	о том	14	2
118	одна из	12	2
119	как в	10	2
120	начиная с	4	2
121	и др	4	2
122	тот кто	2	2
123	одно из	6	2
124	право на	2	2
125	и это	2	2
126	ее в	7	2
127	тому что	4	2
128	и потому	3	2
129	или в	7	2
130	именно в	3	2
131	все эти	5	2
132	не всегда	4	2
133	не все	4	2
134	оно не	2	2
135	что она	4	2
136	должен быть	2	2
137	быть и	3	2
138	дело не	2	2
139	но она	3	2
140	значения и	2	2
141	в глаза	3	2
142	так же	7	2
143	об этом	11	2
144	свою очередь	2	2
145	из которых	2	2
146	и по	10	2
147	встречаются в	2	2
148	между собой	4	2
149	отнюдь не	3	2
150	один из	10	2
151	в них	10	2
152	несмотря на	4	2
153	к жизни	3	2
154	на этом	6	2
155	равной степени	2	2
156	все это	12	2
157	к другому	2	2
158	с ними	6	2
159	между двумя	2	2
160	что и	8	2
161	в противном	2	2
162	и некоторые	3	2
163	в году	5	2
164	ни одно	2	2
165	в равной	2	2
166	в одно	2	2
167	одним из	2	2
168	не просто	3	2
169	и другие	24	2
170	что каждый	2	2
171	а затем	5	2
172	и более	3	2
173	этого слова	3	2
174	в нашем	2	2
175	в этой	4	2
176	а с	6	2
177	с ним	2	2
178	который в	2	2
179	для обозначения	2	2
180	в какой	3	2
181	у него	2	2
182	не с	5	2
