N	3gram	Propp_Isto	Problema
1	тем не менее	7	56
2	о том что	5	39
3	в том что	6	37
4	и т д	35	33
5	то же самое	3	30
6	в связи с	5	29
7	с другой стороны	7	25
8	на то что	5	19
9	точно так же	8	16
10	и тем не	2	15
11	до сих пор	11	14
12	не что иное	3	14
13	в этом случае	3	14
14	что иное как	3	14
15	как будто бы	2	14
16	на самом деле	2	13
17	можно было бы	5	13
18	не может быть	8	12
19	в то время	3	12
20	то время как	3	12
21	бы то ни	2	11
22	есть не что	2	11
23	дело в том	3	11
24	с одной стороны	7	11
25	более или менее	5	10
26	вместе с тем	7	10
27	не только в	5	10
28	по этому поводу	2	9
29	т д и	2	9
30	потому что он	2	8
31	мы не будем	4	8
32	иметь в виду	2	7
33	в чистом виде	2	7
34	с самого начала	4	7
35	так же и	2	7
36	но и в	4	7
37	о том как	2	7
38	для нас не	2	7
39	а может быть	2	7
40	то что в	2	6
41	само по себе	2	6
42	то ни было	2	6
43	на первый взгляд	2	6
44	по себе а	2	5
45	сих пор мы	4	5
46	в зависимости от	3	5
47	так же как	6	5
48	вопрос о том	2	4
49	дело не в	2	4
50	и вместе с	2	4
51	уже с самого	2	4
52	в таких случаях	4	4
53	все же не	2	4
54	в это время	2	4
55	но все же	7	4
56	что это за	5	4
57	в этих случаях	10	4
58	подобно тому как	3	4
59	после того как	2	3
60	то что она	2	3
61	мы увидим ниже	5	3
62	здесь мы имеем	2	3
63	здесь идет речь	2	3
64	за то что	2	3
65	если бы мы	2	3
66	как мы увидим	2	3
67	в отличие от	3	3
68	то ясно что	2	3
69	должны были бы	2	3
70	мы уже видели	4	3
71	с тем что	3	3
72	мы имеем в	4	2
73	не будем здесь	2	2
74	тем что они	2	2
75	в других случаях	2	2
76	по отношению к	6	2
77	что он не	4	2
78	но если это	2	2
79	и для нас	2	2
80	это так то	2	2
81	пор мы рассматривали	2	2
82	во всех случаях	2	2
83	мы не можем	3	2
84	т д все	3	2
85	и тот же	2	2
86	к сожалению однако	2	2
87	если это так	2	2
88	один и тот	2	2
89	уже видели что	2	2
