N	2gram	Savitsky_P	RusskieA
1	и в	14	79
2	в том	9	64
3	том что	4	59
4	что в	4	57
5	т е	3	54
6	не только	17	41
7	в этом	10	33
8	как бы	4	31
9	но и	6	31
10	может быть	5	28
11	а н	5	25
12	одна из	2	24
13	и т	3	23
14	это не	3	20
15	а в	4	20
16	из них	2	19
17	все это	2	18
18	с тем	3	17
19	потому что	3	17
20	то что	4	17
21	мы не	3	16
22	в xix	2	14
23	для нас	2	14
24	не менее	2	14
25	в них	2	14
26	и не	12	14
27	и с	2	14
28	не может	4	13
29	в которых	5	13
30	в виде	2	12
31	и других	2	10
32	между тем	3	10
33	а также	4	10
34	но в	9	9
35	то же	9	9
36	но не	3	9
37	в русском	2	9
38	того что	2	8
39	в россии	3	8
40	же в	4	8
41	во всех	2	8
42	для того	3	8
43	в своем	4	7
44	мы должны	4	7
45	не в	5	7
46	главным образом	2	7
47	н а	10	7
48	было бы	6	7
49	и как	3	7
50	только в	7	7
51	а не	2	7
52	не будем	2	6
53	в нем	3	6
54	с ними	3	6
55	в качестве	9	6
56	и о	5	6
57	и пр	5	6
58	и потому	4	5
59	прежде всего	3	5
60	с этим	2	5
61	в то	7	5
62	для них	2	5
63	не было	2	5
64	например в	2	5
65	тот же	3	5
66	в его	2	5
67	с другой	5	5
68	и к	4	5
69	отнюдь не	2	5
70	если в	2	4
71	не столько	2	4
72	могут быть	3	4
73	во всей	2	4
74	переход от	2	4
75	именно в	2	4
76	в котором	4	4
77	в ней	6	4
78	которое в	2	4
79	и это	2	3
80	точки зрения	3	3
81	церкви и	2	3
82	в области	11	3
83	в ее	2	3
84	iii в	2	3
85	хотя и	3	3
86	в эту	2	3
87	если бы	4	3
88	с одной	3	3
89	есть в	2	3
90	думать что	2	3
91	не к	2	3
92	в русской	4	3
93	ii в	2	3
94	с точки	3	3
95	сводится к	3	3
96	как на	2	3
97	в европе	2	2
98	в себе	3	2
99	в силу	2	2
100	и тем	2	2
101	в частности	2	2
102	и д	8	2
103	и без	3	2
104	одной стороны	3	2
105	между прочим	2	2
106	в е	2	2
107	и е	4	2
108	другие народы	2	2
109	и и	2	2
110	в начале	2	2
111	тем более	2	2
112	должно быть	2	2
113	россии в	5	2
114	в пределах	8	2
115	в жизни	2	2
116	и если	4	2
117	по себе	4	2
118	говорить о	2	2
119	друг другу	2	2
