N	2gram	Berdyaev_O	UchenyiS
1	и в	19	14
2	не только	11	10
3	а не	11	10
4	и не	13	8
5	прежде всего	9	8
6	то что	5	7
7	не может	4	7
8	в этом	12	7
9	может быть	11	6
10	хотя бы	3	5
11	все это	6	5
12	но и	13	4
13	в этой	5	4
14	в россии	5	4
15	это не	3	3
16	и то	2	3
17	в своей	2	3
18	все же	2	3
19	как и	6	3
20	но в	2	3
21	было бы	3	3
22	для него	5	3
23	в самом	5	2
24	в себе	3	2
25	что он	3	2
26	и для	2	2
27	не все	2	2
28	художественном творчестве	2	2
29	не есть	2	2
30	ничего не	2	2
31	даже и	2	2
32	и с	2	2
33	что и	2	2
34	могут быть	3	2
35	не могут	3	2
36	это было	3	2
37	по себе	2	2
38	тем что	2	2
39	том что	2	2
40	в его	7	2
41	в том	5	2
42	что все	2	2
43	с его	4	2
44	не в	11	2
