N	2gram	Vinokur_Vv	Russkaja
1	не может	19	22
2	и не	13	19
3	в том	38	17
4	в этом	35	17
5	и в	35	14
6	национальной культуры	4	13
7	то что	19	13
8	точки зрения	12	11
9	то же	11	11
10	таким образом	21	11
11	в то	6	10
12	но и	7	10
13	же время	6	10
14	не только	26	9
15	том что	30	9
16	может быть	30	9
17	в себе	4	9
18	с точки	4	9
19	во всяком	5	9
20	того чтобы	22	8
21	как на	12	8
22	прежде всего	10	8
23	и с	2	7
24	к тому	4	7
25	о том	16	7
26	в данном	11	7
27	мы должны	2	7
28	ни к	2	7
29	самом деле	7	7
30	с тем	6	6
31	и для	4	6
32	в своих	2	6
33	и к	3	6
34	если бы	3	6
35	всяком случае	5	6
36	все это	6	6
37	для того	23	6
38	и при	2	6
39	что он	5	6
40	в своем	3	6
41	вопрос о	10	5
42	или иной	3	5
43	а в	6	5
44	на то	2	5
45	было бы	7	5
46	хотя бы	6	5
47	а между	2	5
48	из которых	3	5
49	данного народа	3	5
50	и на	3	5
51	потому что	18	5
52	при этом	3	5
53	в нем	13	5
54	в своей	4	5
55	только в	16	5
56	никогда не	3	5
57	сих пор	7	5
58	между тем	10	5
59	во всех	2	5
60	по существу	2	5
61	до сих	7	5
62	а потому	5	5
63	и то	7	4
64	что в	13	4
65	но не	9	4
66	смотреть на	5	4
67	его в	6	4
68	все же	9	4
69	себя в	2	4
70	не могут	6	4
71	не в	10	4
72	как и	7	4
73	как бы	7	4
74	можно было	8	4
75	при том	5	4
76	идет речь	3	4
77	так как	15	4
78	тогда когда	4	4
79	что же	3	4
80	и т.д	5	4
81	жизни и	2	4
82	в его	12	4
83	со стороны	16	4
84	в их	12	4
85	во всем	2	4
86	в этой	3	4
87	себе и	2	4
88	вместе с	6	4
89	от того	3	4
90	одной из	4	3
91	данном случае	5	3
92	да и	4	3
93	одна из	3	3
94	то это	3	3
95	том чтобы	6	3
96	для этого	3	3
97	о котором	8	3
98	что это	3	3
99	о которых	2	3
100	вопросу о	2	3
101	этом случае	6	3
102	на том	3	3
103	и сейчас	2	3
104	культуры в	5	3
105	именно в	8	3
106	из этих	9	3
107	ни одна	2	3
108	должно быть	2	3
109	не есть	5	3
110	и потому	2	3
111	что оно	2	3
112	в другом	3	3
113	в значительной	3	3
114	в конце	3	3
115	из них	4	3
116	но если	6	3
117	в самом	13	3
118	и как	9	3
119	несмотря на	2	3
120	для них	2	3
121	так чтобы	3	3
122	что и	5	3
123	конце концов	2	3
124	вряд ли	3	3
125	он сам	3	3
126	говорить о	5	3
127	той или	3	3
128	связи с	3	3
129	еще не	4	3
130	в виде	4	3
131	того что	12	3
132	в качестве	8	3
133	что они	2	3
134	не было	2	3
135	и т	45	3
136	что может	3	3
137	тем что	6	3
138	и должно	2	2
139	в течение	5	2
140	чтобы понять	4	2
141	не к	2	2
142	с этим	3	2
143	в таких	2	2
144	есть и	5	2
145	и те	2	2
146	следовательно и	2	2
147	тому что	2	2
148	к нему	3	2
149	на этой	3	2
150	только с	4	2
151	но в	10	2
152	взгляде на	3	2
153	любовь к	4	2
154	в котором	4	2
155	что такое	12	2
156	так же	3	2
157	на почве	5	2
158	котором идет	2	2
159	в начале	3	2
160	для нее	2	2
161	этого не	2	2
162	сама по	3	2
163	это в	2	2
164	могут не	2	2
165	состоит в	2	2
166	даже и	4	2
167	в ней	3	2
168	уже не	6	2
169	время в	2	2
170	этот вопрос	7	2
171	в результате	4	2
172	по отношению	4	2
173	деятельности и	2	2
174	отношении к	2	2
175	понять что	3	2
176	а во-вторых	2	2
177	в силу	3	2
178	и даже	6	2
179	а не	5	2
180	к культуре	2	2
181	по этому	3	2
182	представить себе	7	2
183	по себе	11	2
184	мы можем	2	2
185	нисколько не	3	2
186	точно так	2	2
187	речь идет	2	2
188	зависит от	3	2
189	будет в	2	2
190	и тем	5	2
191	и вот	3	2
192	тогда как	2	2
193	и что	6	2
194	но это	2	2
195	что с	3	2
196	это только	4	2
197	все эти	3	2
198	том же	2	2
199	а с	2	2
200	и тогда	3	2
201	культурной жизни	2	2
202	не просто	5	2
203	в этих	3	2
204	только на	3	2
205	в частности	3	2
206	значительной мере	2	2
207	факт что	2	2
208	и есть	3	2
209	так что	5	2
210	как будто	3	2
211	народов и	2	2
212	на основании	5	2
213	именно на	2	2
214	должна быть	2	2
215	в области	4	2
216	если же	2	2
217	это есть	2	2
218	быть и	2	2
219	мы уже	2	2
220	ясно что	11	2
