N	3gram	Losev_Vlad	Vvedenie
1	и т д	3	39
2	для того чтобы	3	22
3	в том что	13	15
4	о том что	9	13
5	в этом смысле	4	10
6	не может быть	4	10
7	тем не менее	8	9
8	в то же	7	6
9	то же время	7	6
10	не что иное	2	5
11	во всяком случае	8	5
12	что иное как	2	5
13	с другой стороны	3	5
14	в том чтобы	4	5
15	не только в	3	4
16	и в том	2	4
17	так или иначе	3	4
18	в этом отношении	2	4
19	вместе с тем	2	3
20	по этому поводу	2	3
21	можно сказать что	3	3
22	также и в	2	3
23	в свое время	6	3
24	дело в том	7	3
25	и то что	7	3
26	но в то	2	3
27	во второй половине	3	2
28	как мы уже	3	2
29	к этому времени	3	2
30	что же касается	8	2
31	уже не только	2	2
32	а также и	2	2
33	не в том	3	2
34	в конце концов	6	2
35	точно так же	2	2
36	и потому что	3	2
37	не говоря уже	3	2
38	после того как	2	2
39	или иначе но	2	2
40	в связи с	7	2
41	в свою очередь	2	2
