N	2gram	Medvedev_U	Russkaja
1	не может	7	22
2	и не	8	19
3	в том	2	17
4	в этом	7	17
5	и в	14	14
6	то что	7	13
7	то же	5	11
8	таким образом	2	11
9	в то	3	10
10	но и	4	10
11	же время	3	10
12	не только	10	9
13	том что	2	9
14	может быть	6	9
15	в себе	2	9
16	прежде всего	8	8
17	и с	2	7
18	самом деле	2	7
19	и для	2	6
20	для всех	2	6
21	в россии	4	6
22	если бы	2	6
23	все это	5	6
24	что он	2	6
25	для него	3	6
26	было бы	3	5
27	хотя бы	5	5
28	а между	2	5
29	в своей	3	5
30	конечно не	4	5
31	только в	2	5
32	и только	5	5
33	сих пор	2	5
34	между тем	2	5
35	по существу	2	5
36	до сих	2	5
37	и то	3	4
38	но не	2	4
39	все же	3	4
40	не могут	2	4
41	не в	2	4
42	как и	3	4
43	и т.д	3	4
44	в его	2	4
45	в их	4	4
46	то ни	3	4
47	в этой	4	4
48	бы то	3	4
49	все они	2	3
50	для этого	3	3
51	что все	2	3
52	только к	3	3
53	не есть	2	3
54	всех этих	2	3
55	в конце	2	3
56	в самом	2	3
57	что и	2	3
58	конце концов	2	3
59	сводится к	2	3
60	вряд ли	3	3
61	тем что	2	3
62	не о	3	2
63	но в	3	2
64	что такое	4	2
65	ни от	2	2
66	даже и	2	2
67	на эту	2	2
68	в некоторых	2	2
69	но даже	2	2
70	если не	2	2
71	а не	10	2
72	по себе	2	2
73	и является	2	2
74	но это	2	2
75	в частности	3	2
76	должна быть	2	2
77	его и	2	2
78	в области	3	2
