N	2gram	Trubetskoy	TeoriaLi
1	в качестве	3	33
2	в мире	4	26
3	не только	9	24
4	и в	14	24
5	в частности	2	23
6	состоит в	2	22
7	может быть	9	22
8	в том	17	20
9	при этом	5	20
10	тогда как	2	18
11	и не	19	17
12	а в	5	15
13	но и	10	14
14	а не	2	14
15	в себе	9	14
16	но не	4	13
17	в этом	17	12
18	то же	11	12
19	но в	2	12
20	сводится к	3	12
21	в его	4	12
22	том что	9	11
23	точки зрения	11	11
24	по отношению	2	10
25	лишь в	3	10
26	что в	4	10
27	в данном	7	9
28	не в	4	9
29	в то	10	9
30	только в	5	9
31	не может	22	8
32	как бы	4	8
33	в своей	5	8
34	же время	10	8
35	или иной	5	7
36	в своем	6	7
37	себя в	4	7
38	в области	2	7
39	в самом	3	7
40	место в	2	7
41	в нем	5	7
42	тем самым	2	6
43	или иного	2	6
44	того или	2	6
45	со стороны	4	6
46	еще не	3	6
47	то что	13	6
48	или менее	4	6
49	как и	4	6
50	более или	4	6
51	уже не	2	6
52	приводит к	4	6
53	данном случае	3	5
54	ни в	2	5
55	и тем	2	5
56	для того	6	5
57	и о	2	5
58	для него	6	5
59	на почве	2	5
60	между тем	5	5
61	того чтобы	8	5
62	того что	3	5
63	он не	5	5
64	никогда не	5	4
65	его в	4	4
66	самим собой	12	4
67	в другом	3	4
68	в силу	2	4
69	и т.д	4	4
70	– не	2	4
71	в их	4	4
72	в этих	2	4
73	что он	6	4
74	к тому	7	4
75	отношении к	2	4
76	и что	2	4
77	говорить о	3	4
78	отношения к	2	4
79	и то	4	3
80	и потому	3	3
81	во всех	5	3
82	из этих	3	3
83	и для	6	3
84	и как	3	3
85	в порядке	2	3
86	говоря о	2	3
87	если бы	6	3
88	или в	3	3
89	он должен	5	3
90	в таком	2	3
91	и вот	2	3
92	ни к	7	3
93	между собой	5	3
94	а с	2	3
95	для себя	2	3
96	их в	2	3
97	культуры в	3	3
98	именно в	3	3
99	потому что	5	3
100	прежде всего	8	3
101	и к	6	3
102	отнюдь не	7	3
103	не будет	7	3
104	с точки	9	3
105	все эти	2	3
106	той или	3	3
107	и по	3	3
108	связи с	3	3
109	таким образом	11	3
110	в этой	4	3
111	в единое	2	3
112	но она	2	2
113	не могут	4	2
114	то в	3	2
115	для всех	6	2
116	так же	2	2
117	если в	6	2
118	отличается от	2	2
119	и даже	2	2
120	в конце	3	2
121	сама по	2	2
122	жизни в	5	2
123	в значительной	3	2
124	только на	2	2
125	у него	2	2
126	самом деле	7	2
127	и состоит	2	2
128	вместе с	4	2
129	одной из	3	2
130	к нему	2	2
131	и является	2	2
132	ее в	2	2
133	тому что	2	2
134	о том	7	2
135	что такое	2	2
136	и на	5	2
137	на себя	2	2
138	к чему	2	2
139	из которых	5	2
140	по себе	2	2
141	что может	3	2
142	речь идет	2	2
143	несмотря на	3	2
144	что и	3	2
145	то ни	4	2
146	себя и	5	2
147	не просто	2	2
148	все это	6	2
149	что они	3	2
150	как будто	2	2
151	в большинстве	3	2
152	бы то	4	2
153	при котором	3	2
154	быть и	2	2
155	при условии	3	2
