N	2gram	Bakhtin_sl	Psycholo
1	то что	2	193
2	и в	69	190
3	в том	7	163
4	что в	3	123
5	потому что	2	114
6	том что	6	113
7	и что	2	108
8	может быть	40	107
9	таким образом	16	102
10	в этом	21	100
11	то есть	46	97
12	все время	4	86
13	в самом	6	82
14	как бы	16	80
15	для того	2	78
16	что он	2	76
17	не только	37	75
18	на то	2	73
19	и не	32	73
20	и т	56	69
21	точки зрения	24	69
22	не может	27	68
23	если мы	2	66
24	так как	7	63
25	так же	2	63
26	было бы	3	56
27	то же	17	54
28	о том	5	54
29	при этом	12	52
30	как и	8	51
31	что и	2	50
32	а не	29	50
33	только в	9	46
34	в сущности	18	46
35	сказать что	4	46
36	по себе	4	46
37	к тому	3	45
38	не в	14	45
39	никогда не	9	42
40	и все	9	42
41	вместе с	3	41
42	как это	3	40
43	но и	37	40
44	как раз	3	39
45	того что	4	39
46	т п	49	38
47	мы видим	2	37
48	и как	3	36
49	вовсе не	16	34
50	и его	45	34
51	что все	2	33
52	все же	10	33
53	тому что	2	33
54	все это	14	32
55	в себе	3	32
56	в ней	7	31
57	мы не	4	31
58	в его	19	31
59	он не	5	31
60	для нас	7	31
61	мы увидим	2	30
62	как в	18	30
63	с одной	7	29
64	и для	7	29
65	с точки	11	29
66	одной стороны	7	29
67	в нем	44	29
68	что они	2	28
69	и то	2	28
70	в основе	8	27
71	с другой	8	27
72	а в	10	27
73	все то	2	27
74	и на	17	27
75	так что	2	26
76	совершенно не	2	26
77	и здесь	5	25
78	жизни и	5	25
79	до конца	25	24
80	с таким	3	24
81	в целом	3	24
82	до сих	4	24
83	в своем	9	23
84	сих пор	4	23
85	для этого	4	23
86	целый ряд	2	23
87	из этого	3	23
88	могут быть	25	23
89	что оно	4	23
90	один из	9	23
91	и даже	11	22
92	т д	7	22
93	с этим	5	22
94	между тем	5	22
95	из них	3	22
96	в своей	8	21
97	как мы	15	21
98	ни в	4	21
99	в котором	2	21
100	той же	3	21
101	и только	2	21
102	в двух	2	21
103	она не	8	20
104	все эти	15	20
105	в то	17	20
106	это не	8	20
107	дело с	4	20
108	несмотря на	2	20
109	там где	10	20
110	другой стороны	5	20
111	на этом	4	20
112	в ее	2	19
113	в какой	2	19
114	у него	5	19
115	в одном	4	19
116	мы уже	4	19
117	на самом	2	18
118	перед нами	7	18
119	но в	13	18
120	был бы	2	18
121	но не	7	18
122	в которой	4	18
123	с этой	3	18
124	есть не	2	18
125	можно было	2	18
126	зависимости от	4	18
127	действующих лиц	2	18
128	и есть	2	18
129	в виду	2	17
130	одна из	6	17
131	только не	2	17
132	во всяком	9	17
133	у нас	2	17
134	из этих	3	17
135	но это	3	17
136	и о	3	17
137	время как	2	17
138	мы все	2	17
139	так и	22	16
140	и к	9	16
141	и тем	3	16
142	очень легко	2	16
143	же как	2	16
144	к этому	3	16
145	формы и	3	16
146	в таком	5	16
147	и потому	9	15
148	могли бы	2	15
149	в зависимости	4	15
150	еще не	9	15
151	не могут	7	15
152	далеко не	7	15
153	о которых	2	15
154	которых мы	3	15
155	только на	3	15
156	в частности	3	15
157	в них	11	15
158	во всех	25	15
159	в результате	4	15
160	для него	8	15
161	не просто	2	15
162	должна быть	3	14
163	хотя бы	6	14
164	столь же	2	14
165	по существу	3	14
166	с ним	12	14
167	прежде всего	14	14
168	того как	2	14
169	и той	2	14
170	этом отношении	2	14
171	те же	3	14
172	всяком случае	7	14
173	то время	2	14
174	или в	10	14
175	но он	4	14
176	как он	2	13
177	а с	2	13
178	точка зрения	10	13
179	именно в	5	13
180	когда она	2	13
181	в той	13	13
182	того же	7	12
183	в этих	8	12
184	в свою	4	12
185	ничего не	5	12
186	не менее	4	12
187	и другие	3	12
188	тогда когда	2	12
189	в поэзии	4	12
190	и до	2	12
191	и может	4	12
192	например в	6	12
193	и с	10	12
194	как только	4	12
195	как к	5	11
