N	2gram	Bakhtin_sl	KFilosof
1	может быть	40	45
2	в его	19	42
3	в нем	44	32
4	не может	27	29
5	и не	32	28
6	и в	69	28
7	по отношению	2	26
8	в котором	2	24
9	отношению к	2	22
10	не есть	2	22
11	в себе	3	21
12	и его	45	18
13	только в	9	18
14	в своем	9	17
15	в ее	2	17
16	а не	29	17
17	в этом	21	15
18	не в	14	13
19	для него	8	13
20	точки зрения	24	13
21	но не	7	12
22	к нему	7	12
23	ни в	4	12
24	и единственного	6	12
25	в своей	8	11
26	во всех	25	11
27	из себя	3	11
28	все эти	15	11
29	это не	8	10
30	в целом	3	10
31	и для	7	10
32	в едином	2	10
33	все это	14	10
34	с точки	11	10
35	и есть	2	10
36	в их	6	9
37	но и	37	9
38	единого и	5	9
39	как бы	16	9
40	и все	9	9
41	момент его	4	9
42	себя в	14	8
43	не было	4	8
44	лишь в	6	8
45	быть только	3	8
46	жизни и	5	8
47	было бы	3	8
48	в себя	3	8
49	и здесь	5	7
50	должен быть	3	7
51	совершенно не	2	7
52	то что	2	7
53	уже не	5	7
54	конечно не	7	7
55	и только	2	7
56	что и	2	7
57	во всем	3	7
58	момент в	2	7
59	вовсе не	16	7
60	должно быть	3	6
61	менее всего	3	6
62	отношение к	8	6
63	но эта	2	6
64	мира в	2	6
65	в том	7	6
66	смысл и	3	6
67	но все	2	6
68	в смысле	7	6
69	место в	2	6
70	и их	6	6
71	но это	3	6
72	он не	5	6
73	не значит	2	6
74	никогда не	9	5
75	от его	4	5
76	его в	7	5
77	все же	10	5
78	не только	37	5
79	и единственный	5	5
80	но как	2	5
81	бы быть	2	5
82	его как	3	5
83	хотя бы	6	5
84	то же	17	5
85	жизни в	2	5
86	еще не	9	5
87	не знает	3	5
88	а в	10	5
89	но в	13	5
90	культуры и	2	5
91	в контексте	5	5
92	как и	8	5
93	именно в	5	5
94	время и	3	5
95	в одном	4	5
96	там где	10	5
97	себя и	2	5
98	с ним	12	5
99	в основе	8	5
100	том что	6	4
101	нисколько не	3	4
102	что в	3	4
103	не как	4	4
104	ни было	2	4
105	акт и	2	4
106	о нем	6	4
107	прежде всего	14	4
108	в чем	2	4
109	к ним	2	4
110	мира и	4	4
111	входит в	8	4
112	для нас	7	4
113	с ними	8	4
114	при этом	12	4
115	только как	2	4
116	из него	4	4
117	вне ее	2	4
118	всех своих	2	4
119	должна быть	3	4
120	как его	5	4
121	между тем	5	4
122	до конца	25	3
123	или иного	2	3
124	ничего не	5	3
125	слово не	3	3
126	предмета в	2	3
127	того или	2	3
128	ним и	2	3
129	субъективный процесс	2	3
130	в то	17	3
131	на самом	2	3
132	от него	5	3
133	здесь не	6	3
134	человека и	3	3
135	всех этих	8	3
136	в каждом	5	3
137	к единому	2	3
138	в другом	4	3
139	а лишь	2	3
140	и тем	3	3
141	для того	2	3
142	в виду	2	3
143	людей и	2	3
144	лишь как	3	3
145	и единство	2	3
146	по своему	2	3
147	нем и	5	3
148	не менее	4	3
149	не должно	3	3
150	только с	3	3
151	о том	5	3
152	всем его	2	3
153	в ней	7	3
154	единый и	5	3
155	в свою	4	3
156	вступает в	2	3
157	могут быть	25	3
158	и этим	3	3
159	тогда когда	2	3
160	но здесь	5	3
161	и на	17	3
162	в единство	2	3
163	на своем	5	3
164	лишь при	2	3
165	того что	4	3
166	мы не	4	3
167	данный момент	4	3
168	той или	13	3
169	и может	4	3
170	был бы	2	3
171	войти в	2	3
172	жизни но	2	3
173	рядом с	7	3
174	на язык	2	3
175	бы и	6	3
176	а следовательно	2	3
177	быть и	6	3
178	каждый момент	2	2
179	конечно в	2	2
180	и то	2	2
181	для этого	4	2
182	смысла и	6	2
183	мышления и	6	2
184	или иной	13	2
185	и потому	9	2
186	в данном	5	2
187	вокруг него	4	2
188	его на	2	2
189	сознания в	2	2
190	как оно	3	2
191	говорить о	2	2
192	и ее	3	2
193	и эта	2	2
194	дело в	2	2
195	ответственность за	2	2
196	к этому	3	2
197	дело не	2	2
198	включает в	3	2
199	это было	2	2
200	с ее	6	2
201	тем не	2	2
202	как к	5	2
203	абстрактный момент	2	2
204	и как	3	2
205	себе как	2	2
206	в виде	4	2
207	а как	3	2
208	и других	5	2
209	все они	9	2
210	возможности в	2	2
211	не остается	2	2
212	а с	2	2
213	что он	2	2
214	оценки и	2	2
215	нами в	3	2
216	со всеми	3	2
217	или как	4	2
218	всех его	9	2
219	правду и	2	2
220	так и	22	2
221	отношении к	9	2
222	его и	5	2
223	смысле в	4	2
224	и свой	2	2
225	может иметь	3	2
226	как предмета	2	2
227	как в	18	2
228	как предмет	4	2
229	от этого	2	2
230	в него	9	2
231	в сознании	3	2
232	тому что	2	2
233	она не	8	2
234	дело с	4	2
235	и она	2	2
236	он может	3	2
237	на нем	2	2
238	не из	2	2
239	еще более	7	2
240	и само	2	2
241	в единое	2	2
242	оно не	12	2
243	в процессе	14	2
244	один из	9	2
245	себя как	2	2
246	по себе	4	2
247	потому что	2	2
248	подхода к	5	2
249	в контекст	4	2
250	может не	9	2
251	и мир	9	2
252	слова в	19	2
253	и эти	2	2
254	именно на	3	2
255	в качестве	4	2
256	же время	15	2
257	человек и	13	2
258	этого слова	2	2
259	контекста в	2	2
260	с его	8	2
