N	2gram	Propp_Russ	Literetu
1	а не	3	50
2	и не	6	47
3	не только	28	46
4	и в	59	44
5	может быть	14	43
6	при этом	11	41
7	но и	20	41
8	тогда как	4	40
9	в том	33	39
10	в этом	18	38
11	своего рода	3	37
12	том что	33	32
13	в частности	2	30
14	то что	10	29
15	в качестве	5	27
16	в году	5	26
17	состоит в	18	26
18	то же	6	26
19	как и	19	23
20	в то	3	23
21	не в	2	22
22	так и	8	22
23	того что	6	22
24	не может	6	22
25	прежде всего	2	19
26	как бы	18	18
27	то есть	3	17
28	точки зрения	3	17
29	в его	3	17
30	в этой	4	16
31	в жизни	2	16
32	не менее	3	15
33	в целом	2	15
34	только в	4	15
35	что он	2	14
36	в своем	3	13
37	как это	11	13
38	е годы	2	13
39	но не	7	13
40	уже не	9	13
41	и его	2	13
42	в данном	7	12
43	а также	6	12
44	еще не	7	12
45	одним из	2	12
46	в е	2	12
47	о том	14	12
48	данном случае	8	11
49	это не	14	11
50	еще в	6	11
51	отличие от	4	11
52	не столько	3	11
53	как в	10	11
54	в отличие	4	11
55	а в	16	11
56	вместе с	16	11
57	в области	3	10
58	что в	35	10
59	отнюдь не	3	10
60	из них	12	10
61	и на	14	10
62	потому что	15	10
63	не случайно	2	10
64	одно из	6	9
65	к тому	4	9
66	один из	10	9
67	же в	5	9
68	связи с	6	9
69	с этой	2	9
70	представляет собой	5	9
71	вплоть до	4	8
72	одна из	12	8
73	все же	7	8
74	по существу	7	8
75	но в	5	8
76	уже в	2	8
77	на себя	4	8
78	и как	2	8
79	а именно	2	8
80	тем что	7	8
81	в своих	3	8
82	с точки	3	8
83	до конца	5	7
84	в их	5	7
85	друг друга	3	7
86	и других	9	7
87	так в	5	7
88	для этого	6	7
89	и для	3	7
90	как правило	4	7
91	у нас	11	7
92	именно в	3	7
93	и с	12	7
94	в одном	4	7
95	тому как	3	7
96	в нем	3	7
97	его в	9	6
98	что ему	2	6
99	в виду	3	6
100	и др	4	6
101	а затем	5	6
102	было бы	3	6
103	не было	3	6
104	например в	3	6
105	и то	2	6
106	право на	2	6
107	то и	4	6
108	во всех	6	6
109	в каждом	2	6
110	и наконец	2	6
111	далеко не	5	6
112	подобно тому	3	6
113	в ней	3	6
114	у него	2	6
115	как на	2	6
116	как будто	6	6
117	с собой	4	5
118	так как	25	5
119	как он	2	5
120	так что	4	5
121	и за	2	5
122	между тем	9	5
123	несмотря на	4	5
124	что и	8	5
125	себя и	2	5
126	в связи	4	5
127	место в	2	5
128	в россии	4	5
129	в равной	2	5
130	должно быть	2	5
131	мы не	11	5
132	следует признать	2	5
133	тем не	3	5
134	в силу	2	5
135	как у	2	5
136	не с	5	5
137	том чтобы	3	5
138	в нашем	2	5
139	и к	3	5
140	к жизни	3	5
141	не к	3	5
142	входит в	4	4
143	в свою	3	4
144	очевидно что	2	4
145	для нас	12	4
146	не является	2	4
147	только для	3	4
148	каждый из	3	4
149	не всегда	4	4
150	только на	4	4
151	в г	6	4
152	в руках	3	4
153	с тем	14	4
154	и все	4	4
155	ту же	2	4
156	могут быть	3	4
157	в них	10	4
158	исходя из	2	4
159	во всей	2	4
160	в природе	2	4
161	хотя и	3	4
162	как мы	11	4
163	но это	5	4
164	к этому	7	4
165	для того	6	4
166	такой же	3	4
167	в пределах	2	4
168	но тем	2	4
169	на то	2	4
170	под названием	3	4
171	приводит к	4	4
172	на этом	6	4
173	не оставляет	2	4
174	ко всему	2	4
175	и что	8	4
176	таким образом	10	4
177	на самом	3	3
178	вопрос о	4	3
179	не знали	2	3
180	в иных	2	3
181	ничего не	4	3
182	и потому	3	3
183	в москве	4	3
184	так же	7	3
185	о чем	7	3
186	и а	4	3
187	за счет	2	3
188	нет в	2	3
189	том же	6	3
190	а на	8	3
191	а с	6	3
192	и о	4	3
193	такую же	2	3
194	как уже	6	3
195	следующим образом	9	3
196	а к	3	3
197	там где	3	3
198	же как	5	3
199	того чтобы	6	3
200	и до	3	3
201	все эти	5	3
202	равной степени	2	3
203	не на	2	3
204	он был	2	3
205	во время	23	3
206	свою очередь	2	3
207	и т	13	3
208	по земле	2	3
209	и еще	2	3
210	который в	2	3
211	тот же	2	3
212	ее в	7	3
213	на нее	5	3
214	если в	3	3
215	и от	2	3
216	во многих	14	3
217	как например	6	3
218	можно было	3	3
219	с ней	7	3
220	из своих	2	3
221	в этот	19	3
222	так называемый	2	3
223	в особенности	3	3
224	в этих	3	3
225	в какой	3	3
226	что для	4	3
227	за ним	3	3
228	из наиболее	2	3
229	а за	4	3
230	не имеет	9	3
231	этой цели	2	3
232	в советской	2	3
233	когда он	3	3
234	из которых	2	3
235	все что	2	3
236	этой же	2	3
237	говорить о	2	3
238	не просто	3	3
239	после чего	4	3
240	ничего общего	3	3
241	с ним	2	3
242	перед нами	2	2
243	начиная с	4	2
244	песни и	7	2
245	руки и	3	2
246	а и	7	2
247	свой народ	2	2
248	не был	3	2
249	и у	5	2
250	есть и	2	2
251	он же	4	2
252	должен быть	2	2
253	она как	2	2
254	нас к	5	2
255	у них	2	2
256	и при	2	2
257	так например	7	2
258	в него	2	2
259	при всех	2	2
260	тому что	4	2
261	к нему	3	2
262	она не	4	2
263	и м	22	2
264	что на	5	2
265	тогда когда	4	2
266	ответ на	2	2
267	жизнь и	2	2
268	в эти	4	2
269	по этому	4	2
270	в русском	4	2
271	для них	5	2
272	и некоторые	3	2
273	с ними	6	2
274	между двумя	2	2
275	сюда же	2	2
276	и по	10	2
277	дело не	2	2
278	что они	8	2
279	и ее	3	2
280	и более	3	2
281	этом случае	9	2
282	только как	2	2
283	и другими	3	2
284	и другим	3	2
285	этом не	2	2
286	из своей	2	2
287	от земли	2	2
288	здесь мы	3	2
289	с этого	7	2
290	только по	2	2
291	идут в	3	2
292	с другими	3	2
293	и п	28	2
294	из этих	6	2
295	в это	4	2
296	не более	2	2
297	в самый	2	2
298	значение в	2	2
299	в первый	5	2
300	для этой	3	2
301	та же	4	2
302	в xix	13	2
303	становится ясным	2	2
304	не означает	2	2
305	под именем	3	2
306	но даже	2	2
307	что есть	2	2
308	как известно	2	2
309	что по	7	2
310	есть в	2	2
311	с другим	2	2
312	что у	3	2
313	их не	2	2
314	в котором	2	2
315	народ и	2	2
316	при рассмотрении	3	2
317	слова в	3	2
318	оно не	2	2
319	в большинстве	2	2
320	он пишет	2	2
321	не можем	5	2
322	которое в	2	2
323	так чтобы	2	2
324	в поле	18	2
325	в таком	5	2
326	собой как	2	2
327	во всем	2	2
328	на первый	3	2
329	мы имеем	7	2
330	но он	3	2
