N	2gram	Propp_Morf	NovoeSre
1	а не	11	17
2	и в	17	16
3	не может	19	16
4	совсем не	3	12
5	и не	16	11
6	и есть	3	10
7	что в	10	9
8	в том	10	8
9	он не	5	8
10	может быть	61	7
11	как и	4	7
12	в этом	18	7
13	ни в	3	6
14	не в	3	6
15	не знает	2	6
16	но это	6	6
17	с его	3	6
18	не только	8	5
19	все это	2	5
20	и к	4	5
21	по своему	2	4
22	и для	4	4
23	не имеет	2	4
24	прежде всего	14	4
25	не менее	7	4
26	то что	10	4
27	о том	6	4
28	это не	6	4
29	потому что	7	4
30	значит что	4	4
31	смысле слова	4	3
32	тому как	5	3
33	но и	9	3
34	подобно тому	6	3
35	с другой	9	3
36	не значит	3	3
37	она не	2	3
38	к тому	5	3
39	в россии	2	3
40	и пр	45	3
41	что такое	3	3
42	еще не	4	3
43	перейти к	2	3
44	эти формы	2	3
45	должна быть	2	3
46	как в	5	3
47	сказать что	4	3
48	во всех	6	3
49	в наши	2	3
50	вопрос о	10	3
51	это было	3	3
52	не существует	3	3
53	наряду с	7	3
54	не означает	2	3
55	в основе	2	3
56	с тем	2	3
57	в одну	2	2
58	время как	3	2
59	что она	2	2
60	как будто	2	2
61	одна из	5	2
62	себя в	2	2
63	но не	8	2
64	роль в	2	2
65	того чтобы	4	2
66	хотя бы	5	2
67	а в	8	2
68	но в	4	2
69	том что	7	2
70	можно назвать	3	2
71	с этим	14	2
72	и что	3	2
73	все эти	5	2
74	мы не	8	2
75	можно было	4	2
76	это и	3	2
77	ни одна	4	2
78	у него	2	2
79	уже не	4	2
80	по существу	13	2
81	как это	7	2
82	другой стороны	5	2
83	так же	4	2
84	так и	10	2
85	ни к	2	2
86	могут быть	21	2
87	но для	3	2
88	одной стороны	2	2
89	в то	4	2
90	который в	2	2
91	хотя и	5	2
92	связана с	3	2
93	с одной	2	2
94	и даже	2	2
