N	2gram	Losev_Dial	KFilosof
1	может быть	30	45
2	в его	6	42
3	в нем	7	32
4	не может	29	29
5	и не	50	28
6	и в	34	28
7	в бытии	2	26
8	в котором	2	24
9	для меня	2	22
10	не есть	95	22
11	в себе	8	21
12	и его	8	18
13	только в	10	18
14	в своем	7	17
15	в ее	5	17
16	а не	39	17
17	в этом	14	15
18	не в	11	13
19	для него	4	13
20	точки зрения	43	13
21	но не	3	12
22	и это	12	12
23	к нему	4	12
24	ни в	20	12
25	мир в	3	12
26	в своей	4	11
27	во всех	2	11
28	из себя	3	11
29	все эти	4	11
30	это не	13	10
31	от себя	5	10
32	и для	5	10
33	все это	13	10
34	с точки	25	10
35	бытия и	5	10
36	и есть	24	10
37	в их	2	9
38	но и	14	9
39	как бы	19	9
40	и все	17	9
41	себя в	3	8
42	если бы	10	8
43	не было	6	8
44	со стороны	5	8
45	быть только	2	8
46	в мире	2	8
47	жизни и	8	8
48	было бы	13	8
49	в себя	4	8
50	но лишь	2	7
51	для себя	2	7
52	и здесь	3	7
53	я должен	4	7
54	совершенно не	6	7
55	то что	25	7
56	уже не	9	7
57	отнюдь не	16	7
58	конечно не	6	7
59	и только	6	7
60	что и	8	7
61	во всем	5	7
62	вовсе не	18	7
63	этот момент	2	7
64	ее и	2	6
65	должно быть	7	6
66	в том	17	6
67	смысл и	2	6
68	не имеет	18	6
69	в смысле	4	6
70	место в	2	6
71	мир как	8	6
72	я не	11	6
73	но это	10	6
74	и я	3	6
75	он не	8	6
76	не значит	5	6
77	никогда не	9	5
78	от его	2	5
79	его в	2	5
80	все же	4	5
81	я могу	2	5
82	не только	35	5
83	бытия в	2	5
84	мы имеем	3	5
85	но как	3	5
86	бы быть	2	5
87	его как	6	5
88	хотя бы	9	5
89	то же	9	5
90	но ведь	2	5
91	еще не	7	5
92	не знает	4	5
93	а в	3	5
94	но в	3	5
95	культуры и	2	5
96	как и	14	5
97	именно в	5	5
98	что я	3	5
99	в одном	3	5
100	себя и	3	5
101	я и	2	5
102	бытия но	2	5
103	с ним	3	5
104	в основе	6	5
105	в каком	9	4
106	что это	20	4
107	тем самым	3	4
108	том что	18	4
109	нисколько не	4	4
110	что в	12	4
111	и жизни	8	4
112	о нем	6	4
113	быть в	4	4
114	прежде всего	20	4
115	в чем	11	4
116	с другим	2	4
117	в своих	3	4
118	мира и	3	4
119	для нас	2	4
120	с ними	3	4
121	при этом	7	4
122	только как	7	4
123	познания и	2	4
124	должна быть	11	4
125	или иного	3	3
126	ничего не	29	3
127	того или	6	3
128	с моей	2	3
129	в то	9	3
