N	2gram	Tiupa_Hudo	Hudozhes
1	и в	23	57
2	том что	9	46
3	не только	20	43
4	в рассказе	3	42
5	в том	20	35
6	своего рода	9	33
7	о том	2	32
8	и не	16	31
9	в этом	12	31
10	а не	13	31
11	но и	14	30
12	при этом	19	29
13	так и	12	28
14	в себе	13	26
15	то что	5	26
16	как и	3	25
17	в его	11	24
18	не в	9	23
19	в ее	6	23
20	уже не	6	23
21	между тем	4	20
22	в то	8	19
23	что он	5	19
24	может быть	19	19
25	в своей	7	19
26	то же	12	19
27	не случайно	3	19
28	по отношению	10	17
29	отношению к	10	17
30	в этой	2	17
31	к тому	4	17
32	это не	4	16
33	что в	7	16
34	а в	13	16
35	прежде всего	5	16
36	тогда как	15	16
37	в качестве	31	16
38	как бы	11	16
39	с его	6	16
40	себя в	8	16
41	же время	7	16
42	в частности	18	15
43	для него	5	15
44	никогда не	2	14
45	человеческой жизни	3	14
46	что она	2	14
47	об этом	2	14
48	жизни в	2	14
49	как в	2	14
50	в жизни	3	14
51	у него	2	14
52	внешней данности	5	13
53	не менее	5	13
54	но в	10	13
55	личности в	4	13
56	и его	12	13
57	человеческих отношений	2	13
58	с ним	2	13
59	уединенного сознания	4	12
60	состоит в	20	12
61	в тексте	13	12
62	не может	9	12
63	но не	13	12
64	только в	7	12
65	в финале	2	12
66	в своем	4	11
67	в нем	6	11
68	человеческого я	3	11
69	если бы	3	11
70	я и	7	11
71	еще не	4	11
72	именно в	2	11
73	в самом	7	11
74	всего лишь	6	10
75	для себя	4	10
76	самом деле	2	10
77	как это	7	10
78	один из	2	10
79	что и	2	10
80	можно сказать	6	10
81	героя и	5	10
82	и о	4	10
83	в мире	24	10
84	внутренней заданности	4	10
85	и на	3	10
86	я не	2	10
87	он не	4	10
88	о чем	3	9
89	в душе	9	9
90	тому что	2	9
91	художественного мышления	3	9
92	то в	2	9
93	с ее	6	9
94	художественного целого	3	9
95	столь же	2	9
96	в конечном	5	9
97	как раз	3	9
98	со стороны	5	8
99	своей жизни	2	8
100	и это	2	8
101	в художественном	5	8
102	того чтобы	5	8
103	например в	4	8
104	и то	4	8
105	читателя в	3	8
106	конечном счете	5	8
107	тем не	3	8
108	как правило	3	8
109	в этих	4	8
110	жизни как	4	8
111	потому что	3	8
112	даже в	3	7
113	такого рода	12	7
114	в аспекте	2	7
115	к жизни	2	7
116	превращается в	2	7
117	и сам	3	7
118	точки зрения	11	7
119	о себе	2	7
120	несмотря на	2	7
121	сводится к	11	7
122	и что	4	7
123	тем самым	5	6
124	вслед за	2	6
125	в ходе	5	6
126	по преимуществу	3	6
127	а с	2	6
128	одно из	2	6
129	одной из	2	6
130	человеческого бытия	2	6
131	и для	3	6
132	однако в	4	6
133	отнюдь не	2	6
134	с ними	2	6
135	все это	2	6
136	уже говорилось	2	6
137	лишь в	7	6
138	и другие	2	6
139	по своей	7	6
140	в русской	3	6
141	и к	3	6
142	личности и	3	6
143	приводит к	6	6
144	на этом	2	6
145	к другому	2	6
146	говорить о	4	6
147	еще и	2	5
148	в свою	3	5
149	его в	4	5
150	так же	2	5
151	при всей	2	5
152	картины мира	3	5
153	в другом	4	5
154	и тем	4	5
155	внутреннего я	6	5
156	того что	5	5
157	как уже	3	5
158	в анекдоте	2	5
159	картина мира	5	5
160	место в	5	5
161	не столько	7	5
162	в них	2	5
163	все эти	2	5
164	связи с	3	5
165	свою очередь	2	5
166	в основе	7	5
167	и состоит	3	5
168	одна из	2	5
169	а также	6	5
170	в данном	4	5
171	с другими	5	5
172	несет в	3	5
173	в целом	3	5
174	ни в	5	5
175	всякий раз	2	5
176	с точки	3	5
177	не будет	3	5
178	в себя	4	5
179	но он	3	5
180	но как	2	4
181	и ее	3	4
182	человека и	2	4
183	не как	2	4
184	отношение к	7	4
185	как к	5	4
186	роль в	2	4
187	в их	5	4
188	от себя	3	4
189	от своего	2	4
190	и составляет	3	4
191	была бы	3	4
192	между собой	2	4
193	не знает	4	4
194	к нему	3	4
195	так или	4	4
196	а только	4	4
197	в творческом	2	4
198	в миропорядке	8	4
199	во втором	4	4
200	одной стороны	3	4
201	себя и	3	4
202	и по	2	4
203	не все	2	4
204	сказать что	4	4
205	или иного	4	4
206	значительной степени	2	4
207	того или	4	4
208	авторской позиции	3	4
209	жизни на	2	4
210	из этих	3	4
211	здесь не	2	4
212	за пределы	2	4
213	дело не	2	4
214	в значительной	2	4
215	бы не	2	4
216	сознания в	4	4
217	для того	5	4
218	в пределах	3	4
219	с одной	3	4
220	всей своей	2	4
221	подобно тому	3	4
222	с другой	9	4
223	автора и	3	4
224	в нашем	2	4
225	к чужому	2	4
226	он и	2	4
227	тому как	3	4
228	художественности в	6	4
229	вовсе не	2	4
230	в связи	3	4
231	или в	2	4
232	в таком	3	4
233	не следует	4	4
234	или иначе	5	4
235	и внешней	3	4
236	в одном	3	4
237	я с	5	3
238	чтобы не	2	3
239	к его	3	3
240	наших глазах	2	3
241	или даже	3	3
242	и потому	2	3
243	идет о	2	3
244	для меня	2	3
245	свою жизнь	2	3
246	и т.д	4	3
247	сверхличной заданности	2	3
248	духовной жизни	2	3
249	по своему	3	3
250	в контексте	3	3
251	речь идет	2	3
252	героя как	2	3
253	являет собой	3	3
254	художественной реальности	5	3
255	так в	4	3
256	и т.п	7	3
257	читательского восприятия	2	3
258	эстетической природы	2	3
259	никто не	3	3
260	я героя	3	3
261	жизни то	2	3
262	который в	2	3
263	хотя и	4	3
264	между автором	2	3
265	мышления и	2	3
266	в последней	2	3
267	личности к	2	3
268	в равной	2	3
269	с этой	3	3
270	иначе говоря	5	3
271	художественного восприятия	4	3
272	художественного мира	2	3
273	времени и	2	3
274	художественности и	4	3
275	русской литературе	2	3
276	и более	2	3
277	не с	2	3
278	в литературе	2	3
279	человеческое я	2	3
280	которая не	2	3
281	в роли	3	3
282	я в	13	3
283	на наших	2	3
284	вступает в	2	3
285	личности с	2	3
286	этих двух	2	3
287	по себе	2	3
288	со своей	4	3
289	то ни	2	3
290	слова в	3	3
291	внутреннего мира	2	3
292	в системе	3	3
293	или иной	9	2
294	во времени	4	2
295	слова не	2	2
296	эстетическая природа	4	2
297	могут быть	5	2
298	модус художественности	6	2
299	в отношении	4	2
300	до известной	2	2
301	в форме	4	2
302	в силу	4	2
303	говоря о	3	2
304	это и	2	2
305	способность к	2	2
306	роли в	4	2
307	к своему	2	2
308	или напротив	2	2
309	в романе	3	2
310	в чем	2	2
311	отличие от	7	2
312	и др	2	2
313	способ существования	2	2
314	по характеристике	2	2
315	художественного впечатления	4	2
316	художественности как	2	2
317	субъекта жизни	2	2
318	чем и	3	2
319	для читателя	4	2
320	что можно	3	2
321	личностного самоопределения	2	2
322	стратегии художественного	2	2
323	отношении к	3	2
324	во мне	2	2
325	между ними	5	2
326	литературного произведения	13	2
327	а на	5	2
328	не предполагает	5	2
329	воспринимающего сознания	4	2
330	это своего	2	2
331	тем более	2	2
332	своей природе	2	2
333	художественного письма	9	2
334	не на	5	2
