N	2gram	Kanaev_Sov	Poddanst
1	не только	4	17
2	и в	7	14
3	и не	6	12
4	в области	3	11
5	в этом	7	10
6	но в	3	9
7	то же	3	9
8	в том	4	9
9	было бы	3	6
10	не в	3	5
11	и пр	2	5
12	может быть	12	5
13	что в	2	4
14	и потому	3	4
15	мы должны	4	4
16	и к	3	4
17	как бы	4	4
18	не может	17	4
19	а в	4	4
20	это не	4	3
21	с точки	5	3
22	мы не	9	3
23	в себе	3	3
24	точки зрения	12	3
25	в нем	3	3
26	могут быть	2	3
27	прежде всего	5	3
28	тот же	2	3
29	с одной	2	3
30	для нас	3	2
31	одна из	3	2
32	и мы	3	2
33	в его	2	2
34	с этим	2	2
35	не менее	2	2
36	говорить о	2	2
37	в виде	2	2
38	еще более	2	2
39	все это	3	2
40	а не	3	2
41	и есть	2	2
42	не будем	2	2
43	к чему	2	2
44	из них	4	2
45	в которую	2	2
46	отнюдь не	3	2
