N	2gram	Savitsky_E	Sotsiolo
1	в том	11	5
2	в этом	12	5
3	более чем	2	3
4	для нас	4	3
5	как же	2	3
6	не только	18	3
7	и только	3	3
8	в его	2	3
9	не в	5	3
10	и в	37	3
11	должна быть	2	2
12	только в	9	2
13	что в	21	2
14	тем более	4	2
15	в частности	5	2
16	том что	6	2
17	было бы	8	2
18	таким образом	2	2
19	в смысле	9	2
20	то же	15	2
21	как будто	2	2
22	и что	2	2
23	то что	6	2
24	как бы	6	2
25	но и	14	2
26	главным образом	2	2
27	очевидно что	3	2
28	и мы	3	2
29	далеко не	2	2
30	может быть	6	2
31	в результате	3	2
