N	3gram	Tiupa_Vved	Tvorches
1	в то же	5	25
2	то же время	4	24
3	в том что	10	11
4	в соответствии с	8	8
5	о том что	6	8
6	по сути дела	4	7
7	в конечном счете	2	6
8	не может быть	6	6
9	по отношению к	11	5
10	в самом деле	2	5
11	и все же	6	3
12	как и в	2	3
13	хотя и не	2	3
14	едва ли не	2	3
15	с другой стороны	2	3
16	во всяком случае	3	3
17	в отличие от	11	3
18	не сводится к	6	2
19	но при этом	3	2
20	как и у	2	2
21	на самом деле	4	2
22	тем не менее	3	2
23	не только в	3	2
24	заключает в себе	4	2
25	в данном случае	15	2
26	войне и мире	2	2
27	в высшей степени	2	2
28	к тому же	6	2
29	в свою очередь	5	2
