N	2gram	Propp_Isto	KFilosof
1	может быть	22	45
2	в его	7	42
3	в нем	11	32
4	не может	8	29
5	и не	16	28
6	и в	43	28
7	по отношению	2	26
8	в котором	5	24
9	отношению к	2	22
10	не есть	3	22
11	в себе	2	21
12	и его	10	18
13	только в	8	18
14	в своем	2	17
15	а не	13	17
16	в этом	25	15
17	не в	9	13
18	точки зрения	3	13
19	но не	10	12
20	и это	5	12
21	к нему	12	12
22	ни в	2	12
23	в своей	4	11
24	все эти	8	11
25	это не	10	10
26	в целом	4	10
27	и для	3	10
28	все это	4	10
29	и есть	3	10
30	для нее	2	9
31	но и	24	9
32	как бы	5	9
33	и все	4	9
34	себя в	2	8
35	если бы	7	8
36	не было	2	8
37	со стороны	3	8
38	жизни и	2	8
39	было бы	5	8
40	в себя	3	8
41	и здесь	8	7
42	совершенно не	2	7
43	то что	20	7
44	уже не	11	7
45	конечно не	3	7
46	и только	6	7
47	что и	17	7
48	во всем	3	7
49	вовсе не	3	7
50	отношение к	4	6
51	но эта	2	6
52	в том	13	6
53	но все	5	6
54	не имеет	3	6
55	ко мне	2	6
56	и их	4	6
57	и действительно	5	6
58	я не	3	6
59	но это	5	6
60	он не	11	6
61	никогда не	9	5
62	его в	7	5
63	все же	13	5
64	не только	28	5
65	мы имеем	24	5
66	но как	2	5
67	хотя бы	3	5
68	то же	11	5
69	еще не	15	5
70	не знает	2	5
71	а в	13	5
72	но в	15	5
73	как и	9	5
74	что я	2	5
75	в одном	9	5
76	там где	8	5
77	что это	4	4
78	том что	12	4
79	что в	29	4
80	о нем	2	4
81	прежде всего	3	4
82	в чем	4	4
83	здесь мы	6	4
84	могло бы	2	4
85	для нас	6	4
86	меня не	4	4
87	с ними	5	4
88	при этом	4	4
89	из него	3	4
90	должна быть	2	4
91	между тем	2	4
92	ничего не	12	3
93	в то	2	3
94	на самом	2	3
95	от него	3	3
96	здесь не	6	3
97	всех этих	3	3
98	в другом	11	3
99	от того	3	3
100	в некотором	3	3
101	это и	4	3
102	тем что	8	3
103	и тем	2	3
104	в современной	2	3
105	где он	2	3
106	в виду	2	3
107	себе и	2	3
108	к чему	2	3
109	и тот	3	3
110	и пр	19	3
111	и этот	2	3
112	не менее	6	3
113	независимо от	3	3
114	только с	2	3
115	о том	4	3
116	мы здесь	7	3
117	что этот	4	3
118	в ней	3	3
119	в свою	5	3
120	меня и	3	3
121	вступает в	4	3
122	могут быть	9	3
123	но для	2	3
124	я буду	2	3
125	но здесь	2	3
126	и на	7	3
127	что не	3	3
128	того что	8	3
129	мы не	3	3
130	из его	2	3
131	но конечно	2	3
132	тот же	2	3
133	не дает	3	3
134	быть и	3	3
135	ясно что	2	3
136	и то	4	2
137	и потому	2	2
138	в данном	7	2
139	его к	5	2
140	ли это	2	2
141	его с	2	2
142	его на	6	2
143	и ее	3	2
144	к этому	10	2
145	дело не	3	2
146	целом не	2	2
147	вопрос о	4	2
148	с ее	2	2
149	к себе	3	2
150	тем не	6	2
151	как к	2	2
152	и как	6	2
153	если я	3	2
154	в виде	2	2
155	а как	2	2
156	случае мы	4	2
157	это только	2	2
158	герой и	2	2
159	что он	17	2
160	и за	3	2
161	так и	6	2
162	но этот	3	2
163	его и	6	2
164	на волю	4	2
165	в жизни	3	2
166	с тем	3	2
167	это уже	3	2
168	как в	6	2
169	в него	3	2
170	можно ли	3	2
171	она не	4	2
172	дело с	2	2
173	и она	5	2
174	на нем	4	2
175	но есть	3	2
176	еще более	3	2
177	ему в	2	2
178	имеем в	6	2
179	однако что	4	2
180	если не	2	2
181	он и	4	2
182	один из	7	2
183	что за	3	2
184	него и	2	2
185	по себе	3	2
186	потому что	8	2
187	которой он	3	2
188	вступить в	3	2
189	чтобы быть	3	2
190	что эта	2	2
191	и эти	5	2
192	именно на	2	2
193	не следует	2	2
194	в качестве	4	2
195	этого слова	3	2
196	в этой	7	2
