N	2gram	Berdyaev_M	VeschiIm
1	т е	5	81
2	не есть	21	79
3	и не	26	57
4	не только	42	48
5	то что	10	48
6	не может	39	46
7	и в	61	45
8	и есть	21	40
9	это –	32	40
10	может быть	42	39
11	а не	36	37
12	значит что	4	32
13	это значит	3	30
14	потому что	25	25
15	было бы	11	24
16	в себе	12	23
17	что она	5	23
18	по себе	2	23
19	только в	7	23
20	сказать что	5	22
21	и что	4	22
22	что такое	2	20
23	как бы	10	20
24	и ее	2	19
25	что это	5	19
26	но и	34	19
27	что же	2	19
28	есть только	2	18
29	все же	2	18
30	в этом	34	18
31	есть не	9	17
32	и это	16	17
33	прежде всего	18	17
34	так как	10	17
35	того что	13	16
36	в том	9	15
37	как и	14	15
38	в ней	23	15
39	уже не	8	15
40	не в	16	14
41	– в	2	14
42	и то	2	14
43	но это	8	14
44	том что	7	13
45	есть и	6	13
46	это и	7	13
47	не будет	3	13
48	и для	7	13
49	в самом	15	13
50	ничего не	4	12
51	иное как	4	12
52	но если	4	12
53	что в	12	12
54	точки зрения	6	12
55	она есть	3	12
56	что и	6	12
57	что они	4	12
58	есть то	2	12
59	и как	3	12
60	не что	4	12
61	то же	4	12
62	что иное	4	12
63	о том	5	12
64	и с	6	12
65	не значит	2	12
66	в то	2	11
67	что не	3	11
68	себя в	6	11
69	– не	6	11
70	и их	3	11
71	также и	6	11
72	ни в	3	11
73	есть ли	2	10
74	в чем	3	10
75	есть явление	3	9
76	это не	10	9
77	так что	3	9
78	в своем	17	9
79	она не	9	9
80	бы и	8	9
81	должно быть	5	9
82	хотя бы	8	9
83	бы в	3	9
84	я и	3	9
85	у нас	13	9
86	но не	8	9
87	ни с	4	9
88	и его	13	9
89	с ним	5	9
90	в отношении	6	8
91	его в	6	8
92	и потому	17	8
93	что он	16	8
94	но в	12	8
95	в ее	3	8
96	мы не	2	8
97	себя и	6	8
98	все это	6	8
99	это есть	4	8
100	должна быть	7	8
101	только и	7	8
102	по сравнению	3	8
103	отличается от	2	8
104	в свете	3	8
105	если бы	5	8
106	с тем	10	8
107	что есть	7	8
108	для него	28	8
109	со своим	2	8
110	не потому	2	7
111	от того	4	7
112	самом деле	2	7
113	а в	4	7
114	можно ли	2	7
115	все эти	3	7
116	в сущности	2	7
117	я не	4	7
118	относится к	2	7
119	тем что	7	7
120	вообще не	2	7
121	с этой	4	7
122	оно не	3	7
123	мог бы	5	7
124	и тогда	2	7
