N	2gram	Vinokur_Ku	Myslijsy
1	потому что	40	182
2	и в	44	121
3	может быть	25	107
4	в том	47	103
5	то что	14	83
6	в слове	3	78
7	для нас	6	75
8	что в	25	73
9	и не	23	73
10	только в	15	72
11	не только	29	67
12	а не	17	67
13	таким образом	17	64
14	в языке	16	60
15	том что	30	59
16	так как	16	59
17	в этом	31	59
18	но и	13	59
19	то же	12	56
20	не в	18	54
21	если бы	21	53
22	в себе	4	53
23	не может	13	52
24	по себе	10	52
25	того что	11	47
26	в нем	7	45
27	было бы	28	45
28	не есть	4	42
29	как и	3	42
30	так что	5	39
31	вместе с	8	39
32	что и	5	38
33	так и	10	37
34	при этом	6	37
35	как в	6	37
36	тогда когда	7	36
37	что мы	6	36
38	точно так	4	35
39	тем что	9	33
40	и что	11	32
41	по отношению	9	30
42	а в	7	30
43	но не	11	29
44	что не	10	29
45	между тем	11	29
46	вовсе не	18	28
47	мы можем	2	28
48	для него	2	28
49	что язык	7	27
50	могут быть	5	27
51	с этим	6	27
52	и т	62	26
53	то и	4	26
54	не было	6	26
55	язык есть	7	26
56	отношению к	9	26
57	языка и	16	25
58	этого слова	8	25
59	между собою	3	24
60	в то	4	24
61	с тем	5	23
62	от того	5	23
63	того как	6	23
64	как бы	11	23
65	только тогда	4	22
66	но в	11	22
67	а потому	6	22
68	по мере	3	22
69	не имеет	6	22
70	с другой	14	22
71	что слово	6	22
72	то это	3	22
73	и потому	6	21
74	не менее	12	21
75	внутренняя форма	2	21
76	в ней	6	20
77	в одном	4	20
78	это не	13	20
79	тем самым	5	19
80	и как	3	19
81	с ним	5	19
82	есть не	2	19
83	и то	7	19
84	сказать что	5	19
85	что это	11	19
86	из этих	5	19
87	но это	4	19
88	должно быть	6	19
89	тем не	10	19
90	о том	10	19
91	того же	6	19
92	в каком	6	18
93	очевидно что	4	18
94	для того	23	18
95	еще не	10	18
96	не могут	5	18
97	тогда как	2	18
98	по поводу	2	18
99	в самом	20	18
100	что я	4	18
101	в таком	3	18
102	в его	16	17
103	слова и	8	17
104	по крайней	11	17
105	крайней мере	11	17
106	со стороны	8	17
107	точки зрения	25	17
108	что оно	6	17
109	во всяком	8	17
110	уже в	5	17
111	слова в	7	17
112	в своем	4	16
113	к тому	8	16
114	а только	10	16
115	в которой	7	16
116	только что	2	16
117	так же	8	16
118	или же	3	16
119	есть нечто	2	16
120	если б	2	16
121	в них	10	16
122	что если	4	16
123	на то	6	16
124	и на	8	16
125	и по	4	15
126	т д	21	15
127	в этих	5	15
128	с одной	3	15
129	и тем	7	15
130	что он	7	15
131	прежде всего	14	15
132	только как	3	15
133	в свою	4	15
134	уже не	13	15
135	мы должны	2	14
136	свою очередь	4	14
137	в действительности	2	14
138	и без	2	14
139	должны быть	4	14
140	связи с	8	14
141	в истории	3	14
142	там где	7	14
143	само по	6	14
144	так сказать	5	14
145	на деле	2	14
146	столь же	2	14
147	в котором	4	14
148	мере того	3	14
149	в одно	2	14
150	все же	17	14
151	когда мы	3	14
152	же время	4	14
153	смысле этого	5	13
154	что все	6	13
155	и все	4	13
156	не следует	6	13
157	т п	39	13
158	том смысле	2	13
159	образом в	3	13
160	и может	3	13
161	например в	5	13
162	в смысле	2	13
163	из них	4	13
164	языка в	14	13
165	и его	8	13
166	как на	4	13
167	значение слова	3	13
168	никогда не	2	12
169	язык не	2	12
170	и при	3	12
171	одно из	3	12
172	что же	11	12
173	что на	2	12
174	все это	10	12
175	под влиянием	3	12
176	как мы	2	12
177	есть в	6	12
178	тем более	2	12
179	сих пор	5	12
180	быть только	3	12
181	что такое	8	12
182	оно не	5	12
183	или менее	3	12
184	в чем	2	12
185	только потому	13	12
186	хотя и	7	12
187	относится к	3	12
188	себе представить	2	12
189	другой стороны	12	12
190	в каждом	3	12
191	более или	3	12
192	всяком случае	8	12
193	до сих	5	12
194	к одному	2	11
195	в силу	16	11
196	той же	5	11
197	того чтобы	25	11
198	в первом	3	11
199	в состоянии	2	11
200	только для	3	11
201	что для	3	11
202	и если	4	11
203	и их	2	11
204	указывает на	2	11
205	если не	4	11
206	мы видели	3	11
207	речи и	8	11
208	же в	5	11
209	сами по	2	11
210	и это	3	11
211	и только	2	11
212	быть не	2	11
213	со словом	3	11
214	и следовательно	2	10
215	одной стороны	2	10
216	между прочим	4	10
217	том как	3	10
218	что только	2	10
219	и для	3	10
220	мы говорим	4	10
221	хотя бы	19	10
222	тем же	2	10
223	слово с	2	10
224	слово в	2	10
225	тому что	3	10
226	тех пор	2	10
227	так в	2	10
228	находится в	2	10
229	это слово	7	10
230	и от	2	10
231	и мы	2	10
232	бы в	8	10
233	он не	4	10
234	если мы	5	10
235	и с	11	10
236	и есть	3	10
237	вопрос о	11	9
238	но оно	2	9
239	могли бы	4	9
240	то не	2	9
241	до того	2	9
242	для самого	3	9
243	во многих	3	9
244	не все	4	9
245	это было	2	9
246	и даже	5	9
247	язык в	7	9
248	и о	3	9
249	далеко не	2	9
250	с точки	16	9
251	и того	2	9
252	самом деле	17	9
