N	2gram	Trubetskoy	OGranits
1	и в	14	13
2	прежде всего	8	9
3	и не	19	8
4	не может	22	8
5	может быть	9	8
6	в его	4	7
7	точки зрения	11	7
8	не только	9	6
9	мы должны	7	6
10	как бы	4	6
11	таким образом	11	6
12	только в	5	6
13	то что	13	6
14	и т.д	4	5
15	все же	4	5
16	с точки	9	5
17	и наконец	2	5
18	хотя бы	5	5
19	мы можем	2	4
20	но в	2	4
21	лишь в	3	4
22	то же	11	4
23	в сознании	3	4
24	но мы	3	4
25	в своей	5	4
26	все это	6	4
27	было бы	5	4
28	никогда не	5	3
29	да и	3	3
30	и для	6	3
31	и то	4	3
32	вряд ли	3	3
33	с этим	2	3
34	как и	4	3
35	не в	4	3
36	в их	4	3
37	говорить о	3	3
38	так как	4	3
39	в себе	9	3
40	что в	4	3
41	по отношению	2	3
42	точку зрения	4	3
43	но для	2	3
44	самом деле	7	3
45	что же	4	3
46	но и	10	3
47	в самом	3	2
48	в этом	17	2
49	для себя	2	2
50	и должно	2	2
51	данном случае	3	2
52	в том	17	2
53	тем что	3	2
54	несмотря на	3	2
55	если бы	6	2
56	или иного	2	2
57	пути к	2	2
58	ее в	2	2
59	разумеется что	2	2
60	а в	5	2
61	и тем	2	2
62	том что	9	2
63	того или	2	2
64	и к	6	2
65	в данном	7	2
66	все эти	2	2
67	в области	2	2
68	так же	2	2
69	что они	3	2
70	мы уже	2	2
71	и при	6	2
72	в своих	6	2
73	в нем	5	2
74	при этом	5	2
75	а не	2	2
76	в ней	2	2
77	в течение	2	2
78	во всем	4	2
79	и является	2	2
80	между тем	5	2
81	и этот	3	2
82	в другом	3	2
83	вне всякой	2	2
84	к тому	7	2
85	для него	6	2
