N	2gram	Tiupa_Narr	VrazhdaK
1	в году	2	18
2	у тургенева	2	11
3	не только	50	9
4	в этом	23	8
5	и в	22	8
6	что в	6	7
7	но и	39	7
8	и все	7	7
9	достоевского и	2	7
10	то что	14	7
11	но в	10	6
12	как и	15	6
13	в котором	3	6
14	в начале	4	6
15	в нем	9	6
16	и с	3	6
17	о нем	5	6
18	все же	10	6
19	в романе	3	6
20	и даже	4	6
21	и не	34	5
22	не было	3	5
23	об этом	8	5
24	то же	12	5
25	в то	9	5
26	же время	7	5
27	у него	13	5
28	между тем	5	5
29	для нас	2	4
30	в своих	2	4
31	это не	6	4
32	в виду	2	4
33	при этом	31	4
34	о том	5	4
35	в ней	5	4
36	как бы	11	4
37	так же	2	4
38	что он	7	4
39	с ним	6	4
40	может быть	24	4
41	человека в	2	3
42	давно уже	2	3
43	и у	4	3
44	в том	20	3
45	в чем	3	3
46	одним из	2	3
47	далеко не	6	3
48	что у	6	3
49	и уже	4	3
50	в своем	7	3
51	том что	15	3
52	в его	12	3
53	матери и	5	3
54	в связи	3	3
55	и о	4	3
56	раз в	4	3
57	и его	12	3
58	и как	4	3
59	в русской	3	3
60	он не	8	3
61	о себе	2	3
62	речь идет	3	3
63	связи с	3	3
64	к этому	2	3
65	но он	2	3
66	на то	4	3
67	я не	5	3
68	наряду с	2	3
69	в конце	4	3
70	с его	6	3
71	никогда не	8	2
72	с нею	2	2
73	и то	3	2
74	уже не	11	2
75	в мире	8	2
76	одна из	5	2
77	к ним	2	2
78	и т.п	11	2
79	начиная с	3	2
80	место в	3	2
81	в него	2	2
82	в той	4	2
83	для него	8	2
84	с точки	2	2
85	а в	19	2
86	а также	11	2
87	он сам	4	2
88	в этой	8	2
89	тогда как	23	2
90	столь же	6	2
91	в своей	8	2
92	как раз	9	2
93	же в	6	2
94	но как	3	2
95	и он	8	2
96	в себе	14	2
97	еще не	6	2
98	точки зрения	8	2
99	в повести	2	2
100	о чем	6	2
101	же как	2	2
102	тем более	2	2
103	таким образом	5	2
104	и ее	3	2
105	во время	2	2
106	что я	4	2
107	его и	2	2
108	в свою	4	2
109	по мнению	2	2
110	так в	4	2
111	после смерти	2	2
112	их в	4	2
113	о которой	3	2
114	не может	16	2
115	из них	4	2
116	ответ на	6	2
117	не менее	6	2
118	и стал	2	2
119	но это	2	2
120	в глазах	7	2
121	к себе	11	2
122	за границей	3	2
123	отнюдь не	6	2
124	от сознания	2	2
125	а с	2	2
126	не мог	7	2
127	вместе с	3	2
128	в известном	4	2
129	отношение к	2	2
