N	2gram	Losev_Vlad	Formalny
1	и в	56	95
2	и не	33	78
3	может быть	12	66
4	в этом	30	61
5	не может	12	57
6	вовсе не	8	53
7	таким образом	6	52
8	и его	12	51
9	так и	11	50
10	точки зрения	4	47
11	в нем	7	42
12	в его	18	42
13	прежде всего	5	41
14	как и	7	39
15	и т	3	37
16	не в	12	35
17	в самом	3	35
18	а не	5	34
19	но и	26	33
20	то же	10	32
21	не только	35	30
22	в том	26	26
23	отнюдь не	3	26
24	если бы	2	26
25	то что	30	25
26	при этом	5	24
27	в своей	7	24
28	лишь в	3	24
29	в ней	5	23
30	связи с	7	23
31	было бы	7	23
32	в то	15	22
33	в истории	4	21
34	как бы	5	21
35	что в	24	21
36	и с	27	21
37	в их	2	20
38	не менее	9	20
39	между ними	2	20
40	и от	6	20
41	с тем	4	20
42	как мы	17	20
43	же время	7	20
44	место в	2	20
45	не могут	2	19
46	все это	7	19
47	хотя бы	5	19
48	т д	3	19
49	по себе	3	19
50	все же	11	18
51	и все	8	18
52	все эти	6	18
53	в связи	9	18
54	с его	15	18
55	только в	11	18
56	как в	6	17
57	как раз	7	17
58	так же	4	16
59	во всяком	8	16
60	совершенно не	2	16
61	с другой	3	16
62	потому что	16	16
63	всяком случае	8	16
64	его в	3	15
65	но в	19	15
66	так как	11	15
67	во всех	4	15
68	именно в	4	15
69	и на	7	15
70	что он	22	14
71	только на	3	14
72	в целом	3	14
73	в своем	10	14
74	еще не	2	14
75	в жизни	4	14
76	в этой	4	14
77	и потому	8	14
78	жизни и	8	14
79	вместе с	9	14
80	до конца	8	13
81	в настоящее	2	13
82	настоящее время	2	13
83	со стороны	5	13
84	того что	6	13
85	а в	20	13
86	что же	11	13
87	для них	2	13
88	что и	6	13
89	в результате	6	13
90	она не	3	13
91	тем что	2	13
92	ни в	4	13
93	как это	11	12
94	того чтобы	4	12
95	и здесь	3	12
96	к тому	5	12
97	и для	4	12
98	уже не	6	12
99	никогда не	15	11
100	этом отношении	2	11
101	это и	2	11
102	в общем	4	11
103	так сказать	2	11
104	но не	5	11
105	то ни	2	11
106	произведения как	2	11
107	что они	4	11
108	для него	16	11
109	не есть	4	10
110	друг друга	3	10
111	мы не	2	10
112	не было	12	10
113	в дальнейшем	10	10
114	по существу	4	10
115	бы то	2	10
116	другой стороны	3	10
117	и как	7	10
118	в своих	7	10
119	главным образом	5	10
120	раз и	4	10
121	и теперь	4	10
122	конечно не	5	10
123	он не	13	10
124	ничего не	4	9
125	совсем не	7	9
126	здесь не	6	9
127	но это	6	9
128	и до	4	9
129	менее всего	2	9
130	и даже	23	9
131	у нас	11	9
132	не могло	2	9
133	литературы и	2	9
134	еще более	3	9
135	в свою	3	9
136	мы знаем	5	9
137	отношения к	4	9
138	это не	3	8
139	в них	5	8
140	в области	3	8
141	что это	2	8
142	с этим	3	8
143	всех этих	3	8
144	из этого	6	8
145	и к	10	8
146	для того	4	8
147	и речи	3	8
148	ясно что	2	8
149	том что	22	7
150	в себе	5	7
151	свою очередь	2	7
152	как к	4	7
153	или менее	5	7
154	его от	2	7
155	с позитивизмом	2	7
156	более или	5	7
157	даже и	12	7
158	в сущности	2	7
159	известной степени	2	7
160	сказать что	14	7
161	говорит в	2	7
162	к этому	11	7
163	время в	4	7
164	в первый	2	7
165	в особенности	4	7
166	можно говорить	2	7
167	жизни в	3	7
168	и наконец	2	7
169	но все	3	7
170	что бы	2	7
171	из них	3	7
172	он и	8	7
173	в той	2	7
174	мы увидим	4	7
