N	2gram	Savitsky_P	Tvorches
1	и в	14	56
2	как бы	4	41
3	в его	2	37
4	в то	7	30
5	то же	9	25
6	не только	17	24
7	но в	9	24
8	же время	7	24
9	и не	12	23
10	а в	4	23
11	и т	3	22
12	в этом	10	22
13	в том	9	21
14	что в	4	21
15	том что	4	19
16	может быть	5	19
17	потому что	3	19
18	то что	4	18
19	все это	2	17
20	прежде всего	3	16
21	не может	4	16
22	но и	6	16
23	xix века	6	15
24	в мире	2	15
25	и с	2	15
26	это не	3	14
27	а не	2	13
28	тем самым	3	12
29	в котором	4	12
30	отнюдь не	2	11
31	не в	5	10
32	в русской	4	10
33	но не	3	10
34	только в	7	10
35	в нем	3	9
36	наряду с	3	9
37	в себе	3	8
38	не менее	2	8
39	именно в	2	8
40	хотя и	3	8
41	например в	2	7
42	не столько	2	6
43	одна из	2	6
44	хотя бы	8	6
45	и как	3	6
46	если бы	4	6
47	еще более	2	6
48	и других	2	5
49	в виде	2	5
50	в своем	4	5
51	в них	2	5
52	и это	2	5
53	быть может	6	5
54	в ее	2	5
55	мы не	3	5
56	во всей	2	5
57	тот же	3	5
58	в россии	3	5
59	с этим	2	5
60	между тем	3	5
61	с другой	5	5
62	из них	2	5
63	не было	2	5
64	и потому	4	4
65	в частности	2	4
66	того что	2	4
67	точки зрения	3	4
68	могут быть	3	4
69	xix веке	2	4
70	с ними	3	4
71	было в	2	4
72	и мы	2	4
73	в xix	2	4
74	и есть	2	4
75	в которых	5	4
76	с точки	3	4
77	говорить о	2	4
78	и тем	2	3
79	со стороны	2	3
80	в области	11	3
81	в ней	6	3
82	а н	5	3
83	в с	4	3
84	заключается в	3	3
85	да и	2	3
86	если в	2	3
87	сами по	3	3
88	время в	2	3
89	в начале	2	3
90	а я	5	3
91	мысль о	2	3
92	я и	3	3
93	в статье	2	3
94	и вот	2	3
95	для того	3	3
96	в жизни	2	3
97	и если	4	3
98	и к	4	3
99	по себе	4	3
100	в русском	2	3
101	сводится к	3	3
102	в которую	2	3
103	в отношении	10	2
104	вслед за	3	2
105	в силу	2	2
106	является в	2	2
107	есть не	2	2
108	начала и	2	2
109	сказывается в	2	2
110	с тем	3	2
111	может и	2	2
112	и без	3	2
113	между прочим	2	2
114	для них	2	2
115	xix век	2	2
116	было бы	6	2
117	же в	4	2
118	в качестве	9	2
119	заключает в	2	2
120	на этих	2	2
121	и и	2	2
122	и достоевского	2	2
123	во всех	2	2
124	не нужно	2	2
125	в е	2	2
126	переход от	2	2
127	эта идея	2	2
128	и о	5	2
129	в тот	2	2
130	отношении к	5	2
131	н а	10	2
132	с одной	3	2
133	столь же	3	2
134	в сфере	2	2
135	в эту	2	2
136	бы ни	2	2
137	том числе	2	2
138	как на	2	2
139	не к	2	2
140	как раз	2	2
