N	3gram	Tiupa_Vved	TeoriaLi
1	в том что	10	10
2	по отношению к	11	10
3	не сводится к	6	9
4	в то же	5	8
5	то же время	4	8
6	в отличие от	11	7
7	в конечном счете	2	6
8	присутствия в мире	2	6
9	состоит в том	2	6
10	с другой стороны	2	6
11	более или менее	2	6
12	так и не	4	5
13	в данном случае	15	5
14	не может быть	6	5
15	по сути дела	4	3
16	с одной стороны	9	3
17	тем не менее	3	3
18	подобно тому как	3	3
19	той или иной	4	3
20	по своей природе	2	3
21	несет в себе	4	3
22	в свою очередь	5	3
23	мастера и маргариты	2	2
24	это своего рода	3	2
25	в противном случае	2	2
26	с легкой руки	2	2
27	войне и мире	2	2
28	причастной вненаходимости бахтин	2	2
29	тогда как в	2	2
30	в самом деле	2	2
31	в нашем случае	3	2
32	а с другой	3	2
33	в значительной степени	2	2
34	мы имеем дело	5	2
35	в соответствии с	8	2
36	и тем самым	2	2
37	в войне и	2	2
38	как и в	2	2
39	в основе своей	2	2
40	по большей части	4	2
