N	2gram	Potebnia_M	Vvedenie
1	и т	10	45
2	т д	6	39
3	в том	38	38
4	в этом	18	35
5	и в	58	35
6	том что	21	30
7	может быть	47	30
8	не только	32	26
9	для того	8	23
10	того чтобы	4	22
11	таким образом	21	21
12	не может	30	19
13	то что	24	19
14	потому что	89	18
15	со стороны	11	16
16	о том	6	16
17	только в	36	16
18	так как	29	15
19	языка и	20	15
20	и не	34	13
21	что в	34	13
22	в самом	5	13
23	в нем	26	13
24	в их	3	12
25	того что	15	12
26	что такое	3	12
27	точки зрения	8	12
28	в его	7	12
29	как на	5	12
30	этом смысле	4	11
31	то же	13	11
32	по себе	24	11
33	в ее	2	11
34	как мы	3	11
35	вопрос о	5	10
36	не в	23	10
37	прежде всего	8	10
38	но в	12	10
39	уже и	2	10
40	между тем	7	10
41	из этих	8	9
42	тем не	11	9
43	и как	11	9
44	все же	11	9
45	смысле этого	3	9
46	но не	19	9
47	не менее	10	9
48	дело с	2	9
49	в истории	8	9
50	это не	10	8
51	о котором	4	8
52	с другой	13	8
53	а только	8	8
54	именно в	2	8
55	и то	4	7
56	самом деле	2	7
57	сих пор	5	7
58	как и	16	7
59	как бы	12	7
60	этот вопрос	2	7
61	представить себе	3	7
62	но и	26	7
63	в разных	2	7
64	только как	5	7
65	было бы	21	7
66	в применении	3	7
67	до сих	5	7
68	сказать что	5	6
69	его в	3	6
70	не могут	10	6
71	как например	4	6
72	истории языка	2	6
73	хотя бы	4	6
74	иное как	2	6
75	и даже	4	6
76	применении к	3	6
77	но если	4	6
78	о языке	3	6
79	тем что	15	6
80	как он	5	6
81	в какой	2	6
82	на вопрос	3	6
83	так например	5	6
84	на этот	2	6
85	с тем	9	6
86	и это	3	6
87	а в	11	6
88	уже не	4	6
89	в которых	2	6
90	могут быть	17	6
91	xviii в	2	6
92	в то	6	6
93	один из	2	6
94	и что	13	6
95	и его	7	6
96	все это	3	6
97	же время	4	6
98	вовсе не	13	6
99	вместе с	12	6
100	независимо от	15	5
101	дело в	3	5
102	имеет дело	2	5
103	не что	2	5
104	в виду	2	5
105	и тем	5	5
106	а как	3	5
107	связь между	2	5
108	одним из	2	5
109	с этой	3	5
110	что он	5	5
111	так что	23	5
112	т п	6	5
113	что иное	2	5
114	на основании	3	5
115	в течение	2	5
116	что не	15	5
117	одно из	5	5
118	от этого	2	5
119	в г	2	5
120	а потому	14	5
121	есть не	7	5
122	не есть	13	5
123	она есть	3	5
124	язык как	7	5
125	другой стороны	7	5
126	в них	7	5
127	уже в	5	5
128	в целом	3	5
129	всяком случае	7	5
130	внимание на	3	5
131	что и	16	5
132	языка в	6	5
133	а не	38	5
134	в первом	5	5
135	но с	3	5
136	хотя и	6	5
137	во всяком	9	5
138	все более	3	4
139	само по	6	4
140	языке и	2	4
141	одной стороны	6	4
142	по отношению	15	4
143	в каждом	6	4
144	только что	4	4
145	должен быть	2	4
146	еще не	9	4
147	времени и	3	4
148	по мере	10	4
149	по крайней	6	4
150	отношению к	13	4
151	в чем	6	4
152	с одной	7	4
153	заключается в	3	4
154	к тому	5	4
155	но все	4	4
156	и для	8	4
157	не имеет	9	4
158	взгляда на	2	4
159	в котором	5	4
160	в более	4	4
161	даже и	4	4
162	ответ на	2	4
163	тогда когда	15	4
164	в одном	13	4
165	из них	2	4
166	видит в	2	4
167	в себе	22	4
168	как она	3	4
169	связи между	2	4
170	с точки	4	4
171	быть названо	5	4
172	крайней мере	6	4
173	в своей	3	4
174	той же	3	4
175	никогда не	7	3
176	в каком	7	3
177	одна из	4	3
178	отношений между	5	3
179	и вообще	5	3
180	что это	5	3
181	только по	5	3
182	на нее	2	3
183	в своем	3	3
184	и той	4	3
185	с этим	11	3
186	так же	7	3
187	как оно	2	3
188	нисколько не	2	3
189	в начале	2	3
190	в собственном	4	3
191	например что	3	3
192	но дело	2	3
193	и наоборот	10	3
194	для этого	2	3
195	что она	3	3
196	к этому	3	3
197	не как	4	3
198	в другом	3	3
199	от того	9	3
200	или же	7	3
201	сама по	4	3
202	если бы	23	3
203	об отношении	3	3
204	при помощи	2	3
205	в сущности	2	3
206	в этих	10	3
207	язык в	8	3
208	только на	4	3
209	как в	18	3
210	или как	2	3
211	духовной жизни	2	3
212	что даже	2	3
213	не с	2	3
214	мы видели	5	3
215	история и	2	3
216	стороны и	3	3
217	к нему	2	3
218	на том	2	3
219	и на	8	3
220	язык и	6	3
221	того же	13	3
222	с понятием	2	3
223	может служить	2	3
224	зависит от	6	3
225	в ней	9	3
226	вообще и	2	3
227	мы говорим	3	3
228	на этом	3	3
229	между ними	2	3
230	однако в	4	3
231	то это	8	3
232	но что	2	3
233	в известном	2	3
234	по этому	2	3
235	что же	3	3
236	нуждается в	2	3
237	от себя	2	3
238	здесь не	2	3
239	и того	6	3
240	вряд ли	2	3
241	при этом	17	3
242	в основании	3	3
243	и уже	6	3
244	что с	3	3
245	во внимание	4	3
246	все эти	3	3
247	связи с	6	3
248	и тогда	2	3
249	и есть	4	3
250	как будто	2	3
251	не следует	6	3
252	в этой	3	3
253	в слове	21	3
254	собственном смысле	2	3
255	и других	6	3
256	того как	12	3
257	чем в	2	3
258	не исчерпывается	2	2
259	в языке	36	2
260	в создании	6	2
261	но вместе	4	2
262	в таких	2	2
263	находятся в	3	2
264	с которыми	3	2
265	ничего не	2	2
266	следовательно и	2	2
267	таким путем	4	2
268	и развития	2	2
269	о которых	5	2
270	у нас	3	2
271	другого рода	2	2
272	бы с	2	2
273	и потому	7	2
274	одно целое	3	2
275	из того	3	2
276	его к	3	2
277	мы должны	4	2
278	во всех	12	2
279	на такие	2	2
280	но как	4	2
281	для нее	4	2
282	тем более	2	2
283	могут не	3	2
284	есть только	16	2
285	хотя в	3	2
286	или нет	3	2
287	должно быть	9	2
288	этой точки	2	2
289	языка а	3	2
290	бы в	6	2
291	деятельности и	5	2
292	не существует	2	2
293	которые не	5	2
294	по времени	5	2
295	мысли и	9	2
296	мы называем	4	2
297	на свои	2	2
298	что оно	5	2
299	что нет	2	2
300	не могли	2	2
301	языка или	2	2
302	что именно	2	2
303	в отношениях	2	2
304	в связи	2	2
305	подобно тому	7	2
306	том же	3	2
307	одного и	6	2
308	свою очередь	8	2
309	что если	7	2
310	и при	6	2
311	этого не	2	2
312	после этого	2	2
313	когда мы	4	2
314	в формах	3	2
315	то она	3	2
316	так и	17	2
317	том смысле	7	2
318	одной и	4	2
319	после того	3	2
320	смысле в	5	2
321	каким образом	3	2
322	увидим что	4	2
323	и должно	2	2
324	к языку	6	2
325	языка как	6	2
326	такого же	2	2
327	ни с	2	2
328	можно считать	2	2
329	но уже	2	2
330	что к	2	2
331	говорит он	4	2
332	тому что	4	2
333	языка с	6	2
334	как увидим	4	2
335	на то	5	2
336	могло бы	4	2
337	если это	2	2
338	о которой	2	2
339	мог бы	5	2
340	в своих	4	2
341	язык но	3	2
342	ни одна	2	2
343	что можно	3	2
344	себе и	2	2
345	нам не	2	2
346	и без	4	2
347	в свою	8	2
348	языка не	5	2
349	и с	3	2
350	и вопрос	3	2
351	обратить внимание	2	2
352	но это	7	2
353	а между	5	2
354	история языка	3	2
355	не столько	3	2
356	что мы	11	2
357	и совершенно	2	2
358	от языка	5	2
359	мы можем	10	2
360	тому как	8	2
361	языка но	3	2
362	точно так	18	2
363	несмотря на	5	2
364	для них	2	2
365	жизни и	3	2
366	в ряду	6	2
367	с теми	2	2
368	не было	7	2
369	сам по	5	2
370	тогда как	10	2
