N	3gram	Tiupa_Anal	VeschiIm
1	не может быть	17	24
2	то ни было	3	12
3	не что иное	5	12
4	бы то ни	3	12
5	что иное как	6	12
6	содержит в себе	3	11
7	тем не менее	3	11
8	по крайней мере	4	10
9	в том что	13	9
10	есть не что	4	8
11	в самом деле	3	7
12	на то что	2	7
13	с точки зрения	6	6
14	одно и то	2	5
15	и то же	2	5
16	в то же	9	5
17	подобно тому как	5	5
18	не только в	3	5
19	с этой точки	2	4
20	не только не	2	4
21	более или менее	2	4
22	этой точки зрения	2	4
23	о том что	8	4
24	то же время	7	4
25	не есть вещь	2	4
26	из того что	3	3
27	в отрыве от	2	3
28	с одной стороны	6	3
29	с другой стороны	2	3
30	сами по себе	3	3
31	и не в	4	3
32	как раз и	2	2
33	в основе своей	2	2
34	для того чтобы	3	2
35	в этом отношении	5	2
36	том что он	2	2
37	к тому что	2	2
38	дело не с	2	2
39	в связи с	2	2
40	друг с другом	2	2
41	в данном случае	3	2
42	в том или	3	2
43	а не в	3	2
44	в этом смысле	3	2
45	внутреннего и внешнего	2	2
46	а не только	2	2
47	и в этом	4	2
48	по природе своей	3	2
49	мы имеем дело	7	2
50	в первом случае	2	2
51	в свое время	3	2
52	тех или иных	3	2
53	в той или	3	2
54	в том чтобы	7	2
