N	2gram	Tiupa_Anal	Literetu
1	а не	16	50
2	и не	14	47
3	не только	40	46
4	и в	36	44
5	может быть	19	43
6	при этом	19	41
7	но и	26	41
8	тогда как	37	40
9	в том	16	39
10	в этом	19	38
11	своего рода	17	37
12	том что	19	32
13	в частности	19	30
14	такого рода	11	30
15	то что	5	29
16	в мире	17	28
17	в качестве	22	27
18	в году	5	26
19	состоит в	14	26
20	то же	7	26
21	как и	27	23
22	в то	8	23
23	в стихотворении	4	23
24	не в	9	22
25	так и	19	22
26	того что	4	22
27	себя в	6	22
28	не может	3	22
29	я и	6	21
30	же время	7	21
31	в себе	7	20
32	и т.п	7	20
33	прежде всего	7	19
34	лирический герой	4	19
35	я в	15	19
36	как бы	14	18
37	то есть	15	17
38	точки зрения	3	17
39	в его	12	17
40	с другой	10	17
41	в этой	10	16
42	в жизни	2	16
43	тем самым	8	15
44	со стороны	12	15
45	не менее	9	15
46	произведение искусства	4	15
47	в целом	8	15
48	я не	3	15
49	в стихах	2	15
50	в русской	9	15
51	только в	9	15
52	по отношению	9	14
53	что он	5	14
54	однако в	6	14
55	в рамках	10	14
56	и даже	12	14
57	коммуникативного события	14	14
58	в своем	7	13
59	как это	7	13
60	в тексте	16	13
61	эстетического объекта	6	13
62	с одной	3	13
63	но не	13	13
64	уже не	9	13
65	и его	18	13
66	всего лишь	13	12
67	в данном	12	12
68	в своей	12	12
69	а также	5	12
70	еще не	7	12
71	отношению к	9	12
72	о том	9	12
73	одной стороны	3	12
74	никогда не	7	11
75	данном случае	11	11
76	это не	4	11
77	в другом	3	11
78	лирического героя	6	11
79	причастности к	2	11
80	коммуникативное событие	2	11
81	отличие от	5	11
82	с его	15	11
83	и сам	8	11
84	не столько	4	11
85	как в	9	11
86	в отличие	5	11
87	а в	17	11
88	или иначе	5	11
89	в конечном	5	11
90	столь же	7	11
91	в основе	2	11
92	вместе с	3	11
93	даже в	6	10
94	этом отношении	3	10
95	русской поэзии	2	10
96	для себя	2	10
97	в принципе	3	10
98	что в	15	10
99	так или	5	10
100	отнюдь не	7	10
101	в ее	5	10
102	конечном счете	5	10
103	жизни в	4	10
104	из них	4	10
105	и на	5	10
106	не случайно	13	10
107	жизни и	2	10
108	в противовес	2	10
109	мыслится как	2	9
110	одно из	3	9
111	к тому	10	9
112	один из	6	9
113	же в	5	9
114	в начале	10	9
115	наш взгляд	5	9
116	лишь в	9	9
117	эстетической деятельности	2	9
118	на смену	5	9
119	и т.д	3	9
120	представляет собой	7	9
121	на наш	5	9
122	вплоть до	5	8
123	одна из	6	8
124	в конце	6	8
125	едва ли	6	8
126	ли не	5	8
127	все же	6	8
128	в искусстве	3	8
129	но в	8	8
130	того же	7	8
131	уже в	5	8
132	на себя	5	8
133	что не	3	8
134	в глазах	6	8
135	для него	8	8
136	и я	3	8
137	исходит из	2	8
138	и как	5	8
139	субъекта и	3	8
140	тем что	3	8
141	в своих	3	8
142	соответствии с	3	8
143	той же	7	8
144	присутствия в	5	8
145	с точки	2	8
146	о себе	4	8
147	как раз	8	8
148	для всех	5	7
149	в их	7	7
150	не как	3	7
151	по своей	5	7
152	наконец в	3	7
153	и тем	3	7
154	на свою	3	7
155	так в	4	7
156	русской литературе	6	7
157	другой стороны	7	7
158	в противоположность	3	7
159	и для	4	7
160	по преимуществу	3	7
161	и адресата	3	7
162	как правило	6	7
163	человека в	3	7
164	ведет к	2	7
165	говоря словами	3	7
166	именно в	4	7
167	в самом	7	7
168	в одном	4	7
169	он и	4	7
170	личности в	5	7
171	тому как	3	7
172	в случае	6	7
173	в нем	3	7
174	он не	9	7
175	тому же	7	7
176	на фоне	4	7
177	еще и	4	6
178	его в	4	6
179	при всей	2	6
180	лирическое я	3	6
181	казалось бы	4	6
182	самом деле	2	6
183	самим собой	3	6
184	эстетический объект	2	6
185	одного из	4	6
186	уже о	2	6
187	и он	4	6
188	а затем	2	6
189	было бы	6	6
190	не было	3	6
191	например в	2	6
192	и то	2	6
193	то в	4	6
194	во всех	4	6
195	в каждом	4	6
196	с ее	3	6
197	как о	3	6
198	в культуре	2	6
199	далеко не	8	6
200	подобно тому	4	6
201	в ней	2	6
202	перед лицом	4	6
203	у него	2	6
204	в слове	5	6
205	этом как	2	5
206	в соответствии	5	5
207	или иной	9	5
208	идет о	2	5
209	в литературе	3	5
210	от себя	3	5
211	так что	2	5
212	он сам	2	5
213	в романе	3	5
214	не знает	2	5
215	к этой	2	5
216	во втором	4	5
217	между тем	8	5
218	несмотря на	2	5
219	что и	10	5
220	себя и	2	5
221	в сущности	5	5
222	в чужом	2	5
223	все еще	2	5
224	место в	4	5
225	литературного произведения	8	5
226	читателя в	3	5
227	в равной	2	5
228	мы не	4	5
229	следует признать	3	5
230	тем не	3	5
231	и одновременно	6	5
232	этого текста	4	5
233	в силу	2	5
234	как у	3	5
235	не с	3	5
236	том чтобы	2	5
237	автора и	5	5
238	в себя	6	5
239	в нашем	4	5
240	и если	2	5
241	и к	7	5
242	жизни как	4	5
243	к жизни	5	5
244	но с	3	5
245	однако не	2	5
246	входит в	4	4
247	сознания к	2	4
248	я с	7	4
249	в свою	9	4
250	очевидно что	2	4
251	личностного я	2	4
252	в повестях	11	4
253	нуждается в	2	4
254	не является	5	4
255	стать самим	2	4
256	каждый из	2	4
257	лирического я	2	4
258	как к	2	4
259	внутренней свободы	2	4
260	на жизнь	2	4
261	и прежде	2	4
262	но без	2	4
263	в лирике	3	4
264	по сути	2	4
265	не всегда	4	4
266	от своего	3	4
267	здесь как	2	4
268	объекта и	3	4
269	с тем	2	4
270	для своего	3	4
271	и все	3	4
272	эстетического отношения	6	4
273	на его	3	4
274	могли бы	2	4
275	которая в	2	4
276	могут быть	4	4
277	в них	4	4
278	хотя и	4	4
279	как мы	4	4
280	себе самому	2	4
281	во всяком	6	4
282	самим собою	3	4
283	одной из	6	4
284	и читателя	2	4
285	тех же	2	4
286	но это	3	4
287	за пределы	3	4
288	к этому	3	4
289	сводится к	5	4
290	но лишь	2	4
291	во второй	8	4
292	художественного целого	9	4
293	и вот	2	4
294	художественного мира	3	4
295	читателя и	2	4
296	совершенно не	3	4
297	такой же	2	4
298	со всеми	2	4
299	ни к	3	4
300	в пределах	5	4
301	не должен	2	4
302	все они	2	4
303	можно сказать	5	4
304	приводит к	5	4
305	на этом	2	4
306	ко всему	2	4
307	в сторону	2	4
308	от жизни	2	4
309	перед ним	2	4
310	более чем	2	4
311	вовсе не	2	4
312	и что	2	4
313	таким образом	4	4
314	не мог	4	4
315	отношения к	6	4
316	о которой	2	4
317	от автора	2	3
318	ничего не	3	3
319	в действительности	2	3
320	и потому	3	3
321	от всего	2	3
322	но как	4	3
323	о чем	5	3
324	по себе	6	3
325	в полном	2	3
326	тех пор	2	3
327	одну из	3	3
328	крайней мере	5	3
329	в отношении	2	3
330	художественную реальность	3	3
331	жизни здесь	2	3
332	отношение к	2	3
333	и а	4	3
334	есть не	2	3
335	было сказано	2	3
336	в первом	2	3
337	нам представляется	2	3
338	в ходе	3	3
339	восходящая к	4	3
340	факторов художественного	4	3
341	своей жизни	2	3
342	системе ценностей	3	3
343	а на	2	3
344	без остатка	2	3
345	а с	2	3
346	как уже	4	3
347	они не	2	3
348	той или	6	3
349	времени в	3	3
350	являет собой	3	3
351	из трех	2	3
352	самого пушкина	5	3
353	художественного дискурса	3	3
354	однако если	2	3
355	речь идет	3	3
356	классического реализма	2	3
357	там где	2	3
358	и до	2	3
359	все эти	2	3
360	равной степени	2	3
361	он был	3	3
362	во время	2	3
363	свою очередь	7	3
364	на языке	3	3
365	который в	4	3
366	субъектом и	3	3
367	тот же	3	3
368	ее в	2	3
369	человеческого я	5	3
370	да и	3	3
371	если в	3	3
372	и от	3	3
373	другого я	2	3
374	власть над	2	3
375	во многих	2	3
376	на два	2	3
377	можно было	2	3
378	текста как	2	3
379	с действительностью	3	3
380	в первой	10	3
381	бы и	2	3
382	не так	2	3
383	дело в	3	3
384	с их	3	3
385	о своем	4	3
386	из своих	2	3
387	как сам	4	3
388	мысль о	3	3
389	если бы	2	3
