N	3gram	Vygotskiy_	Freidism
1	с точки зрения	5	15
2	не может быть	4	14
3	по отношению к	2	11
4	в самом деле	8	10
5	в том что	30	9
6	мы знаем что	3	6
7	может быть и	2	6
8	можно сказать что	3	5
9	с самого начала	5	5
10	на первый план	2	4
11	в этом отношении	3	4
12	сам по себе	4	4
13	мы увидим что	7	4
14	в данном случае	3	4
15	в зависимости от	7	4
16	на самом деле	8	4
17	все то что	6	3
18	мы не можем	2	3
19	и той же	4	3
20	на этот вопрос	5	3
21	и тот же	2	3
22	о том что	15	3
23	в собственном смысле	2	3
24	для того чтобы	41	3
25	в конечном счете	2	3
26	до сих пор	9	3
27	одной и той	4	3
28	то же самое	8	2
29	ни в каком	2	2
30	а с другой	5	2
31	том что он	4	2
32	к тому что	8	2
33	зависимости от того	4	2
34	вовсе не в	2	2
35	то что мы	2	2
36	мы никогда не	5	2
37	таким образом в	2	2
38	то обстоятельство что	2	2
39	может быть это	2	2
40	заключается в том	9	2
41	в отличие от	3	2
42	в конце концов	6	2
43	мы могли бы	4	2
44	с одной стороны	15	2
45	в этом смысле	3	2
46	и может быть	2	2
47	обстоит дело и	2	2
48	равно как и	2	2
