N	2gram	Tiupa_Anal	slovoVRo
1	и в	36	92
2	в романе	3	89
3	то есть	15	64
4	в нем	3	59
5	может быть	19	59
6	и его	18	59
7	и не	14	51
8	не только	40	44
9	не может	3	41
10	но и	26	39
11	в этом	19	36
12	а не	16	34
13	во всех	4	32
14	так и	19	30
15	точки зрения	3	30
16	могут быть	4	29
17	в пределах	5	29
18	в его	12	27
19	слова в	2	26
20	все это	5	25
21	как бы	14	24
22	то же	7	23
23	и на	5	22
24	не в	9	21
25	в сущности	5	21
26	как в	9	21
27	вовсе не	2	21
28	в то	8	20
29	прежде всего	7	19
30	как мы	4	19
31	или иной	9	18
32	как и	27	18
33	себя в	6	18
34	же время	7	18
35	с ним	2	18
36	все же	6	17
37	оно не	2	17
38	все эти	2	17
39	в основе	2	17
40	и даже	12	17
41	в большинстве	2	17
42	таким образом	4	17
43	отличие от	5	16
44	при этом	19	16
45	в них	4	16
46	но в	8	16
47	там где	2	15
48	той или	6	15
49	со своим	2	15
50	в той	3	15
51	с точки	2	15
52	в отличие	5	14
53	так сказать	2	14
54	только в	9	14
55	это не	4	13
56	с его	15	13
57	в особенности	4	13
58	и для	4	13
59	с другой	10	13
60	на фоне	4	13
61	в слове	5	13
62	никогда не	7	12
63	в отношении	2	12
64	и потому	3	12
65	отношение к	2	12
66	а в	17	12
67	или в	4	12
68	во всяком	6	12
69	еще не	7	12
70	и к	7	12
71	один из	6	11
72	на его	3	11
73	с ними	2	11
74	одной стороны	3	11
75	слова как	2	11
76	в этих	2	11
77	с одной	3	11
78	для него	8	11
79	все они	2	10
80	в своем	7	10
81	и их	3	10
82	в том	16	10
83	и все	3	10
84	она не	3	10
85	в себе	7	10
86	лишь в	9	10
87	далеко не	8	10
88	уже не	9	10
89	его в	4	9
90	и от	3	9
91	здесь в	2	9
92	в их	7	9
93	в своей	12	9
94	сказать что	2	9
95	одна из	6	9
96	с ее	3	9
97	героя и	7	9
98	но не	13	9
99	на почве	3	9
100	он не	9	9
101	не могут	2	8
102	в одной	2	8
103	человека и	2	8
104	в ней	2	8
105	с этим	4	8
106	в значительной	3	8
107	человека в	3	8
108	в самом	7	8
109	входит в	4	8
110	всяком случае	6	8
111	перед нами	7	7
112	том что	19	7
113	по преимуществу	3	7
114	его не	3	7
115	того же	7	7
116	в целом	8	7
117	известной степени	3	7
118	например в	2	7
119	у него	2	7
120	значительной степени	3	7
121	здесь не	8	7
122	за пределы	3	7
123	автора и	5	7
124	жизни и	2	7
125	не было	3	7
126	в таком	2	7
127	во всем	5	7
128	мы уже	2	7
129	даже в	6	6
130	ничего не	3	6
131	наконец в	3	6
132	как к	2	6
133	роль в	5	6
134	на этом	2	6
135	бы и	2	6
136	а также	5	6
137	что в	15	6
138	в контексте	3	6
139	дело с	3	6
140	двуголосого слова	3	6
141	в качестве	22	6
142	можно сказать	5	6
143	другой стороны	7	6
144	говорить о	6	6
145	и здесь	4	6
146	именно в	4	6
147	в свою	9	6
148	себя и	2	6
149	по себе	6	6
150	в одном	4	6
151	мира и	2	6
152	между тем	8	6
153	в каждом	4	5
154	не как	3	5
155	не знает	2	5
156	характерно что	2	5
157	не менее	9	5
158	отношению к	9	5
159	а затем	2	5
160	мы не	4	5
