N	2gram	Medvedev_F	Russkaja
1	не может	26	22
2	и не	34	19
3	в том	17	17
4	в этом	39	17
5	и в	54	14
6	то что	14	13
7	точки зрения	21	11
8	то же	16	11
9	таким образом	28	11
10	в то	14	10
11	но и	18	10
12	же время	13	10
13	не только	14	9
14	том что	3	9
15	может быть	30	9
16	в себе	4	9
17	с точки	17	9
18	во всяком	6	9
19	того чтобы	4	8
20	как на	5	8
21	прежде всего	34	8
22	и с	17	7
23	к тому	6	7
24	в данном	2	7
25	и если	2	7
26	не будет	2	7
27	отнюдь не	13	7
28	самом деле	12	7
29	с тем	11	6
30	если в	3	6
31	на самом	8	6
32	и для	5	6
33	для всех	2	6
34	в своих	3	6
35	в россии	4	6
36	и к	7	6
37	если бы	8	6
38	всяком случае	6	6
39	все это	11	6
40	для того	3	6
41	что он	8	6
42	в своем	12	6
43	для него	9	6
44	вопрос о	3	5
45	а в	11	5
46	на то	2	5
47	было бы	10	5
48	хотя бы	10	5
49	и на	10	5
50	потому что	2	5
51	при этом	14	5
52	в нем	25	5
53	он должен	4	5
54	жизни в	2	5
55	в своей	16	5
56	конечно не	5	5
57	только в	6	5
58	никогда не	6	5
59	и только	5	5
60	он не	8	5
61	сих пор	7	5
62	между тем	4	5
63	во всех	9	5
64	по существу	8	5
65	до сих	7	5
66	что в	10	4
67	но не	5	4
68	его в	5	4
69	к вопросу	2	4
70	все же	8	4
71	возможно лишь	2	4
72	не могут	8	4
73	к этой	4	4
74	не в	16	4
75	как и	18	4
76	более или	7	4
77	тому чтобы	2	4
78	в мире	4	4
79	как бы	10	4
80	при таких	2	4
81	а лишь	4	4
82	приводит к	4	4
83	так как	4	4
84	что же	6	4
85	жизни и	10	4
86	в его	30	4
87	том случае	2	4
88	со стороны	7	4
89	в их	16	4
90	то ни	5	4
91	во всем	3	4
92	в этой	10	4
93	вместе с	8	4
94	от того	2	4
95	бы то	4	4
96	в корне	6	4
97	или менее	7	4
98	одной из	2	3
99	данном случае	2	3
100	был и	2	3
101	одна из	2	3
102	том чтобы	3	3
103	для этого	6	3
104	и этот	2	3
105	в большинстве	6	3
106	ни стало	4	3
107	лучшем случае	3	3
108	что для	3	3
109	именно в	12	3
110	из этих	4	3
111	во что	3	3
112	что бы	6	3
113	ни одна	2	3
114	должно быть	13	3
115	не есть	4	3
116	всех этих	6	3
117	и потому	9	3
118	что оно	4	3
119	в другом	2	3
120	в значительной	3	3
121	главным образом	5	3
122	в конце	2	3
123	из них	5	3
124	ко всем	2	3
125	в самом	17	3
126	и как	6	3
127	в лучшем	3	3
128	несмотря на	2	3
129	знаем что	2	3
130	для них	4	3
131	что и	10	3
132	конце концов	2	3
133	или в	2	3
134	сводится к	6	3
135	лишь в	15	3
136	вряд ли	2	3
137	из этого	2	3
138	таким же	2	3
139	и во	2	3
140	говорить о	4	3
141	и по	3	3
142	связи с	12	3
143	еще не	6	3
144	в виде	2	3
145	того что	7	3
146	в качестве	2	3
147	что они	4	3
148	друг друга	4	3
149	не было	7	3
150	и ни	2	3
151	и т	22	3
152	тем что	6	3
153	то в	3	3
154	согласиться с	2	2
155	не о	7	2
156	и о	3	2
157	и должно	4	2
158	и от	9	2
159	чтобы понять	2	2
160	не так	4	2
161	не к	2	2
162	с этим	6	2
163	тем самым	5	2
164	или иного	8	2
165	и те	2	2
166	следовательно и	2	2
167	большинстве случаев	5	2
168	ее в	3	2
169	тому что	3	2
170	к нему	3	2
171	она не	8	2
172	но в	9	2
173	того или	6	2
174	в роде	3	2
175	ни в	3	2
176	в котором	2	2
177	что такое	2	2
178	так же	5	2
179	их в	2	2
180	на почве	20	2
181	для нее	2	2
182	от друга	2	2
183	сама по	2	2
184	в настоящее	11	2
185	состоит в	3	2
186	даже и	5	2
187	в ней	15	2
188	уже не	9	2
189	время в	4	2
190	этот вопрос	2	2
191	в некоторых	2	2
192	в результате	8	2
193	по отношению	4	2
194	но для	4	2
195	но даже	2	2
196	к отрицанию	3	2
197	даже не	2	2
198	настоящее время	11	2
199	отношении к	2	2
200	их к	3	2
201	отличается от	4	2
202	и даже	7	2
203	а не	11	2
204	по этому	2	2
205	по себе	10	2
206	от него	2	2
207	не можем	3	2
208	нисколько не	2	2
209	целый ряд	4	2
210	место в	8	2
211	зависит от	2	2
212	всю свою	2	2
213	отметить что	2	2
214	в других	5	2
215	и тем	3	2
216	ведь в	2	2
217	культуры с	2	2
218	и является	3	2
219	и вот	2	2
220	и что	2	2
221	но это	4	2
222	все эти	12	2
223	совершенно не	5	2
224	бы ни	5	2
225	и наконец	7	2
226	в этих	3	2
227	друг от	2	2
228	только на	8	2
229	в частности	4	2
230	в таком	2	2
231	так что	2	2
232	друг другу	2	2
233	именно на	4	2
234	должна быть	11	2
235	его и	2	2
236	отношения к	6	2
237	в области	6	2
238	если же	4	2
239	всем этим	2	2
240	вся эта	2	2
241	с ним	3	2
242	быть и	5	2
243	культуры и	3	2
244	и более	4	2
245	пропаганды и	2	2
246	ясно что	3	2
