N	2gram	Bakhtin_Fr	VelikijI
1	и не	23	20
2	и в	67	16
3	свободы и	2	12
4	так как	16	9
5	то что	9	9
6	еще не	5	8
7	в истории	2	8
8	на земле	2	7
9	что они	3	7
10	а не	6	7
11	как бы	18	5
12	но и	23	5
13	все это	15	5
14	хотя и	6	5
15	того что	4	5
16	что все	4	4
17	и все	18	4
18	как и	19	4
19	в котором	3	4
20	потому что	8	4
21	все что	3	4
22	в нем	20	4
23	в образе	9	4
24	в ней	10	4
25	что не	4	4
26	в его	17	4
27	говорить о	5	4
28	в этом	27	4
29	что он	7	4
30	и есть	5	4
31	мира сего	2	4
32	так и	14	4
33	никогда не	6	3
34	превращается в	5	3
35	в жизни	4	3
36	что в	14	3
37	в том	16	3
38	и для	4	3
39	от этого	2	3
40	не имеет	4	3
41	но в	20	3
42	к тому	4	3
43	ни в	5	3
44	их в	2	3
45	но это	10	3
46	бы и	2	3
47	хотя бы	2	3
48	в своей	6	3
49	во всех	20	3
50	в конце	12	3
51	в них	12	3
52	жизни и	11	3
53	что и	8	3
54	не было	3	3
55	лишь в	3	3
56	и что	3	3
57	не в	8	3
58	все эти	12	3
59	и они	2	3
60	в чем	6	3
61	тот же	4	3
62	с его	11	3
63	когда в	2	2
64	и то	2	2
65	с тем	3	2
66	да и	2	2
67	они и	3	2
68	но не	6	2
69	нет и	4	2
70	и это	5	2
71	это не	5	2
72	вечности и	2	2
73	не только	23	2
74	не могут	3	2
75	а в	4	2
76	том что	13	2
77	мир и	5	2
78	на том	2	2
79	но мы	3	2
80	и во	4	2
81	от него	2	2
82	и любви	3	2
83	мы слышим	2	2
84	в духе	4	2
85	значения и	2	2
86	свободной и	2	2
87	один из	6	2
88	и вечно	3	2
89	не будет	2	2
90	для них	2	2
91	того чтобы	9	2
92	тем что	3	2
93	мы не	6	2
94	конечно не	5	2
95	можно было	5	2
96	только в	6	2
97	и сам	2	2
98	и за	2	2
99	в форме	2	2
100	его и	2	2
101	в себя	6	2
102	на этих	2	2
103	прежде всего	19	2
104	с ним	6	2
105	его не	5	2
106	между тем	3	2
107	для него	4	2
