N	2gram	Berdyaev_V	Myshleni
1	в том	3	195
2	в этом	4	167
3	то что	9	166
4	и в	16	162
5	том что	2	161
6	что в	3	119
7	не только	2	116
8	того что	5	109
9	потому что	4	95
10	того чтобы	2	91
11	что он	4	86
12	как и	4	79
13	так как	9	78
14	и не	20	78
15	только в	2	75
16	но и	5	70
17	в его	4	67
18	как бы	5	64
19	и что	3	60
20	что мы	4	53
21	к тому	3	49
22	что они	7	48
23	тем что	2	48
24	мы не	2	47
25	но не	2	45
26	с тем	2	43
27	тому что	3	42
28	так и	4	39
29	никогда не	3	39
30	не в	3	37
31	все эти	3	36
32	а не	7	36
33	можно было	2	35
34	прежде всего	2	33
35	что и	3	32
36	но в	3	32
37	и то	2	31
38	между тем	2	29
39	могут быть	2	29
40	что все	4	27
41	в своей	3	27
42	для него	2	26
43	все это	5	25
44	еще не	8	25
45	это не	2	25
46	в чем	3	25
47	тот же	3	24
48	в нем	4	24
49	ни в	3	23
50	во всяком	2	22
51	не могут	2	22
52	в истории	8	21
53	и все	4	21
54	ее в	2	21
55	не имеет	3	21
56	в котором	4	20
57	а в	2	20
58	должно быть	3	20
59	но мы	2	19
60	в себя	2	19
61	с ним	2	19
62	а с	2	19
63	во всех	3	19
64	мы и	2	19
65	один из	2	19
66	но это	3	18
67	и для	3	17
68	все что	4	17
69	и есть	4	17
70	не есть	6	17
71	в этих	3	17
72	их в	3	17
73	для нас	2	16
74	которые не	2	16
75	является в	2	15
76	по этому	3	15
77	от этого	3	15
78	хотя бы	3	15
79	и это	2	15
80	в них	3	15
81	и во	2	14
82	с его	3	14
83	лишь в	3	13
84	значения и	2	13
85	человека и	6	13
86	его к	2	13
87	и потому	7	12
88	это мы	2	12
89	в ней	4	12
90	в конце	3	11
91	на том	2	11
92	не могли	2	11
93	вот почему	2	11
94	если не	3	10
95	вслед за	2	10
96	вместо того	2	10
97	хотя и	5	9
98	оно не	3	9
99	по пути	5	9
100	не с	2	9
101	говорить о	4	9
102	что не	4	8
103	все равно	2	8
104	что я	3	8
105	и тогда	2	8
106	должна быть	3	7
107	его и	2	7
108	и сам	2	7
109	до того	2	7
110	в жизни	3	7
111	за ним	3	7
112	раз навсегда	2	6
113	бы и	3	6
114	уже не	2	6
115	всего в	2	6
116	что их	2	6
117	одна из	2	6
118	нет и	2	6
119	что было	2	6
120	и мы	3	6
121	к чему	3	6
122	от него	2	5
123	в вопросе	3	5
124	для них	2	5
125	чтобы сделать	2	5
126	в старой	2	5
127	что во	3	5
128	мы хотим	4	5
129	когда в	2	5
130	под этим	2	5
131	самого себя	2	5
132	в форме	2	5
133	почему в	2	4
134	по которым	2	4
135	нет у	4	4
136	его не	2	4
137	и я	4	4
138	что есть	5	4
139	вопросе о	2	4
140	не к	2	4
141	превращается в	3	4
142	от этих	2	4
143	жизни и	3	4
144	то это	3	4
145	уже на	2	4
146	не было	3	4
147	конечно не	2	4
148	к нам	2	3
149	и теперь	2	3
150	они будут	4	3
151	не создает	2	3
152	это еще	4	3
153	а к	2	3
154	от которого	3	3
155	в первый	3	3
156	для человека	2	3
157	которой они	2	3
158	не так	2	3
159	и новые	2	3
160	это все	2	3
161	нас и	3	3
162	этих трех	3	3
163	за то	3	3
164	и будет	3	3
165	мы это	2	3
166	да и	2	3
167	к личности	4	3
168	в прошлом	2	3
169	это дело	2	2
170	и против	3	2
171	а есть	2	2
172	и они	3	2
173	над ними	2	2
174	когда я	2	2
175	более чем	2	2
176	путь которым	2	2
177	в мире	5	2
178	не будет	2	2
179	на этих	2	2
180	и т	2	2
181	этому пути	2	2
182	что от	2	2
183	как не	3	2
184	личности и	3	2
185	они и	2	2
186	на себя	5	2
187	нет ничего	3	2
188	людей что	2	2
189	так много	2	2
190	и никогда	2	2
191	нет еще	2	2
