N	3gram	Losev_Prob	Stilisti
1	в то же	10	9
2	для того чтобы	4	7
3	в зависимости от	3	7
4	и то же	5	5
5	с точки зрения	9	5
6	одно и то	4	5
7	того или иного	5	5
8	ту или иную	3	4
9	то же самое	17	4
10	той или иной	16	4
11	то что мы	3	4
12	то или иное	3	4
13	в этом случае	8	3
14	в конце концов	4	3
15	на самом деле	5	3
16	не только в	2	3
17	и тем самым	3	3
18	но и в	2	3
19	как мы видели	2	3
20	тех или иных	7	3
21	у нас не	2	2
22	тот или иной	4	2
23	в связи с	9	2
24	мы не знаем	2	2
25	что иное как	6	2
26	только потому что	3	2
27	и как бы	2	2
28	не было бы	3	2
29	же самое время	10	2
30	можно сказать что	2	2
31	и в то	2	2
32	есть не что	6	2
33	на первый взгляд	3	2
34	что же такое	3	2
35	о том что	8	2
36	не что иное	6	2
37	не может быть	5	2
38	равно как и	2	2
