N	2gram	Ircho_Kome	VrazhdaK
1	в году	3	18
2	не только	12	9
3	и что	2	8
4	в этом	9	8
5	и в	40	8
6	что в	12	7
7	но и	14	7
8	и все	4	7
9	то что	8	7
10	но в	6	6
11	как и	12	6
12	в котором	6	6
13	в начале	7	6
14	в нем	8	6
15	и с	8	6
16	все же	7	6
17	и даже	5	6
18	и не	19	5
19	г а	2	5
20	об этом	2	5
21	то же	7	5
22	в то	14	5
23	же время	5	5
24	у него	6	5
25	между тем	9	5
26	уже в	9	4
27	целый ряд	2	4
28	несмотря на	5	4
29	в своих	2	4
30	это не	2	4
31	в виду	2	4
32	все это	7	4
33	при этом	5	4
34	о том	12	4
35	в ней	2	4
36	как бы	3	4
37	х годов	5	4
38	так же	4	4
39	что он	11	4
40	в истории	10	4
41	может быть	16	4
42	человека в	2	3
43	т е	14	3
44	и у	3	3
45	в том	19	3
46	в чем	3	3
47	одним из	3	3
48	его в	6	3
49	что у	6	3
50	и уже	2	3
51	и во	4	3
52	в своем	6	3
53	том что	19	3
54	в его	8	3
55	в связи	3	3
56	и о	3	3
57	раз в	2	3
58	и его	17	3
59	и как	3	3
60	он был	4	3
61	он не	5	3
62	речь идет	6	3
63	связи с	3	3
64	к этому	8	3
65	но он	2	3
66	на то	3	3
67	наряду с	7	3
68	в конце	7	3
69	с его	4	3
70	тем что	5	3
71	в честь	3	2
72	же не	2	2
73	в них	7	2
74	б и	4	2
75	в мире	3	2
76	одна из	4	2
77	место в	7	2
78	в эти	2	2
79	в той	2	2
80	что к	2	2
81	и это	3	2
82	в в	8	2
83	мы знаем	5	2
84	а в	9	2
85	а также	5	2
86	в этой	9	2
87	столь же	9	2
88	его с	2	2
89	в своей	3	2
90	как раз	4	2
91	же в	7	2
92	в себе	3	2
93	еще не	7	2
94	точки зрения	7	2
95	о чем	2	2
96	же как	3	2
97	после этого	3	2
98	таким образом	13	2
99	и ее	5	2
100	во время	11	2
101	в период	5	2
102	время и	3	2
103	в свою	2	2
104	по мнению	2	2
105	на это	3	2
106	так в	6	2
107	после смерти	6	2
108	эти годы	2	2
109	в эту	2	2
110	не может	3	2
111	из них	16	2
112	ответ на	2	2
113	в это	3	2
114	не менее	6	2
115	там же	4	2
116	но это	2	2
117	отнюдь не	2	2
118	не мог	4	2
119	могли быть	2	2
120	вместе с	8	2
121	в известном	2	2
122	отношение к	3	2
