N	2gram	Vygotskiy_	Hudozhes
1	в качестве	3	31
2	то есть	44	26
3	и в	55	23
4	не только	25	20
5	состоит в	5	20
6	в том	55	20
7	может быть	35	19
8	при этом	28	19
9	в частности	6	18
10	и не	24	16
11	но и	12	14
12	а в	10	13
13	в себе	6	13
14	но не	5	13
15	а не	18	13
16	произведение искусства	9	12
17	то же	17	12
18	в этом	21	12
19	и его	14	12
20	так и	6	12
21	как бы	11	11
22	точки зрения	32	11
23	представляет собой	2	11
24	в его	8	11
25	сводится к	3	11
26	но в	5	10
27	не в	19	9
28	том что	30	9
29	не может	30	9
30	с другой	7	9
31	в искусстве	24	9
32	в то	8	8
33	в области	12	8
34	в самом	18	7
35	отношение к	3	7
36	в своей	6	7
37	только в	18	7
38	же время	2	7
39	как это	8	7
40	что в	39	7
41	отличие от	6	7
42	в отличие	4	7
43	в основе	13	7
44	более или	3	6
45	мы имеем	7	6
46	искусства в	14	6
47	уже не	3	6
48	другой стороны	7	6
49	приводит к	3	6
50	в нем	5	6
51	с ее	3	6
52	можно сказать	2	6
53	в ее	7	6
54	художественного творчества	6	6
55	с его	3	6
56	или менее	3	6
57	тем самым	2	5
58	ни в	9	5
59	с другими	2	5
60	конечном счете	6	5
61	могут быть	15	5
62	в конечном	6	5
63	в художественном	9	5
64	между ними	2	5
65	как к	2	5
66	иначе говоря	6	5
67	для того	12	5
68	того чтобы	13	5
69	в виду	6	5
70	а на	4	5
71	со стороны	5	5
72	в их	4	5
73	не является	5	5
74	что он	17	5
75	не на	2	5
76	то что	47	5
77	не менее	9	5
78	прежде всего	5	5
79	того что	15	5
80	или иным	2	4
81	в слове	3	4
82	и то	4	4
83	сказать что	12	4
84	в отношении	3	4
85	эстетического объекта	2	4
86	его в	3	4
87	художественного впечатления	2	4
88	далеко не	7	4
89	для себя	2	4
90	а только	4	4
91	того или	2	4
92	к тому	8	4
93	из которого	6	4
94	на почве	3	4
95	между тем	6	4
96	искусства но	7	4
97	художественного произведения	22	4
98	однако в	2	4
