N	2gram	Tiupa_Anal	VeschiIm
1	не есть	8	79
2	и не	33	57
3	не только	30	48
4	то что	11	48
5	не может	26	46
6	и в	30	45
7	и есть	3	40
8	может быть	33	39
9	и т	3	39
10	а не	25	37
11	потому что	3	25
12	было бы	4	24
13	не просто	2	24
14	в себе	17	23
15	по себе	6	23
16	только в	8	23
17	сказать что	2	22
18	и что	2	22
19	как бы	15	20
20	но и	29	19
21	что же	3	19
22	все же	4	18
23	в этом	31	18
24	есть не	9	17
25	прежде всего	8	17
26	так как	3	17
27	что мы	3	17
28	того что	5	16
29	таким образом	5	16
30	как раз	5	16
31	в том	36	15
32	как и	23	15
33	уже не	6	15
34	не в	17	14
35	и то	4	14
36	том что	21	13
37	не будет	3	13
38	и больше	2	13
39	и для	3	13
40	в самом	12	13
41	то ни	3	13
42	в себя	8	13
43	ничего не	10	12
44	иное как	6	12
45	совершенно не	2	12
46	смысл и	3	12
47	что в	7	12
48	точки зрения	10	12
49	она есть	2	12
50	что и	5	12
51	и как	6	12
52	не что	5	12
53	то же	12	12
54	ни было	4	12
55	еще не	5	12
56	что иное	6	12
57	и даже	10	12
58	о том	11	12
59	и с	2	12
60	бы то	3	12
61	в то	10	11
62	не менее	5	11
63	что не	3	11
64	вовсе не	4	11
65	содержит в	3	11
66	себя в	8	11
67	тем не	3	11
68	и их	2	11
69	также и	3	11
70	ни в	5	11
71	крайней мере	4	10
72	в чем	2	10
73	с ее	2	10
74	по крайней	4	10
75	это не	7	9
76	со стороны	5	9
77	так что	3	9
78	в своем	2	9
79	то и	2	9
80	должно быть	2	9
81	хотя бы	4	9
82	бы в	3	9
83	в результате	3	9
84	я и	8	9
85	на то	2	9
86	но не	13	9
87	ни с	5	9
88	говорить о	3	9
89	и его	9	9
90	с ним	6	9
91	в отношении	2	8
92	его в	2	8
93	и потому	2	8
94	даже не	2	8
95	что он	3	8
96	но в	11	8
97	в ее	2	8
98	себя и	5	8
99	все это	2	8
100	можно сказать	6	8
101	смысла и	3	8
102	с другими	4	8
103	мы имеем	9	8
104	отличается от	3	8
105	если бы	6	8
106	для него	5	8
107	не с	8	8
108	с другой	7	8
109	со своим	4	8
110	отнюдь не	22	8
111	в действительности	2	7
112	и тем	4	7
113	из них	2	7
114	самом деле	3	7
115	а в	11	7
116	все эти	3	7
117	в сущности	10	7
118	я не	2	7
119	никак не	2	7
120	или не	2	7
121	есть вещь	2	7
122	тем что	2	7
123	вообще не	2	7
124	с этой	2	7
125	и тогда	3	7
126	никогда не	4	6
127	вопрос о	2	6
128	независимо от	2	6
129	для себя	3	6
130	определенным образом	2	6
131	и все	5	6
132	в нем	3	6
133	и до	3	6
134	в своей	7	6
135	тех или	3	6
136	как мы	3	6
137	одно и	2	6
138	в данном	6	6
139	бытия и	2	6
140	все равно	2	6
141	или иначе	2	6
142	несмотря на	5	6
143	в той	8	6
144	с точки	6	6
145	в одном	3	6
146	и если	2	5
147	да и	2	5
148	мы должны	2	5
149	как к	2	5
150	должен быть	6	5
151	вместе с	6	5
152	внутреннего и	2	5
153	себе в	2	5
154	собственно говоря	6	5
155	как это	5	5
156	того же	7	5
157	на себе	3	5
158	тогда когда	3	5
159	один из	4	5
160	на себя	5	5
161	в его	15	5
162	хотя и	4	5
163	для этого	2	5
164	на это	2	5
165	во всех	5	5
166	в которой	3	5
167	как о	2	5
168	нет и	2	5
169	подобно тому	5	5
170	все что	3	5
171	вообще и	2	5
172	только не	6	5
173	тому как	5	5
174	быть не	3	5
175	она может	3	4
176	в силу	4	4
177	в конце	4	4
178	отношение к	2	4
179	что именно	2	4
180	при помощи	2	4
181	в их	8	4
182	так и	16	4
183	что все	2	4
184	существования и	2	4
185	в этой	12	4
186	более или	2	4
187	этой точки	2	4
188	же не	3	4
189	не предполагает	2	4
190	того чтобы	3	4
191	в качестве	38	4
192	тот же	2	4
193	с ними	2	4
194	в основе	6	4
195	тут же	2	4
196	то в	2	4
197	есть в	4	4
198	дело не	5	4
199	с самим	3	4
200	на него	3	4
201	себя самого	2	4
202	по своей	6	4
203	его и	3	4
204	и о	3	4
205	и более	5	4
206	в котором	5	4
207	на этом	4	4
208	или менее	2	4
209	может не	2	4
210	сводится к	6	4
211	говорит о	5	4
212	и вещь	2	4
213	реальности и	2	4
214	же время	7	4
215	он не	4	4
216	и сам	4	4
217	однако не	4	4
218	принципиально не	3	3
219	для человека	2	3
220	из того	5	3
221	не является	3	3
222	вопроса о	4	3
223	в другом	4	3
224	что из	2	3
225	и эти	2	3
226	казалось бы	2	3
227	себе не	2	3
228	ни о	3	3
229	только на	3	3
230	в частности	32	3
231	может и	2	3
232	а с	3	3
233	неотделимо от	2	3
234	к нему	4	3
235	только с	2	3
236	к тому	12	3
237	была бы	4	3
238	в отрыве	2	3
239	одной стороны	6	3
240	другой стороны	2	3
241	быть может	2	3
242	если не	2	3
243	как личность	2	3
244	в целом	9	3
245	тогда как	30	3
246	и во	3	3
247	заключается в	2	3
248	той или	8	3
249	из его	2	3
250	не все	3	3
251	могла бы	3	3
252	тем более	2	3
253	в собственном	3	3
254	превращается в	3	3
255	вещь может	2	3
256	для того	4	3
257	как в	3	3
258	с одной	7	3
259	случае не	2	3
260	всех прочих	2	3
261	не мог	3	3
262	сами по	3	3
263	у него	5	3
264	оно может	3	3
265	я в	5	3
266	стало быть	2	3
267	из которых	4	3
268	ничего иного	2	3
269	свидетельствует о	4	3
270	однако в	4	3
271	из этого	2	3
272	иного как	2	3
273	не говорит	2	3
274	бы ни	2	3
275	или в	2	3
276	отношения к	4	3
277	не к	3	3
278	это именно	2	3
279	отрыве от	2	3
280	имеем дело	7	3
281	мы уже	2	3
282	не о	3	2
283	зачем же	2	2
284	данном случае	3	2
285	свое время	3	2
286	тем самым	9	2
287	смысла есть	4	2
288	тому что	2	2
289	о чем	3	2
290	для нее	2	2
291	в полной	3	2
292	не как	2	2
293	то есть	19	2
294	не был	2	2
295	едва ли	4	2
296	в виду	2	2
297	на все	2	2
298	это только	2	2
299	как он	4	2
300	логического анализа	2	2
301	в свое	3	2
302	может ли	2	2
303	на вопрос	5	2
304	мере в	4	2
305	его от	3	2
306	одно из	2	2
307	не так	3	2
308	на этой	2	2
309	с другом	2	2
310	смысла но	4	2
311	по природе	4	2
312	для науки	3	2
313	своей собственной	2	2
314	нам не	2	2
315	что на	3	2
316	нет ничего	2	2
317	и та	2	2
318	между собой	2	2
319	не столько	5	2
320	том или	4	2
321	нуждается в	9	2
322	а затем	3	2
323	связи с	2	2
324	в связи	2	2
325	того и	5	2
326	же точно	2	2
327	в первом	3	2
328	но о	3	2
329	в первой	2	2
330	вопрос об	3	2
331	и внешнего	2	2
332	к его	3	2
333	если они	2	2
334	первом случае	2	2
335	а также	8	2
336	здесь не	2	2
337	в начале	3	2
338	его как	3	2
339	к этому	2	2
340	по преимуществу	4	2
341	язык есть	2	2
342	друг с	2	2
343	природе своей	3	2
344	этом отношении	5	2
345	понимать как	3	2
346	которое есть	2	2
347	одного из	4	2
348	в столь	2	2
349	ничто не	2	2
350	самим собою	2	2
351	том чтобы	7	2
352	не случайно	11	2
353	далеко не	6	2
354	или иных	3	2
355	именно в	6	2
356	не вполне	2	2
357	но к	3	2
358	и к	5	2
359	приводит к	2	2
360	он и	3	2
361	и на	10	2
362	то он	3	2
363	раз и	2	2
364	и того	5	2
365	как будто	6	2
366	только одно	2	2
367	этом смысле	3	2
368	той же	4	2
369	с его	3	2
370	основе своей	2	2
371	и внутреннее	2	2
372	на основе	3	2
