N	3gram	Losev_Vlad	Psycholo
1	в том что	13	78
2	для того чтобы	3	70
3	на то что	6	55
4	о том что	9	34
5	не может быть	4	23
6	и т д	3	22
7	с другой стороны	3	20
8	в том чтобы	4	20
9	во всяком случае	8	14
10	в этом отношении	2	14
11	в то время	6	14
12	то время как	2	13
13	в конце концов	6	12
14	то что он	6	11
15	вместе с тем	2	10
16	том что он	4	10
17	не в том	3	10
18	и то что	7	10
19	потому что в	2	9
20	что он не	3	9
21	точно так же	2	9
22	не то что	2	9
23	мы знаем что	2	8
24	по этому поводу	2	8
25	что и в	2	7
26	в свою очередь	2	7
27	можно сказать что	3	7
28	в этом смысле	4	7
29	более или менее	5	6
30	тем не менее	8	6
31	тех пор пока	2	6
32	не что иное	2	6
33	и в том	2	6
34	что иное как	2	6
35	и тот же	2	6
36	не только в	3	6
37	до тех пор	2	6
38	что у него	2	6
39	не имеет никакого	2	5
40	нам кажется что	2	5
41	один и тот	2	5
42	и в частности	3	5
43	мы сейчас увидим	2	4
44	как это делает	2	4
45	к тому же	3	4
46	в настоящее время	2	4
47	за то что	2	4
48	говорит что в	2	4
49	том что в	3	4
50	то что у	2	4
51	а в том	3	4
52	бы то ни	2	3
53	и в конце	2	3
54	после того как	2	3
55	он не только	2	3
56	все это было	2	3
57	в это время	5	3
58	в то же	7	3
59	то обстоятельство что	2	3
60	как это мы	4	3
61	он никогда не	2	3
62	то же время	7	3
63	как бы его	2	3
64	в последнее время	2	3
65	дело в том	7	3
66	с его точки	2	2
67	в ответ на	2	2
68	с ним в	2	2
69	и все же	2	2
70	мы увидим ниже	4	2
71	в связи с	7	2
72	хотя и не	2	2
73	так как он	2	2
74	на первый план	4	2
75	в те времена	7	2
76	его точки зрения	2	2
77	начала и до	2	2
78	как мы увидим	2	2
79	у него в	2	2
80	так или иначе	3	2
