N	3gram	Vygotskiy_	Mirosoze
1	не может быть	3	28
2	в том что	20	9
3	это и есть	2	9
4	для того чтобы	17	7
5	о том что	8	6
6	о человеке и	2	6
7	вместе с тем	3	6
8	и в этом	6	6
9	и вместе с	3	5
10	до сих пор	6	5
11	не было бы	2	5
12	мы увидим что	9	5
13	потому что в	2	4
14	что он не	4	4
15	на то что	16	4
16	и в самом	15	4
17	то время как	3	4
18	потому что он	3	4
19	можно было бы	6	4
20	в то время	4	4
21	во всяком случае	6	3
22	том что он	3	3
23	это значит что	2	3
24	одна и та	2	3
25	с тем что	3	3
26	одной и той	3	3
27	она не может	2	3
28	и та же	3	3
29	и той же	3	3
30	и никогда не	2	3
31	к тому что	5	3
32	так же как	2	3
33	по своему значению	2	3
34	и в конце	2	2
35	все более и	4	2
36	никогда не может	2	2
37	на то чтобы	2	2
38	тем что в	2	2
39	смысле этого слова	5	2
40	бросается в глаза	2	2
41	как бы его	2	2
42	в том смысле	2	2
43	к тому чтобы	4	2
44	она не имеет	2	2
45	что в нем	3	2
46	более и более	4	2
47	в наше время	2	2
