N	2gram	Bakhtin_sl	Russkaja
1	не может	27	22
2	и не	32	19
3	в том	7	17
4	в этом	21	17
5	с другом	2	14
6	и в	69	14
7	друг с	2	14
8	то что	2	13
9	точки зрения	24	11
10	то же	17	11
11	таким образом	16	11
12	в то	17	10
13	но и	37	10
14	же время	15	10
15	не только	37	9
16	том что	6	9
17	может быть	40	9
18	в себе	3	9
19	с точки	11	9
20	во всяком	9	9
21	прежде всего	14	8
22	и с	10	7
23	к тому	3	7
24	о том	5	7
25	в данном	5	7
26	на самом	2	6
27	и для	7	6
28	для всех	2	6
29	и к	9	6
30	всяком случае	7	6
31	все это	14	6
32	для того	2	6
33	и при	2	6
34	что он	2	6
35	в своем	9	6
36	для него	8	6
37	или иной	13	5
38	а в	10	5
39	на то	2	5
40	в последние	2	5
41	было бы	3	5
42	хотя бы	6	5
43	а между	2	5
44	между собой	3	5
45	и на	17	5
46	потому что	2	5
47	лишь при	2	5
48	при этом	12	5
49	в нем	44	5
50	жизни в	2	5
51	в своей	8	5
52	себя и	2	5
53	конечно не	7	5
54	только в	9	5
55	никогда не	9	5
56	и только	2	5
57	он не	5	5
58	сих пор	4	5
59	между тем	5	5
60	во всех	25	5
61	по существу	3	5
62	до сих	4	5
63	и то	2	4
64	что в	3	4
65	но не	7	4
66	его в	7	4
67	все же	10	4
68	себя в	14	4
69	не могут	7	4
70	не в	14	4
71	как и	8	4
72	более или	5	4
73	как бы	16	4
74	можно было	2	4
75	а лишь	2	4
76	приводит к	2	4
77	так как	7	4
78	тогда когда	2	4
79	жизни и	5	4
80	в его	19	4
81	в их	6	4
82	точку зрения	6	4
83	во всем	3	4
84	вместе с	3	4
85	или менее	5	4
86	одной из	4	3
87	данном случае	3	3
88	да и	2	3
89	все они	9	3
90	одна из	6	3
91	для этого	4	3
92	в большинстве	16	3
93	что все	2	3
94	точке зрения	2	3
95	лучшем случае	3	3
96	о которых	2	3
97	но мы	2	3
98	этом случае	4	3
99	на том	2	3
100	в сознании	3	3
101	себя от	2	3
102	именно в	5	3
103	из этих	3	3
104	должно быть	3	3
105	не есть	2	3
106	всех этих	8	3
107	и потому	9	3
108	что оно	4	3
109	в другом	4	3
110	в значительной	6	3
111	из них	3	3
112	в самом	6	3
113	и как	3	3
114	в лучшем	3	3
115	несмотря на	2	3
116	для них	2	3
117	может не	9	3
118	что и	2	3
119	или в	10	3
120	лишь в	6	3
121	из этого	3	3
122	и во	3	3
123	говорить о	2	3
124	той или	13	3
125	и по	3	3
126	связи с	4	3
127	еще не	9	3
128	в виде	4	3
129	того что	4	3
130	в качестве	4	3
131	что они	2	3
132	друг друга	3	3
133	не было	4	3
134	и т	56	3
135	мы говорили	2	3
136	а следовательно	2	3
137	то в	2	3
138	и о	3	2
139	и от	5	2
140	полное и	2	2
141	но она	2	2
142	с этим	5	2
143	или иного	2	2
144	и те	3	2
145	следовательно и	4	2
146	большинстве случаев	11	2
147	тому что	2	2
148	к нему	7	2
149	она не	8	2
150	только с	3	2
151	но в	13	2
152	того или	2	2
153	ни в	4	2
154	в котором	2	2
155	остается в	5	2
156	так же	2	2
157	на почве	6	2
158	от этой	3	2
159	сама по	2	2
160	людей и	2	2
161	могут не	2	2
162	даже и	4	2
163	в ней	7	2
164	в единое	2	2
165	уже не	5	2
166	в некоторых	3	2
167	в результате	4	2
168	по отношению	2	2
169	к такому	2	2
170	отношении к	9	2
171	отличается от	3	2
172	и даже	11	2
173	а не	29	2
174	для нас	7	2
175	себя как	2	2
176	одному из	2	2
177	по себе	4	2
178	от него	5	2
179	нисколько не	3	2
180	целый ряд	2	2
181	место в	2	2
182	бы его	2	2
183	отметить что	3	2
184	в других	4	2
185	и тем	3	2
186	другом случае	3	2
187	и что	2	2
188	но это	3	2
189	все эти	15	2
190	том же	4	2
191	совершенно не	2	2
192	бы ни	3	2
193	и наконец	9	2
194	а с	2	2
195	не просто	2	2
196	в этих	8	2
197	только на	3	2
198	в частности	3	2
199	в таком	5	2
200	и есть	2	2
201	так что	2	2
202	друг другу	2	2
203	именно на	3	2
204	должна быть	3	2
205	его и	5	2
206	отношения к	3	2
207	всем этим	2	2
208	от нас	2	2
209	с ним	12	2
210	быть и	6	2
211	у него	5	2
212	мы уже	4	2
213	том и	2	2
214	будучи по	2	2
215	культуры и	2	2
216	и более	3	2
