N	2gram	Savitsky_E	Vladivir
1	и в	37	116
2	то что	6	71
3	и не	14	67
4	не только	18	65
5	в этом	12	53
6	в том	11	52
7	том что	6	51
8	что в	21	48
9	но и	14	47
10	в его	2	40
11	и с	2	39
12	то есть	6	37
13	сказать что	4	36
14	и даже	6	36
15	также и	7	36
16	потому что	3	33
17	не может	9	31
18	о том	3	30
19	только в	9	30
20	никогда не	3	29
21	как мы	5	29
22	вовсе не	6	27
23	а в	2	27
24	в то	16	25
25	но в	14	25
26	в себе	9	25
27	и то	2	25
28	а также	7	24
29	точки зрения	23	23
30	между прочим	7	23
31	может быть	6	23
32	он не	2	23
33	что же	2	23
34	в виде	5	22
35	так как	7	22
36	в своей	8	21
37	вместе с	2	21
38	а именно	2	20
39	в своем	14	20
40	прежде всего	9	20
41	для нас	4	20
42	и что	2	20
43	и потому	5	19
44	так и	10	19
45	таким образом	2	19
46	в течение	5	19
47	не в	5	18
48	как это	4	18
49	как и	7	18
50	хотя и	2	18
51	что и	3	17
52	в этой	2	17
53	а не	2	17
54	и если	2	17
55	того что	7	16
56	было бы	8	16
57	к тому	8	16
58	и все	2	16
59	в котором	2	16
60	не есть	2	16
61	несмотря на	4	15
62	то же	15	15
63	в своих	2	15
64	и к	3	15
65	того же	3	14
66	с а	2	14
67	и как	2	14
68	и на	6	14
69	так же	9	13
70	с тем	3	13
71	можно сказать	4	13
72	и от	3	13
73	что это	2	13
74	в результате	3	13
75	дело в	3	13
76	жизни и	2	13
77	на этот	2	13
78	и по	5	12
79	во всяком	3	12
80	то в	4	12
81	по себе	4	12
82	всяком случае	3	12
83	в отношении	32	11
84	мы должны	2	11
85	в данном	3	11
86	хотя бы	15	11
87	на то	6	11
88	даже в	4	10
89	к нему	2	10
90	в ней	4	10
91	что все	2	10
92	в качестве	14	10
93	в истории	2	10
94	в россии	5	10
95	можно было	3	10
96	но не	5	10
97	в самом	4	10
98	отнюдь не	9	10
99	с точки	17	10
100	но как	2	9
101	и притом	4	9
102	и можно	2	9
103	что если	2	9
104	с этим	2	9
105	с другой	7	9
106	не будет	3	9
107	именно в	4	9
108	этом смысле	3	9
109	же время	14	9
110	как бы	6	8
111	тем что	3	8
112	это значит	2	8
113	с этой	6	8
114	в этих	2	8
115	как в	3	8
116	и для	3	8
117	можно считать	3	8
118	когда он	3	8
119	со стороны	5	8
120	в смысле	9	8
121	в каком	4	7
122	но даже	4	7
123	при помощи	2	7
124	не имеет	4	7
125	того чтобы	6	7
126	же в	2	7
127	бы и	3	7
128	мы видели	3	7
129	и мы	3	7
130	если бы	2	7
131	к ней	4	7
132	но если	5	7
133	в одном	2	7
134	с в	2	7
135	в таком	3	7
136	в них	3	7
137	данном случае	2	6
138	на себя	3	6
139	есть не	2	6
140	и тут	2	6
141	на основании	2	6
142	само по	4	6
143	что на	2	6
144	в общем	3	6
145	не говоря	2	6
146	его на	2	6
147	по своему	7	6
148	россия и	2	6
149	другой стороны	2	6
150	тем более	4	6
151	и наконец	2	6
152	для того	6	6
153	такой же	2	6
154	мы не	4	6
155	но на	3	6
156	главным образом	2	6
157	ко всему	2	6
158	по своей	2	6
159	и теперь	2	6
160	он сам	2	6
161	чем в	4	6
162	начиная с	2	5
163	вопрос о	4	5
164	и прежде	3	5
165	и тем	3	5
166	в их	11	5
167	в частности	5	5
168	она не	2	5
169	заметить что	2	5
170	последние годы	3	5
171	место в	3	5
172	эти последние	2	5
173	то ни	4	5
174	говоря уже	2	5
175	в области	11	5
176	ее в	3	5
177	бы то	4	5
178	во многом	2	5
179	только к	2	5
180	и еще	2	5
181	во всех	6	5
182	по преимуществу	2	5
183	жизни в	3	5
184	далеко не	2	5
185	еще более	2	5
186	в свою	3	5
187	из них	3	5
188	которое в	2	5
189	говорит о	3	5
190	и только	3	5
191	как на	3	5
192	не к	2	5
193	тем самым	5	4
194	не могут	2	4
195	наряду с	2	4
196	и других	2	4
197	только одно	2	4
198	одной из	5	4
199	нам кажется	7	4
200	мог бы	2	4
201	одной стороны	8	4
202	и во	2	4
203	уже и	3	4
204	представление о	2	4
205	кажется что	2	4
206	и эта	2	4
207	независимо от	4	4
208	время в	3	4
209	мы можем	3	4
210	во второй	3	4
211	себе в	3	4
212	этом отношении	3	4
213	не на	4	4
214	с и	10	4
215	с одной	8	4
216	заключается в	2	4
217	и более	2	4
218	и сейчас	2	4
219	в последние	6	4
220	поскольку он	2	4
221	на путях	4	4
222	россии и	3	4
223	но с	2	4
