N	2gram	Savitsky_E	PoTuStor
1	может быть	6	17
2	и в	37	16
3	мы можем	3	9
4	в этом	12	9
5	и только	3	9
6	таким образом	2	9
7	прежде всего	9	9
8	и с	2	8
9	точки зрения	23	8
10	не может	9	8
11	сказать что	4	7
12	не только	18	7
13	с точки	17	6
14	и к	3	6
15	как бы	6	5
16	как мы	5	4
17	и на	6	4
18	в его	2	4
19	но и	14	4
20	и не	14	4
21	и все	2	4
22	но в	14	4
23	в этой	2	4
24	и наконец	2	4
25	так как	7	4
26	только в	9	4
27	хотя бы	15	4
28	можно сказать	4	4
29	так и	10	4
30	отнюдь не	9	4
31	и даже	6	4
32	что в	21	3
33	и притом	4	3
34	жизни и	2	3
35	и теперь	2	3
36	и как	2	3
37	и потому	5	3
38	а в	2	3
39	в том	11	3
40	по сравнению	2	3
41	в общем	3	3
42	с другими	2	3
43	между ними	2	3
44	в области	11	3
45	большинстве случаев	3	3
46	в большинстве	2	3
47	сравнению с	2	3
48	в этих	2	3
49	как это	4	3
50	то что	6	3
51	во всех	6	3
52	мира и	3	3
53	могут быть	2	3
54	на язык	2	3
55	всяком случае	3	3
56	вместе с	2	3
57	в одном	2	3
58	этом смысле	3	3
59	во всяком	3	3
60	том что	6	3
61	никогда не	3	2
62	для нас	4	2
63	по своему	7	2
64	мы видим	2	2
65	на них	2	2
66	в них	3	2
67	не можем	2	2
68	кажется что	2	2
69	в каком	4	2
70	к ним	3	2
71	же как	5	2
72	и для	3	2
73	и этот	2	2
74	нам кажется	7	2
75	что это	2	2
76	и по	5	2
77	вообще не	3	2
78	что и	3	2
79	ее в	3	2
80	и мы	3	2
81	было бы	8	2
82	не могут	2	2
83	как не	2	2
84	и других	2	2
85	о том	3	2
86	то же	15	2
87	с этим	2	2
88	как и	7	2
89	так же	9	2
90	того же	3	2
91	и таким	2	2
92	в своей	8	2
93	мы не	4	2
94	ни было	4	2
95	но как	2	2
96	в самом	4	2
97	с этой	6	2
98	не на	4	2
99	в частности	5	2
100	он не	2	2
101	во всей	2	2
102	не есть	2	2
103	что на	2	2
104	в развитии	2	2
105	можем сказать	2	2
106	в пределах	25	2
107	есть в	2	2
108	не будет	3	2
109	на основе	2	2
110	между собой	2	2
